policy_id,portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,max_hold_exits,time_failure_exits,profit_trail_gap_exits,profit_trail_touch_exits,risk_off_suppressed_entries,entry_bar_adaptive_exits,adaptive_stagnation_exits,adaptive_protection_gap_exits,adaptive_protection_touch_exits,entry_state_RISK_ON,entry_state_TRANSITION,entry_state_RISK_OFF
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,E2,1.0,2289,0,0,1664,167,0,0,15,0,458,210,248,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,UNION_FOCUS,E2,2.0,2289,0,0,1664,167,0,0,8,0,458,210,248,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,781,126,0,0,6,0,385,173,212,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,781,126,0,0,3,0,385,173,212,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,732,3,0,0,12,0,338,155,183,0.0,0.0,,,,,,,,
CONTROL_TIME_FAIL_72_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,732,3,0,0,9,0,338,155,183,0.0,0.0,,,,,,,,
ADAPTIVE_EXIT_FIXED_CAPITAL,UNION_FOCUS,C2,1.0,2249,0,0,1286,43,0,0,16,0,920,1,0,,,0.0,16.0,206.0,77.0,636.0,238.0,513.0,169.0
ADAPTIVE_EXIT_FIXED_CAPITAL,UNION_FOCUS,C2,2.0,2249,0,0,1286,43,0,0,8,0,920,1,0,,,0.0,16.0,206.0,77.0,636.0,238.0,513.0,169.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,595,37,0,0,7,0,647,1,0,,,0.0,13.0,104.0,56.0,486.0,197.0,376.0,74.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,595,37,0,0,4,0,647,1,0,,,0.0,13.0,104.0,56.0,486.0,197.0,376.0,74.0
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,508,0,0,0,25,0,539,1,0,,,0.0,8.0,157.0,35.0,346.0,117.0,301.0,121.0
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,508,0,0,0,18,0,539,1,0,,,0.0,8.0,157.0,35.0,346.0,117.0,301.0,121.0
ADAPTIVE_EXIT_FIXED_CAPITAL,UNION_FOCUS,D2,1.0,2306,0,0,1314,55,0,0,16,0,937,1,0,,,0.0,18.0,211.0,71.0,654.0,241.0,522.0,174.0
ADAPTIVE_EXIT_FIXED_CAPITAL,UNION_FOCUS,D2,2.0,2306,0,0,1314,55,0,0,7,0,937,1,0,,,0.0,18.0,211.0,71.0,654.0,241.0,522.0,174.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,605,36,0,0,11,0,662,1,0,,,0.0,14.0,107.0,56.0,498.0,201.0,392.0,69.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,605,36,0,0,9,0,662,1,0,,,0.0,14.0,107.0,56.0,498.0,201.0,392.0,69.0
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,528,1,0,0,25,0,550,1,0,,,0.0,8.0,162.0,34.0,353.0,121.0,301.0,128.0
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,528,1,0,0,19,0,550,1,0,,,0.0,8.0,162.0,34.0,353.0,121.0,301.0,128.0
ADAPTIVE_EXIT_FIXED_CAPITAL,UNION_FOCUS,E2,1.0,2289,0,0,1312,48,0,0,15,0,929,1,0,,,0.0,17.0,212.0,72.0,644.0,243.0,515.0,171.0
ADAPTIVE_EXIT_FIXED_CAPITAL,UNION_FOCUS,E2,2.0,2289,0,0,1312,48,0,0,6,0,929,1,0,,,0.0,17.0,212.0,72.0,644.0,243.0,515.0,171.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,602,36,0,0,7,0,654,1,0,,,0.0,13.0,107.0,55.0,491.0,202.0,378.0,74.0
ADAPTIVE_EXIT_FIXED_CAPITAL,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,602,36,0,0,5,0,654,1,0,,,0.0,13.0,107.0,55.0,491.0,202.0,378.0,74.0
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,530,1,0,0,26,0,542,1,0,,,0.0,8.0,161.0,35.0,345.0,117.0,301.0,124.0
ADAPTIVE_EXIT_FIXED_CAPITAL,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,530,1,0,0,17,0,542,1,0,,,0.0,8.0,161.0,35.0,345.0,117.0,301.0,124.0
STATIC_EXIT_STATE_ROUTER,UNION_FOCUS,C2,1.0,2249,0,0,1513,140,0,0,7,0,422,198,224,,,174.0,0.0,0.0,0.0,0.0,131.0,291.0,174.0
STATIC_EXIT_STATE_ROUTER,UNION_FOCUS,C2,2.0,2249,0,0,1513,140,0,0,6,0,422,198,224,,,174.0,0.0,0.0,0.0,0.0,131.0,291.0,174.0
STATIC_EXIT_STATE_ROUTER,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,745,103,0,0,4,0,354,163,191,,,77.0,0.0,0.0,0.0,0.0,121.0,233.0,77.0
STATIC_EXIT_STATE_ROUTER,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,745,103,0,0,3,0,354,163,191,,,77.0,0.0,0.0,0.0,0.0,121.0,233.0,77.0
STATIC_EXIT_STATE_ROUTER,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,624,3,0,0,4,0,302,137,165,,,118.0,0.0,0.0,0.0,0.0,83.0,219.0,118.0
STATIC_EXIT_STATE_ROUTER,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,624,3,0,0,3,0,302,137,165,,,118.0,0.0,0.0,0.0,0.0,83.0,219.0,118.0
STATIC_EXIT_STATE_ROUTER,UNION_FOCUS,D2,1.0,2306,0,0,1574,143,0,0,8,0,425,201,224,,,164.0,0.0,0.0,0.0,0.0,131.0,294.0,164.0
STATIC_EXIT_STATE_ROUTER,UNION_FOCUS,D2,2.0,2306,0,0,1574,143,0,0,8,0,425,201,224,,,164.0,0.0,0.0,0.0,0.0,131.0,294.0,164.0
STATIC_EXIT_STATE_ROUTER,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,755,111,0,0,7,0,364,165,199,,,73.0,0.0,0.0,0.0,0.0,121.0,243.0,73.0
STATIC_EXIT_STATE_ROUTER,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,755,111,0,0,5,0,364,165,199,,,73.0,0.0,0.0,0.0,0.0,121.0,243.0,73.0
STATIC_EXIT_STATE_ROUTER,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,657,2,0,0,6,0,300,141,159,,,120.0,0.0,0.0,0.0,0.0,81.0,219.0,120.0
STATIC_EXIT_STATE_ROUTER,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,657,2,0,0,5,0,300,141,159,,,120.0,0.0,0.0,0.0,0.0,81.0,219.0,120.0
STATIC_EXIT_STATE_ROUTER,UNION_FOCUS,E2,1.0,2289,0,0,1540,152,0,0,8,0,427,198,229,,,170.0,0.0,0.0,0.0,0.0,132.0,295.0,170.0
STATIC_EXIT_STATE_ROUTER,UNION_FOCUS,E2,2.0,2289,0,0,1540,152,0,0,6,0,427,198,229,,,170.0,0.0,0.0,0.0,0.0,132.0,295.0,170.0
STATIC_EXIT_STATE_ROUTER,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,750,109,0,0,5,0,357,164,193,,,76.0,0.0,0.0,0.0,0.0,121.0,236.0,76.0
STATIC_EXIT_STATE_ROUTER,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,750,109,0,0,4,0,357,164,193,,,76.0,0.0,0.0,0.0,0.0,121.0,236.0,76.0
STATIC_EXIT_STATE_ROUTER,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,649,2,0,0,3,0,303,136,167,,,119.0,0.0,0.0,0.0,0.0,84.0,219.0,119.0
STATIC_EXIT_STATE_ROUTER,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,649,2,0,0,3,0,303,136,167,,,119.0,0.0,0.0,0.0,0.0,84.0,219.0,119.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,UNION_FOCUS,C2,1.0,2249,0,0,1141,42,0,0,9,0,799,1,0,,,267.0,10.0,169.0,70.0,559.0,238.0,561.0,267.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,UNION_FOCUS,C2,2.0,2249,0,0,1141,42,0,0,5,0,799,1,0,,,267.0,10.0,169.0,70.0,559.0,238.0,561.0,267.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,562,37,0,0,5,0,581,1,0,,,99.0,9.0,92.0,53.0,435.0,197.0,384.0,99.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,562,37,0,0,5,0,581,1,0,,,99.0,9.0,92.0,53.0,435.0,197.0,384.0,99.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,427,0,0,0,7,0,445,1,0,,,175.0,4.0,127.0,30.0,287.0,117.0,328.0,175.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,427,0,0,0,6,0,445,1,0,,,175.0,4.0,127.0,30.0,287.0,117.0,328.0,175.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,UNION_FOCUS,D2,1.0,2306,0,0,1165,53,0,0,9,0,812,1,0,,,276.0,12.0,174.0,66.0,571.0,241.0,571.0,276.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,UNION_FOCUS,D2,2.0,2306,0,0,1165,53,0,0,6,0,812,1,0,,,276.0,12.0,174.0,66.0,571.0,241.0,571.0,276.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,572,36,0,0,7,0,600,1,0,,,95.0,10.0,96.0,53.0,450.0,201.0,399.0,95.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,572,36,0,0,5,0,600,1,0,,,95.0,10.0,96.0,53.0,450.0,201.0,399.0,95.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,441,1,0,0,8,0,450,1,0,,,187.0,4.0,131.0,30.0,288.0,121.0,329.0,187.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,441,1,0,0,7,0,450,1,0,,,187.0,4.0,131.0,30.0,288.0,121.0,329.0,187.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,UNION_FOCUS,E2,1.0,2289,0,0,1165,47,0,0,7,0,805,1,0,,,272.0,11.0,172.0,67.0,565.0,243.0,562.0,272.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,UNION_FOCUS,E2,2.0,2289,0,0,1165,47,0,0,4,0,805,1,0,,,272.0,11.0,172.0,67.0,565.0,243.0,562.0,272.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,569,36,0,0,6,0,587,1,0,,,100.0,9.0,94.0,52.0,440.0,202.0,385.0,100.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,569,36,0,0,5,0,587,1,0,,,100.0,9.0,94.0,52.0,440.0,202.0,385.0,100.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,447,1,0,0,7,0,445,1,0,,,180.0,4.0,127.0,31.0,286.0,117.0,328.0,180.0
FULL_ADAPTIVE_LIFECYCLE_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,447,1,0,0,6,0,445,1,0,,,180.0,4.0,127.0,31.0,286.0,117.0,328.0,180.0
