policy_id,portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,risk_off_suppressed_entries,entry_bar_adaptive_exits,max_hold_exits,time_failure_exits,adaptive_stagnation_exits,adaptive_protection_gap_exits,adaptive_protection_touch_exits,entry_state_RISK_ON,entry_state_TRANSITION,entry_state_RISK_OFF,same_pair_cooldown_rejections,family_quality_suppressed_entries,risk_off_or_router_suppressed_entries,thesis_failure_exits,profit_giveback_exits,pair_cooldowns_created,pair_cooldowns_released,max_active_pair_cooldowns,entry_context_SUPPORTIVE,entry_context_MIXED,entry_context_STRESSED,entry_context_UNAVAILABLE
THESIS_CONFIDENCE_LIFECYCLE,UNION_FOCUS,E2,1.0,2289,0,0,1297,68,0,0,10,0,689,,,10,,,,,,,,0.0,0.0,235.0,337.0,342.0,0.0,0.0,0.0,197.0,392.0,335.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,UNION_FOCUS,E2,2.0,2289,0,0,1297,68,0,0,4,0,689,,,10,,,,,,,,0.0,0.0,235.0,337.0,342.0,0.0,0.0,0.0,197.0,392.0,335.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,623,52,0,0,6,0,525,,,7,,,,,,,,0.0,0.0,92.0,224.0,294.0,0.0,0.0,0.0,174.0,309.0,134.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,623,52,0,0,3,0,525,,,7,,,,,,,,0.0,0.0,92.0,224.0,294.0,0.0,0.0,0.0,174.0,309.0,134.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,513,1,0,0,7,0,397,,,4,,,,,,,,0.0,0.0,162.0,223.0,170.0,0.0,0.0,0.0,93.0,225.0,241.0,0.0
THESIS_CONFIDENCE_LIFECYCLE,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,513,1,0,0,7,0,397,,,4,,,,,,,,0.0,0.0,162.0,223.0,170.0,0.0,0.0,0.0,93.0,225.0,241.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,UNION_FOCUS,C2,1.0,2249,0,0,1211,59,0,0,9,0,645,,,9,,,,,,,,128.0,0.0,206.0,308.0,328.0,189.0,189.0,4.0,192.0,376.0,283.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,UNION_FOCUS,C2,2.0,2249,0,0,1211,59,0,0,4,0,645,,,9,,,,,,,,128.0,0.0,206.0,308.0,328.0,189.0,189.0,4.0,192.0,376.0,283.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,602,51,0,0,5,0,515,,,6,,,,,,,,26.0,0.0,85.0,220.0,289.0,112.0,112.0,5.0,172.0,301.0,127.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,602,51,0,0,3,0,515,,,6,,,,,,,,26.0,0.0,85.0,220.0,289.0,112.0,112.0,5.0,172.0,301.0,127.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,481,0,0,0,6,0,381,,,3,,,,,,,,46.0,0.0,139.0,211.0,167.0,137.0,137.0,4.0,91.0,218.0,211.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,481,0,0,0,6,0,381,,,3,,,,,,,,46.0,0.0,139.0,211.0,167.0,137.0,137.0,4.0,91.0,218.0,211.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,UNION_FOCUS,D2,1.0,2306,0,0,1249,69,0,0,11,0,653,,,8,,,,,,,,125.0,0.0,210.0,316.0,329.0,193.0,193.0,4.0,199.0,379.0,285.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,UNION_FOCUS,D2,2.0,2306,0,0,1249,69,0,0,6,0,653,,,8,,,,,,,,125.0,0.0,210.0,316.0,329.0,193.0,193.0,4.0,199.0,379.0,285.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,616,52,0,0,8,0,527,,,6,,,,,,,,26.0,0.0,82.0,229.0,292.0,114.0,114.0,5.0,178.0,310.0,121.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,616,52,0,0,5,0,527,,,6,,,,,,,,26.0,0.0,82.0,229.0,292.0,114.0,114.0,5.0,178.0,310.0,121.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,502,1,0,0,7,0,384,,,2,,,,,,,,42.0,0.0,150.0,210.0,172.0,135.0,135.0,4.0,94.0,219.0,221.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,502,1,0,0,7,0,384,,,2,,,,,,,,42.0,0.0,150.0,210.0,172.0,135.0,135.0,4.0,94.0,219.0,221.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,UNION_FOCUS,E2,1.0,2289,0,0,1226,65,0,0,10,0,654,,,10,,,,,,,,134.0,0.0,210.0,314.0,330.0,191.0,191.0,4.0,197.0,379.0,288.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,UNION_FOCUS,E2,2.0,2289,0,0,1226,65,0,0,4,0,654,,,10,,,,,,,,134.0,0.0,210.0,314.0,330.0,191.0,191.0,4.0,197.0,379.0,288.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,609,51,0,0,6,0,519,,,7,,,,,,,,27.0,0.0,86.0,222.0,290.0,113.0,113.0,5.0,175.0,305.0,125.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,609,51,0,0,3,0,519,,,7,,,,,,,,27.0,0.0,86.0,222.0,290.0,113.0,113.0,5.0,175.0,305.0,125.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,504,1,0,0,6,0,379,,,4,,,,,,,,44.0,0.0,145.0,211.0,164.0,136.0,136.0,4.0,91.0,216.0,217.0,0.0
THESIS_CONFIDENCE_PAIR_COOLDOWN,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,504,1,0,0,6,0,379,,,4,,,,,,,,44.0,0.0,145.0,211.0,164.0,136.0,136.0,4.0,91.0,216.0,217.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,UNION_FOCUS,C2,1.0,2249,0,0,1033,63,0,0,4,0,543,,,6,,,,,,,,84.0,526.0,0.0,235.0,302.0,124.0,124.0,5.0,207.0,497.0,365.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,UNION_FOCUS,C2,2.0,2249,0,0,1033,63,0,0,3,0,543,,,6,,,,,,,,84.0,526.0,0.0,235.0,302.0,124.0,124.0,5.0,207.0,497.0,365.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,602,51,0,0,5,0,515,,,6,,,,,,,,26.0,85.0,0.0,220.0,289.0,112.0,112.0,5.0,172.0,301.0,127.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,602,51,0,0,3,0,515,,,6,,,,,,,,26.0,85.0,0.0,220.0,289.0,112.0,112.0,5.0,172.0,301.0,127.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,170,0,0,0,3,0,116,,,1,,,,,,,,9.0,752.0,0.0,59.0,56.0,32.0,32.0,3.0,116.0,424.0,328.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,170,0,0,0,3,0,116,,,1,,,,,,,,9.0,752.0,0.0,59.0,56.0,32.0,32.0,3.0,116.0,424.0,328.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,UNION_FOCUS,D2,1.0,2306,0,0,1067,70,0,0,8,0,558,,,6,,,,,,,,91.0,520.0,0.0,248.0,304.0,131.0,131.0,5.0,215.0,503.0,360.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,UNION_FOCUS,D2,2.0,2306,0,0,1067,70,0,0,4,0,558,,,6,,,,,,,,91.0,520.0,0.0,248.0,304.0,131.0,131.0,5.0,215.0,503.0,360.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,616,52,0,0,8,0,527,,,6,,,,,,,,26.0,82.0,0.0,229.0,292.0,114.0,114.0,5.0,178.0,310.0,121.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,616,52,0,0,5,0,527,,,6,,,,,,,,26.0,82.0,0.0,229.0,292.0,114.0,114.0,5.0,178.0,310.0,121.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,179,1,0,0,4,0,124,,,0,,,,,,,,13.0,762.0,0.0,65.0,59.0,36.0,36.0,3.0,124.0,429.0,333.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,179,1,0,0,4,0,124,,,0,,,,,,,,13.0,762.0,0.0,65.0,59.0,36.0,36.0,3.0,124.0,429.0,333.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,UNION_FOCUS,E2,1.0,2289,0,0,1033,68,0,0,5,0,552,,,7,,,,,,,,93.0,543.0,0.0,241.0,304.0,129.0,129.0,5.0,214.0,508.0,373.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,UNION_FOCUS,E2,2.0,2289,0,0,1033,68,0,0,2,0,552,,,7,,,,,,,,93.0,543.0,0.0,241.0,304.0,129.0,129.0,5.0,214.0,508.0,373.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,609,51,0,0,6,0,519,,,7,,,,,,,,27.0,86.0,0.0,222.0,290.0,113.0,113.0,5.0,175.0,305.0,125.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,609,51,0,0,3,0,519,,,7,,,,,,,,27.0,86.0,0.0,222.0,290.0,113.0,113.0,5.0,175.0,305.0,125.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,174,1,0,0,3,0,120,,,2,,,,,,,,9.0,769.0,0.0,61.0,57.0,34.0,34.0,3.0,120.0,434.0,335.0,0.0
FULL_FAMILY_QUALITY_THESIS_BRAIN,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,174,1,0,0,3,0,120,,,2,,,,,,,,9.0,769.0,0.0,61.0,57.0,34.0,34.0,3.0,120.0,434.0,335.0,0.0
