universe_id,period_id,timestamp,candidate_rank,pair,membership_rank,decision_close,return_72h,family_id,signal_strength,aux_value
C2,DISCOVERY_2019_2020,2020-06-30 01:00:00+00:00,1,ADA-USDT,4,0.084595,0.05315904139433569,MOMENTUM_BREAKOUT,0.16601941747573218,0.084424
C2,DISCOVERY_2019_2020,2020-06-30 14:00:00+00:00,1,LTC-USDT,8,41.112,-0.03624173660274743,STRUCTURAL_REVERSAL,0.738579900625102,40.92
C2,DISCOVERY_2019_2020,2020-06-30 14:00:00+00:00,2,XRP-USDT,6,0.17579,-0.033058305830583,STRUCTURAL_REVERSAL,0.5217391304347703,0.17533
C2,DISCOVERY_2019_2020,2020-06-30 16:00:00+00:00,1,KCS-USDT,3,0.86838,0.013858565574249138,MOMENTUM_ACCELERATION,0.0012596353922290637,0.004866719574249556
C2,DISCOVERY_2019_2020,2020-06-30 16:00:00+00:00,1,KCS-USDT,3,0.86838,0.013858565574249138,VOLATILITY_EXPANSION,2.558628749513076,1.0
C2,DISCOVERY_2019_2020,2020-06-30 17:00:00+00:00,1,ADA-USDT,4,0.083541,0.06149858324544821,MOMENTUM_ACCELERATION,0.0016670162967690194,0.001492321763828075
C2,DISCOVERY_2019_2020,2020-06-30 17:00:00+00:00,1,KCS-USDT,3,0.87,0.015015225228378393,MOMENTUM_BREAKOUT,0.36018009004501705,0.8688
C2,DISCOVERY_2019_2020,2020-07-01 03:00:00+00:00,1,KCS-USDT,3,0.87601,0.039897910731244046,MOMENTUM_ACCELERATION,0.001230875829495992,0.006752987121670051
C2,DISCOVERY_2019_2020,2020-07-01 06:00:00+00:00,1,ADA-USDT,4,0.083948,0.0986088754531298,MOMENTUM_ACCELERATION,0.00863373195853434,0.0019073832633154097
C2,DISCOVERY_2019_2020,2020-07-01 06:00:00+00:00,2,LTC-USDT,8,41.44,0.01783170408213386,MOMENTUM_ACCELERATION,0.0016603884441733774,0.0032162958992227875
C2,DISCOVERY_2019_2020,2020-07-01 09:00:00+00:00,1,LTC-USDT,8,41.518,0.008893856920684229,MOMENTUM_ACCELERATION,0.004215121845360881,0.0018467220683284769
C2,DISCOVERY_2019_2020,2020-07-01 11:00:00+00:00,1,ETH-USDT,2,227.38,0.020739809660621278,MOMENTUM_ACCELERATION,0.0040907932938657465,0.0023541953537955518
C2,DISCOVERY_2019_2020,2020-07-01 12:00:00+00:00,1,BTC-USDT,1,9158.4,0.011631374888159796,MOMENTUM_ACCELERATION,0.00030516800378910247,0.0008318192763172583
C2,DISCOVERY_2019_2020,2020-07-01 13:00:00+00:00,1,ADA-USDT,4,0.0866,0.10122075279755838,MOMENTUM_ACCELERATION,0.026543502036523337,0.007104517218502915
C2,DISCOVERY_2019_2020,2020-07-01 13:00:00+00:00,2,ETH-USDT,2,227.67,0.021033276527042677,MOMENTUM_ACCELERATION,0.008876702613252574,0.0012446103924967922
C2,DISCOVERY_2019_2020,2020-07-01 13:00:00+00:00,1,ADA-USDT,4,0.0866,0.10122075279755838,MOMENTUM_BREAKOUT,2.3433840583809338,0.084874
C2,DISCOVERY_2019_2020,2020-07-01 13:00:00+00:00,1,ADA-USDT,4,0.0866,0.10122075279755838,VOLATILITY_EXPANSION,2.840300956044571,0.9990421455938687
C2,DISCOVERY_2019_2020,2020-07-01 14:00:00+00:00,1,XRP-USDT,6,0.17651,-0.0011883205070166714,MOMENTUM_ACCELERATION,0.006248460320264937,0.0007424752984179772
C2,DISCOVERY_2019_2020,2020-07-01 14:00:00+00:00,2,LTC-USDT,8,41.668,0.011040205760318278,MOMENTUM_ACCELERATION,0.0030404164946169487,0.003864475986778082
C2,DISCOVERY_2019_2020,2020-07-01 14:00:00+00:00,1,KCS-USDT,3,0.88678,0.043381063877351744,MOMENTUM_BREAKOUT,0.7673065346799559,0.882
C2,DISCOVERY_2019_2020,2020-07-01 14:00:00+00:00,1,KCS-USDT,3,0.88678,0.043381063877351744,VOLATILITY_EXPANSION,2.446391545716012,0.9173228346456669
C2,DISCOVERY_2019_2020,2020-07-01 16:00:00+00:00,1,ADA-USDT,4,0.08997,0.11990739011912299,MOMENTUM_ACCELERATION,0.05731402657853557,0.009596882817009655
