asset,canonical_symbol,day,source_timestamp,available_at,market_cap_usd,rebalance_time,market_cap_rank,top6_member,top10_member,fixed6_symbol,fixed10_symbol
ftt,FTT,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,3180833463.956881,2021-01-11 00:00:00+00:00,15,False,False,False,False
snx,SNX,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,3064020944.009339,2021-01-11 00:00:00+00:00,16,False,False,False,False
ht,HT,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,2792026794.82336,2021-01-11 00:00:00+00:00,17,False,False,False,False
neo,NEO,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,2504533569.08788,2021-01-11 00:00:00+00:00,18,False,False,False,False
xtz,XTZ,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,2273736274.3195043,2021-01-11 00:00:00+00:00,19,False,False,False,False
xem,XEM,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,2096854581.2502682,2021-01-11 00:00:00+00:00,20,False,False,False,False
aave,AAVE,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,2044401461.117968,2021-01-11 00:00:00+00:00,21,False,False,False,False
comp,COMP,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,1956659188.63393,2021-01-11 00:00:00+00:00,22,False,False,False,False
1inch,1INCH,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,1824851518.288545,2021-01-11 00:00:00+00:00,23,False,False,False,False
lend,LEND,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,1661076112.669519,2021-01-11 00:00:00+00:00,24,False,False,False,False
mkr,MKR,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,1517016555.0119202,2021-01-11 00:00:00+00:00,25,False,False,False,False
dash,DASH,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,1452390683.0826757,2021-01-11 00:00:00+00:00,26,False,False,False,False
etc,ETC,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,1394006126.900584,2021-01-11 00:00:00+00:00,27,False,False,False,False
doge,DOGE,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,1254885495.6440008,2021-01-11 00:00:00+00:00,28,False,False,False,False
gno,GNO,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,1146439407.06098,2021-01-11 00:00:00+00:00,29,False,False,False,False
crv,CRV,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,1069050822.773099,2021-01-11 00:00:00+00:00,30,False,False,False,False
btc,BTC,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,671017747596.7164,2021-01-18 00:00:00+00:00,1,True,True,True,True
eth,ETH,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,141990281349.43542,2021-01-18 00:00:00+00:00,2,True,True,True,True
xlm,XLM,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,32210768442.804478,2021-01-18 00:00:00+00:00,3,True,True,False,False
xrp,XRP,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,27831711728.323456,2021-01-18 00:00:00+00:00,4,True,True,False,True
link,LINK,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,23306589144.4011,2021-01-18 00:00:00+00:00,5,True,True,True,True
dot,DOT,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,17484104192.992123,2021-01-18 00:00:00+00:00,6,True,True,False,False
ada,ADA,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,12226690665.955704,2021-01-18 00:00:00+00:00,7,False,True,False,True
ltc,LTC,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,9577399089.87275,2021-01-18 00:00:00+00:00,8,False,True,False,True
bch,BCH,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,8987675452.88636,2021-01-18 00:00:00+00:00,9,False,True,False,False
uni,UNI,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,8750660209.31421,2021-01-18 00:00:00+00:00,10,False,True,False,False
cro,CRO,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,8043745551.97344,2021-01-18 00:00:00+00:00,11,False,False,False,False
algo,ALGO,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,5781996386.29282,2021-01-18 00:00:00+00:00,12,False,False,False,False
bsv,BSV,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,3728432480.8963833,2021-01-18 00:00:00+00:00,13,False,False,False,False
ftt,FTT,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,3427759100.2043433,2021-01-18 00:00:00+00:00,14,False,False,False,False
snx,SNX,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,3399232447.2673473,2021-01-18 00:00:00+00:00,15,False,False,False,False
1inch,1INCH,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,3090305418.760875,2021-01-18 00:00:00+00:00,16,False,False,False,False
aave,AAVE,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,3019031351.029712,2021-01-18 00:00:00+00:00,17,False,False,False,False
xmr,XMR,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,2786977698.7708564,2021-01-18 00:00:00+00:00,18,False,False,False,False
ht,HT,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,2686425664.863425,2021-01-18 00:00:00+00:00,19,False,False,False,False
xtz,XTZ,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,2480381641.881917,2021-01-18 00:00:00+00:00,20,False,False,False,False
lend,LEND,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,2452962862.711664,2021-01-18 00:00:00+00:00,21,False,False,False,False
neo,NEO,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,2415406128.3062,2021-01-18 00:00:00+00:00,22,False,False,False,False
crv,CRV,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,2404717007.30153,2021-01-18 00:00:00+00:00,23,False,False,False,False
comp,COMP,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,2172350383.73933,2021-01-18 00:00:00+00:00,24,False,False,False,False
xem,XEM,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,2023353079.499685,2021-01-18 00:00:00+00:00,25,False,False,False,False
hedg,HEDG,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,1770851886.22038,2021-01-18 00:00:00+00:00,26,False,False,False,False
mkr,MKR,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,1451889247.7641053,2021-01-18 00:00:00+00:00,27,False,False,False,False
sushi,SUSHI,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,1298967947.136156,2021-01-18 00:00:00+00:00,28,False,False,False,False
dash,DASH,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,1233451191.4226646,2021-01-18 00:00:00+00:00,29,False,False,False,False
doge,DOGE,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,1167315373.7999258,2021-01-18 00:00:00+00:00,30,False,False,False,False
btc,BTC,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,599525276803.4537,2021-01-25 00:00:00+00:00,1,True,True,True,True
eth,ETH,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,158724870354.9694,2021-01-25 00:00:00+00:00,2,True,True,True,True
xlm,XLM,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,28633507754.417854,2021-01-25 00:00:00+00:00,3,True,True,False,False
xrp,XRP,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,27359122798.989582,2021-01-25 00:00:00+00:00,4,True,True,False,True
link,LINK,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,24541856549.676,2021-01-25 00:00:00+00:00,5,True,True,True,True
dot,DOT,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,18455290076.85009,2021-01-25 00:00:00+00:00,6,True,True,False,False
uni,UNI,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,11985038093.2179,2021-01-25 00:00:00+00:00,7,False,True,False,False
ada,ADA,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,11205504548.400707,2021-01-25 00:00:00+00:00,8,False,True,False,True
ltc,LTC,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,9411358614.228611,2021-01-25 00:00:00+00:00,9,False,True,False,True
bch,BCH,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,8175186671.996445,2021-01-25 00:00:00+00:00,10,False,True,False,False
cro,CRO,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,7248081195.45379,2021-01-25 00:00:00+00:00,11,False,False,False,False
algo,ALGO,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,5616071060.18214,2021-01-25 00:00:00+00:00,12,False,False,False,False
aave,AAVE,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,4294912484.522544,2021-01-25 00:00:00+00:00,13,False,False,False,False
snx,SNX,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,3761897908.5374913,2021-01-25 00:00:00+00:00,14,False,False,False,False
1inch,1INCH,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,3665436521.831445,2021-01-25 00:00:00+00:00,15,False,False,False,False
ftt,FTT,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,3506564378.967952,2021-01-25 00:00:00+00:00,16,False,False,False,False
lend,LEND,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,3489616237.1871977,2021-01-25 00:00:00+00:00,17,False,False,False,False
crv,CRV,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,3249993028.9147725,2021-01-25 00:00:00+00:00,18,False,False,False,False
bsv,BSV,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,3249780646.036492,2021-01-25 00:00:00+00:00,19,False,False,False,False
ht,HT,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,2884852490.68984,2021-01-25 00:00:00+00:00,20,False,False,False,False
xtz,XTZ,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,2529843947.1159616,2021-01-25 00:00:00+00:00,21,False,False,False,False
comp,COMP,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,2493509724.7105,2021-01-25 00:00:00+00:00,22,False,False,False,False
neo,NEO,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,2445314496.10348,2021-01-25 00:00:00+00:00,23,False,False,False,False
xmr,XMR,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,2389178751.317019,2021-01-25 00:00:00+00:00,24,False,False,False,False
xem,XEM,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,1929023433.452528,2021-01-25 00:00:00+00:00,25,False,False,False,False
hedg,HEDG,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,1645920768.20029,2021-01-25 00:00:00+00:00,26,False,False,False,False
sushi,SUSHI,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,1572376329.8911142,2021-01-25 00:00:00+00:00,27,False,False,False,False
mkr,MKR,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,1442426694.9004726,2021-01-25 00:00:00+00:00,28,False,False,False,False
gno,GNO,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,1197170104.28575,2021-01-25 00:00:00+00:00,29,False,False,False,False
uma,UMA,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,1166358443.8683555,2021-01-25 00:00:00+00:00,30,False,False,False,False
btc,BTC,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,617261741250.7816,2021-02-01 00:00:00+00:00,1,True,True,True,True
eth,ETH,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,150859483437.80832,2021-02-01 00:00:00+00:00,2,True,True,True,True
xrp,XRP,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,49293009481.97234,2021-02-01 00:00:00+00:00,3,True,True,False,True
xlm,XLM,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,32311802891.26844,2021-02-01 00:00:00+00:00,4,True,True,False,False
link,LINK,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,22596227212.8693,2021-02-01 00:00:00+00:00,5,True,True,True,True
uni,UNI,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,17794533498.7345,2021-02-01 00:00:00+00:00,6,True,True,False,False
dot,DOT,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,16608526866.37782,2021-02-01 00:00:00+00:00,7,False,True,False,False
ada,ADA,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,11059331869.344397,2021-02-01 00:00:00+00:00,8,False,True,False,True
ltc,LTC,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,8683419493.321184,2021-02-01 00:00:00+00:00,9,False,True,False,True
1inch,1INCH,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,7492382977.481565,2021-02-01 00:00:00+00:00,10,False,True,False,False
bch,BCH,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,7476076988.839807,2021-02-01 00:00:00+00:00,11,False,False,False,False
algo,ALGO,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,6488099710.80635,2021-02-01 00:00:00+00:00,12,False,False,False,False
cro,CRO,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,6222063800.27671,2021-02-01 00:00:00+00:00,13,False,False,False,False
doge,DOGE,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,4881787622.39986,2021-02-01 00:00:00+00:00,14,False,False,False,False
aave,AAVE,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,4816653885.889568,2021-02-01 00:00:00+00:00,15,False,False,False,False
lend,LEND,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,3913531106.787986,2021-02-01 00:00:00+00:00,16,False,False,False,False
ftt,FTT,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,3776541783.4309907,2021-02-01 00:00:00+00:00,17,False,False,False,False
snx,SNX,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,3761990377.626861,2021-02-01 00:00:00+00:00,18,False,False,False,False
crv,CRV,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,3584299887.507924,2021-02-01 00:00:00+00:00,19,False,False,False,False
comp,COMP,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,3450874151.94628,2021-02-01 00:00:00+00:00,20,False,False,False,False
ht,HT,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,3436392668.99079,2021-02-01 00:00:00+00:00,21,False,False,False,False
bsv,BSV,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,3255765295.1237907,2021-02-01 00:00:00+00:00,22,False,False,False,False
xmr,XMR,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,2389949658.5838585,2021-02-01 00:00:00+00:00,23,False,False,False,False
xtz,XTZ,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,2346598224.9856634,2021-02-01 00:00:00+00:00,24,False,False,False,False
neo,NEO,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,2231462947.18351,2021-02-01 00:00:00+00:00,25,False,False,False,False
xem,XEM,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,2114389786.1992147,2021-02-01 00:00:00+00:00,26,False,False,False,False
alpha,ALPHA,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,2029891257.15203,2021-02-01 00:00:00+00:00,27,False,False,False,False
