2024_market_data_accessed,candidate_count,cash_feasible,cost_multiplier,diagnostics,ending_equity,entry_turnover_notional,evaluated_count,execution_order,exit_turnover_notional,initial_equity,long_only,maximum_drawdown,maximum_gross_exposure,maximum_open_positions,minimum_cash,net_pnl,net_return,partition_end,partition_id,partition_start,post_2024_accessed,profit_factor,run_id,schema_version,spot_only,technical_valid,total_fees,trade_count,turnover_on_initial_equity,universe_id,variant_id,win_rate,year_returns
False,0,True,2.0,"{'candidate_signals': 0, 'market_gate_off_hours': 434, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,32,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,032_RD19_P2_V02_STRESS_2023_C2_2x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,C2,RD19_P2_V02,,{'2023': 0.0}
False,0,True,1.0,"{'candidate_signals': 0, 'market_gate_off_hours': 443, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,33,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,033_RD19_P2_V02_STRESS_2023_D2_1x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,D2,RD19_P2_V02,,{'2023': 0.0}
False,0,True,2.0,"{'candidate_signals': 0, 'market_gate_off_hours': 443, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,34,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,034_RD19_P2_V02_STRESS_2023_D2_2x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,D2,RD19_P2_V02,,{'2023': 0.0}
False,0,True,1.0,"{'candidate_signals': 0, 'market_gate_off_hours': 443, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,35,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,035_RD19_P2_V02_STRESS_2023_E2_1x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,E2,RD19_P2_V02,,{'2023': 0.0}
False,0,True,2.0,"{'candidate_signals': 0, 'market_gate_off_hours': 443, 'missing_membership_hours': 0, 'ranking_refreshes': 365, 'router_admitted': 0, 'router_rejected': 0}",100000.0,0.0,0,36,0.0,100000.0,True,0.0,0.0,0,100000.0,0.0,0.0,2023-12-31 23:00:00+00:00,STRESS_2023,2023-01-01 00:00:00+00:00,False,,036_RD19_P2_V02_STRESS_2023_E2_2x,rd19-p2c-run-metrics-v1,True,True,0.0,0,0.0,E2,RD19_P2_V02,,{'2023': 0.0}
False,5,True,1.0,"{'candidate_signals': 5, 'market_gate_off_hours': 1124, 'missing_membership_hours': 2160, 'ranking_refreshes': 1096, 'router_admitted': 3, 'router_rejected': 2}",99399.6588904717,14779.240117564965,5,37,14207.886134288525,100000.0,True,0.006913929486460191,0.0616098425801761,1,93925.05274540029,-600.3411095282936,-0.006003411095282907,2021-12-31 23:00:00+00:00,DISCOVERY_CORE,2019-01-01 00:00:00+00:00,False,0.0,037_RD19_P2_V03_DISCOVERY_CORE_C2_1x,rd19-p2c-run-metrics-v1,True,True,28.98712625185349,3,0.2898712625185349,C2,RD19_P2_V03,0.0,"{'2019': -0.003079485044763297, '2020': 0.0, '2021': -0.002932958050974599}"
False,1,True,2.0,"{'candidate_signals': 1, 'market_gate_off_hours': 1124, 'missing_membership_hours': 2160, 'ranking_refreshes': 1096, 'router_admitted': 1, 'router_rejected': 0}",99726.04303731408,3072.801600417501,1,38,2810.611463860138,100000.0,True,0.002739569626859173,0.02940879951084005,1,96921.05279638167,-273.95696268591564,-0.002739569626859173,2021-12-31 23:00:00+00:00,DISCOVERY_CORE,2019-01-01 00:00:00+00:00,False,0.0,038_RD19_P2_V03_DISCOVERY_CORE_C2_2x,rd19-p2c-run-metrics-v1,True,True,11.766826128555278,1,0.05883413064277639,C2,RD19_P2_V03,0.0,"{'2019': 0.0, '2020': 0.0, '2021': -0.002739569626859173}"
False,3,True,1.0,"{'candidate_signals': 3, 'market_gate_off_hours': 1120, 'missing_membership_hours': 2160, 'ranking_refreshes': 1096, 'router_admitted': 2, 'router_rejected': 1}",99424.803474389,9132.217330066978,3,39,8574.727749535577,100000.0,True,0.006662713976106738,0.0616098425801761,1,93925.05274540029,-575.1965256109979,-0.005751965256109992,2021-12-31 23:00:00+00:00,DISCOVERY_CORE,2019-01-01 00:00:00+00:00,False,0.0,039_RD19_P2_V03_DISCOVERY_CORE_D2_1x,rd19-p2c-run-metrics-v1,True,True,17.706945079602555,2,0.17706945079602557,D2,RD19_P2_V03,0.0,"{'2019': -0.003079485044763297, '2020': 0.0, '2021': -0.00268073549621628}"
False,1,True,2.0,"{'candidate_signals': 1, 'market_gate_off_hours': 1120, 'missing_membership_hours': 2160, 'ranking_refreshes': 1096, 'router_admitted': 1, 'router_rejected': 0}",99726.04303731408,3072.801600417501,1,40,2810.611463860138,100000.0,True,0.002739569626859173,0.02940879951084005,1,96921.05279638167,-273.95696268591564,-0.002739569626859173,2021-12-31 23:00:00+00:00,DISCOVERY_CORE,2019-01-01 00:00:00+00:00,False,0.0,040_RD19_P2_V03_DISCOVERY_CORE_D2_2x,rd19-p2c-run-metrics-v1,True,True,11.766826128555278,1,0.05883413064277639,D2,RD19_P2_V03,0.0,"{'2019': 0.0, '2020': 0.0, '2021': -0.002739569626859173}"
False,5,True,1.0,"{'candidate_signals': 5, 'market_gate_off_hours': 1124, 'missing_membership_hours': 2160, 'ranking_refreshes': 1096, 'router_admitted': 3, 'router_rejected': 2}",99399.6588904717,14779.240117564965,5,41,14207.886134288525,100000.0,True,0.006913929486460191,0.0616098425801761,1,93925.05274540029,-600.3411095282936,-0.006003411095282907,2021-12-31 23:00:00+00:00,DISCOVERY_CORE,2019-01-01 00:00:00+00:00,False,0.0,041_RD19_P2_V03_DISCOVERY_CORE_E2_1x,rd19-p2c-run-metrics-v1,True,True,28.98712625185349,3,0.2898712625185349,E2,RD19_P2_V03,0.0,"{'2019': -0.003079485044763297, '2020': 0.0, '2021': -0.002932958050974599}"
