policy_id,portfolio_id,universe_id,cost_multiplier,entry_market_context,entry_governor_state,family_bucket,trade_count,net_pnl
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2.0,SUPPORTIVE,OPEN,MB,116,6734.121769377069
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2.0,SUPPORTIVE,OPEN,OVERLAP,4,-790.7235163740789
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,2.0,SUPPORTIVE,OPEN,RS,37,1717.9981429080872
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,MIXED,CAUTION,MB,13,4881.613612553235
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,SUPPORTIVE,OPEN,MB,114,3805.1907674909817
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,SUPPORTIVE,OPEN,OVERLAP,4,-1063.7878333494632
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,SUPPORTIVE,OPEN,RS,41,35822.25842586148
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,2.0,MIXED,CAUTION,MB,13,4367.7880569056215
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,2.0,SUPPORTIVE,OPEN,MB,114,-1536.2358183310475
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,2.0,SUPPORTIVE,OPEN,OVERLAP,4,-1186.8913116319472
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,2.0,SUPPORTIVE,OPEN,RS,41,31913.625189007085
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,1.0,MIXED,CAUTION,MB,11,4803.110310309161
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,1.0,SUPPORTIVE,OPEN,MB,116,16205.204874784371
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,1.0,SUPPORTIVE,OPEN,OVERLAP,5,-1198.4203317264446
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,1.0,SUPPORTIVE,OPEN,RS,39,10009.185823074282
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,2.0,MIXED,CAUTION,MB,11,4345.804838424447
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,2.0,SUPPORTIVE,OPEN,MB,116,10115.940217852007
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,2.0,SUPPORTIVE,OPEN,OVERLAP,5,-1357.0567776472221
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,2.0,SUPPORTIVE,OPEN,RS,39,7636.921999322964
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,C2,1.0,MIXED,NONE,MB,223,-8064.7291328122465
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,C2,1.0,SUPPORTIVE,NONE,MB,117,28661.26400752839
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,C2,2.0,MIXED,NONE,MB,223,-12889.439543635808
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,C2,2.0,SUPPORTIVE,NONE,MB,117,21476.106328206763
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,D2,1.0,MIXED,NONE,MB,229,-10189.097011334426
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,D2,1.0,SUPPORTIVE,NONE,MB,119,32445.345803075037
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,D2,2.0,MIXED,NONE,MB,229,-14933.546395210207
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,D2,2.0,SUPPORTIVE,NONE,MB,119,25120.644438999603
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,E2,1.0,MIXED,NONE,MB,226,-10370.842082155708
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,E2,1.0,SUPPORTIVE,NONE,MB,118,36799.302115801256
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,E2,2.0,MIXED,NONE,MB,226,-15085.25955803676
STRESSED_CONTEXT_MB_EXCLUSION,MOMENTUM_BREAKOUT,E2,2.0,SUPPORTIVE,NONE,MB,118,29111.651312398215
STRESSED_CONTEXT_MB_EXCLUSION,RELATIVE_STRENGTH_ROTATION,C2,1.0,SUPPORTIVE,NONE,RS,100,20052.12479647677
STRESSED_CONTEXT_MB_EXCLUSION,RELATIVE_STRENGTH_ROTATION,C2,2.0,SUPPORTIVE,NONE,RS,100,14790.511831197175
STRESSED_CONTEXT_MB_EXCLUSION,RELATIVE_STRENGTH_ROTATION,D2,1.0,SUPPORTIVE,NONE,RS,101,32328.719254319774
STRESSED_CONTEXT_MB_EXCLUSION,RELATIVE_STRENGTH_ROTATION,D2,2.0,SUPPORTIVE,NONE,RS,101,26565.025081912303
STRESSED_CONTEXT_MB_EXCLUSION,RELATIVE_STRENGTH_ROTATION,E2,1.0,SUPPORTIVE,NONE,RS,103,25541.772711422036
STRESSED_CONTEXT_MB_EXCLUSION,RELATIVE_STRENGTH_ROTATION,E2,2.0,SUPPORTIVE,NONE,RS,103,19880.98365940483
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,C2,1.0,MIXED,NONE,MB,197,-2986.0406124442848
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,C2,1.0,MIXED,NONE,OVERLAP,22,-4155.815801768329
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,C2,1.0,SUPPORTIVE,NONE,MB,97,13134.722804520236
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,C2,1.0,SUPPORTIVE,NONE,OVERLAP,5,-1866.6942773312535
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,C2,1.0,SUPPORTIVE,NONE,RS,30,10742.90781275308
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,C2,2.0,MIXED,NONE,MB,197,-7297.677487598467
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,C2,2.0,MIXED,NONE,OVERLAP,22,-4631.725603976432
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,C2,2.0,SUPPORTIVE,NONE,MB,97,7757.400288005405
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,C2,2.0,SUPPORTIVE,NONE,OVERLAP,5,-1887.4226043890408
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,C2,2.0,SUPPORTIVE,NONE,RS,30,8877.463100935756
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,D2,1.0,MIXED,NONE,MB,204,-3624.3885967859133
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,D2,1.0,MIXED,NONE,OVERLAP,20,-5428.064639292554
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,D2,1.0,SUPPORTIVE,NONE,MB,95,6013.60949942824
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,D2,1.0,SUPPORTIVE,NONE,OVERLAP,4,-1729.9288831935426
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,D2,1.0,SUPPORTIVE,NONE,RS,38,36830.87710171134
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,D2,2.0,MIXED,NONE,MB,204,-8005.241289136901
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,D2,2.0,MIXED,NONE,OVERLAP,20,-5757.451003580676
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,D2,2.0,SUPPORTIVE,NONE,MB,95,1531.9176379810895
STRESSED_CONTEXT_MB_EXCLUSION,UNION_FOCUS,D2,2.0,SUPPORTIVE,NONE,OVERLAP,4,-1718.3635349806555
