policy_id,portfolio_id,universe_id,governor_next_state,market_context,family_bucket,signal_count,signal_fraction
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,D2,LOCKED,MIXED,RS,399,0.3697868396663577
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,D2,LOCKED,STRESSED,RS,353,0.32715477293790546
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,D2,OPEN,SUPPORTIVE,RS,263,0.24374420759962928
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,E2,CAUTION,MIXED,RS,57,0.05312208760484623
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,E2,LOCKED,MIXED,RS,408,0.38024231127679403
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,E2,LOCKED,STRESSED,RS,362,0.33737185461323393
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,E2,OPEN,SUPPORTIVE,RS,246,0.22926374650512582
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,CAUTION,MIXED,MB,84,0.037349933303690526
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,CAUTION,MIXED,OVERLAP,4,0.0017785682525566918
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,CAUTION,MIXED,RS,57,0.025344597598932858
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,LOCKED,MIXED,MB,546,0.24277456647398843
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,LOCKED,MIXED,OVERLAP,42,0.018674966651845263
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,LOCKED,MIXED,RS,349,0.15518008003557138
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,LOCKED,STRESSED,MB,150,0.06669630947087594
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,LOCKED,STRESSED,OVERLAP,11,0.004891062694530902
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,LOCKED,STRESSED,RS,343,0.15251222765673633
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,OPEN,SUPPORTIVE,MB,422,0.187638950644731
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,OPEN,SUPPORTIVE,OVERLAP,20,0.008892841262783458
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,C2,OPEN,SUPPORTIVE,RS,221,0.09826589595375723
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,CAUTION,MIXED,MB,89,0.038594969644405897
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,CAUTION,MIXED,OVERLAP,4,0.0017346053772766695
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,CAUTION,MIXED,RS,67,0.029054640069384217
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,LOCKED,MIXED,MB,568,0.24631396357328708
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,LOCKED,MIXED,OVERLAP,41,0.01777970511708586
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,LOCKED,MIXED,RS,351,0.15221162185602774
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,LOCKED,STRESSED,MB,143,0.062012142237640934
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,LOCKED,STRESSED,OVERLAP,11,0.004770164787510842
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,LOCKED,STRESSED,RS,342,0.14830875975715524
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,OPEN,SUPPORTIVE,MB,427,0.18516912402428448
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,OPEN,SUPPORTIVE,OVERLAP,20,0.008673026886383347
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,OPEN,SUPPORTIVE,RS,243,0.10537727666955768
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,CAUTION,MIXED,MB,83,0.036260375709917
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,CAUTION,MIXED,OVERLAP,4,0.0017474879860200961
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,CAUTION,MIXED,RS,61,0.026649191786806466
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,LOCKED,MIXED,MB,558,0.2437745740498034
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,LOCKED,MIXED,OVERLAP,40,0.01747487986020096
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,LOCKED,MIXED,RS,360,0.15727391874180865
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,LOCKED,STRESSED,MB,147,0.06422018348623854
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,LOCKED,STRESSED,OVERLAP,11,0.004805591961555264
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,LOCKED,STRESSED,RS,351,0.15334207077326342
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,OPEN,SUPPORTIVE,MB,428,0.18698121450415028
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,OPEN,SUPPORTIVE,OVERLAP,21,0.009174311926605505
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,E2,OPEN,SUPPORTIVE,RS,225,0.0982961992136304
