policy_id,portfolio_id,universe_id,cost_multiplier,pair,entry_time,first_lock_context_time,first_lock_action_time,exit_time,mark_at_lock_open,exit_price,post_lock_net_contribution,final_trade_net_pnl
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,XRP-USDT,2023-07-03 20:00:00+00:00,2023-07-06 01:00:00+00:00,2023-07-06 02:00:00+00:00,2023-07-06 20:00:00+00:00,0.47548,0.46895,-220.44376351790655,-628.6054856695685
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,LTC-USDT,2023-06-30 12:00:00+00:00,2023-06-30 17:00:00+00:00,2023-06-30 18:00:00+00:00,2023-07-07 12:00:00+00:00,108.181,96.308,-1778.2621070765947,-636.0916178834837
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SOL-USDT,2023-06-30 13:00:00+00:00,2023-06-30 17:00:00+00:00,2023-06-30 18:00:00+00:00,2023-07-07 13:00:00+00:00,18.925,20.166,927.9350265011838,930.1270726482771
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SOL-USDT,2023-07-11 07:00:00+00:00,2023-07-16 18:00:00+00:00,2023-07-16 19:00:00+00:00,2023-07-18 07:00:00+00:00,28.011,26.429,-1083.4772242504755,2865.7336444574803
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,XRP-USDT,2023-07-11 09:00:00+00:00,2023-07-16 18:00:00+00:00,2023-07-16 19:00:00+00:00,2023-07-18 09:00:00+00:00,0.77365,0.7413,-1037.1004460162435,7942.645435876993
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,BTC-USDT,2023-07-11 18:00:00+00:00,2023-07-16 18:00:00+00:00,2023-07-16 19:00:00+00:00,2023-07-18 18:00:00+00:00,30381.4,29700.0,-355.3965336696598,-516.5365155013262
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,ETH-USDT,2023-07-11 22:00:00+00:00,2023-07-16 18:00:00+00:00,2023-07-16 19:00:00+00:00,2023-07-18 22:00:00+00:00,1937.37,1894.51,-365.72036882011747,84.4332698256473
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,LTC-USDT,2023-07-21 20:00:00+00:00,2023-07-24 06:00:00+00:00,2023-07-24 07:00:00+00:00,2023-07-24 20:00:00+00:00,92.48,89.299,-584.9320419664624,-969.337531466703
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,BTC-USDT,2023-07-23 19:00:00+00:00,2023-07-24 06:00:00+00:00,2023-07-24 07:00:00+00:00,2023-07-26 19:00:00+00:00,29799.3,29266.6,-325.5143005545178,-537.8964562920847
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SOL-USDT,2023-08-14 18:00:00+00:00,2023-08-14 20:00:00+00:00,2023-08-14 21:00:00+00:00,2023-08-17 18:00:00+00:00,24.827,23.047,-1164.7232272680583,-1431.5387106637195
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,XMR-USDT,2023-08-14 19:00:00+00:00,2023-08-14 20:00:00+00:00,2023-08-14 21:00:00+00:00,2023-08-17 19:00:00+00:00,159.09,149.87,-960.1016266008664,-992.8782748764063
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,XRP-USDT,2023-10-04 12:00:00+00:00,2023-10-05 07:00:00+00:00,2023-10-05 08:00:00+00:00,2023-10-07 12:00:00+00:00,0.52317,0.52265,-53.04979906014136,-424.11232362695057
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SOL-USDT,2023-10-04 13:00:00+00:00,2023-10-05 07:00:00+00:00,2023-10-05 08:00:00+00:00,2023-10-07 13:00:00+00:00,23.034,23.475,251.40686539910809,-152.3385043344286
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SOL-USDT,2023-10-27 08:00:00+00:00,2023-10-27 13:00:00+00:00,2023-10-27 14:00:00+00:00,2023-10-30 08:00:00+00:00,32.923,32.524,-235.5809039486263,-253.33248494040282
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SHIB-USDT,2023-10-26 22:00:00+00:00,2023-10-27 13:00:00+00:00,2023-10-27 14:00:00+00:00,2023-11-02 22:00:00+00:00,7.894e-06,7.866e-06,-97.68389127600092,-101.14735033939316
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,XMR-USDT,2023-10-29 20:00:00+00:00,2023-11-05 01:00:00+00:00,2023-11-05 02:00:00+00:00,2023-11-05 20:00:00+00:00,168.43,168.16,-67.57970274988864,201.29285954147966
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SOL-USDT,2023-10-30 16:00:00+00:00,2023-11-05 01:00:00+00:00,2023-11-05 02:00:00+00:00,2023-11-06 16:00:00+00:00,41.866,40.36,-751.2501954927225,2511.069790830461
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,XRP-USDT,2023-11-04 02:00:00+00:00,2023-11-05 01:00:00+00:00,2023-11-05 02:00:00+00:00,2023-11-11 02:00:00+00:00,0.62279,0.66361,1059.3212376977624,1332.5873929798124
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SHIB-USDT,2023-11-04 16:00:00+00:00,2023-11-05 01:00:00+00:00,2023-11-05 02:00:00+00:00,2023-11-11 16:00:00+00:00,7.944e-06,9.28e-06,2791.801133507392,2988.341551513755
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,ETH-USDT,2023-11-04 20:00:00+00:00,2023-11-05 01:00:00+00:00,2023-11-05 02:00:00+00:00,2023-11-11 20:00:00+00:00,1850.9,2076.73,1701.1418814155636,1748.9425595135683
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SOL-USDT,2023-11-08 21:00:00+00:00,2023-11-13 18:00:00+00:00,2023-11-13 19:00:00+00:00,2023-11-15 21:00:00+00:00,53.632,65.354,4612.596361003962,8775.31192088366
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,LINK-USDT,2023-12-19 01:00:00+00:00,2023-12-19 20:00:00+00:00,2023-12-19 21:00:00+00:00,2023-12-26 01:00:00+00:00,14.0735,15.5844,1855.8731491504154,1043.0076847652865
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,SOL-USDT,2023-12-19 02:00:00+00:00,2023-12-19 20:00:00+00:00,2023-12-19 21:00:00+00:00,2023-12-26 02:00:00+00:00,74.274,119.056,11005.809404034113,10858.42629667787
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,RELATIVE_STRENGTH_ROTATION,C2,2.0,BTC-USDT,2023-12-19 04:00:00+00:00,2023-12-19 20:00:00+00:00,2023-12-19 21:00:00+00:00,2023-12-26 04:00:00+00:00,42342.3,43409.8,412.60967454499485,50.419910004704036
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,AVAX-USDT,2022-01-01 19:00:00+00:00,2022-01-03 22:00:00+00:00,2022-01-03 23:00:00+00:00,2022-01-04 19:00:00+00:00,108.175,107.591,-56.957119641331694,-492.7959984497628
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,ETH-USDT,2022-01-02 18:00:00+00:00,2022-01-03 22:00:00+00:00,2022-01-03 23:00:00+00:00,2022-01-05 18:00:00+00:00,3723.14,3792.5,151.7182030004402,-132.0671071319737
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,ETH-USDT,2022-02-09 21:00:00+00:00,2022-02-11 12:00:00+00:00,2022-02-11 13:00:00+00:00,2022-02-12 21:00:00+00:00,3088.1,2953.22,-763.3844169454776,-1661.0618219422045
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,XRP-USDT,2022-03-27 23:00:00+00:00,2022-04-01 15:00:00+00:00,2022-04-01 16:00:00+00:00,2022-04-03 23:00:00+00:00,0.82803,0.84535,297.8622894626785,-168.72197178919888
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,AVAX-USDT,2022-03-29 12:00:00+00:00,2022-04-01 15:00:00+00:00,2022-04-01 16:00:00+00:00,2022-04-05 12:00:00+00:00,96.689,95.558,-232.80907528729463,270.3745037514084
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,SOL-USDT,2022-03-30 15:00:00+00:00,2022-04-01 15:00:00+00:00,2022-04-01 16:00:00+00:00,2022-04-06 15:00:00+00:00,132.627,119.093,-2048.966954835672,465.3413337488618
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,ATOM-USDT,2022-04-03 20:00:00+00:00,2022-04-05 10:00:00+00:00,2022-04-05 11:00:00+00:00,2022-04-06 20:00:00+00:00,30.4943,27.4917,-1694.4077542584464,-2519.31337428889
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,ETH-USDT,2022-04-04 00:00:00+00:00,2022-04-05 10:00:00+00:00,2022-04-05 11:00:00+00:00,2022-04-07 00:00:00+00:00,3508.97,3188.37,-1646.1487374582732,-1849.6739569026547
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,BTC-USDT,2022-07-21 11:00:00+00:00,2022-07-21 16:00:00+00:00,2022-07-21 17:00:00+00:00,2022-07-24 11:00:00+00:00,22638.0,22618.4,-34.332983533938595,-318.731152324578
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,ETH-USDT,2022-07-21 03:00:00+00:00,2022-07-21 16:00:00+00:00,2022-07-21 17:00:00+00:00,2022-07-28 03:00:00+00:00,1510.72,1615.47,1109.6306416660127,873.1524650604171
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,ADA-USDT,2022-07-21 09:00:00+00:00,2022-07-21 16:00:00+00:00,2022-07-21 17:00:00+00:00,2022-07-28 09:00:00+00:00,0.4826,0.500097,566.0402273434338,289.9369161259766
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,ADA-USDT,2022-10-29 18:00:00+00:00,2022-11-01 16:00:00+00:00,2022-11-01 17:00:00+00:00,2022-11-01 18:00:00+00:00,0.40327,0.401296,-99.11408261978647,-1202.5026222987865
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,LUNC-USDT,2022-10-30 10:00:00+00:00,2022-11-01 16:00:00+00:00,2022-11-01 17:00:00+00:00,2022-11-02 10:00:00+00:00,0.00023691,0.0002222,-999.3225515871817,-2282.821359182915
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,LTC-USDT,2023-01-12 01:00:00+00:00,2023-01-17 06:00:00+00:00,2023-01-17 07:00:00+00:00,2023-01-19 01:00:00+00:00,86.048,82.617,-644.1036644205044,-313.5404159027488
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,SOL-USDT,2023-01-13 23:00:00+00:00,2023-01-17 06:00:00+00:00,2023-01-17 07:00:00+00:00,2023-01-20 23:00:00+00:00,23.546,24.269,307.0330947687801,2624.9207197975325
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,SOL-USDT,2023-01-29 19:00:00+00:00,2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,2023-02-01 19:00:00+00:00,24.261,22.655,-1052.2398881036847,-2369.435253620825
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,BTC-USDT,2023-01-29 20:00:00+00:00,2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,2023-02-01 20:00:00+00:00,23112.3,23075.1,-47.12636121118125,-474.2653866143655
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,ETH-USDT,2023-01-29 20:00:00+00:00,2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,2023-02-01 20:00:00+00:00,1581.02,1580.98,-20.90527031120767,-543.4447482586684
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,LTC-USDT,2023-01-29 20:00:00+00:00,2023-01-30 18:00:00+00:00,2023-01-30 19:00:00+00:00,2023-02-01 20:00:00+00:00,92.092,94.962,479.657700603651,-376.71220844891894
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,DOGE-USDT,2023-01-28 06:00:00+00:00,2023-01-29 01:00:00+00:00,2023-01-29 02:00:00+00:00,2023-02-04 06:00:00+00:00,0.08867,0.09381,939.7946758713014,549.9924518365643
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,DOGE-USDT,2023-02-04 19:00:00+00:00,2023-02-07 10:00:00+00:00,2023-02-07 11:00:00+00:00,2023-02-07 19:00:00+00:00,0.09149,0.09211,86.35214186934371,-1198.7808461214586
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,SHIB-USDT,2023-02-02 02:00:00+00:00,2023-02-07 10:00:00+00:00,2023-02-07 11:00:00+00:00,2023-02-09 02:00:00+00:00,1.4111e-05,1.3747e-05,-511.48597929729175,1962.4364471984095
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,BTC-USDT,2023-02-14 16:00:00+00:00,2023-02-19 16:00:00+00:00,2023-02-19 17:00:00+00:00,2023-02-21 16:00:00+00:00,24921.1,24681.7,-195.44478089835548,1723.334093639349
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,ETH-USDT,2023-02-14 16:00:00+00:00,2023-02-19 16:00:00+00:00,2023-02-19 17:00:00+00:00,2023-02-21 16:00:00+00:00,1711.7,1674.77,-403.6334393121064,1200.6897479481977
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,DOGE-USDT,2023-02-15 06:00:00+00:00,2023-02-19 16:00:00+00:00,2023-02-19 17:00:00+00:00,2023-02-22 06:00:00+00:00,0.08922,0.08479,-852.6624510278269,-143.36319854431014
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,SOL-USDT,2023-02-15 11:00:00+00:00,2023-02-19 16:00:00+00:00,2023-02-19 17:00:00+00:00,2023-02-22 11:00:00+00:00,25.256,23.615,-1236.573426432754,1348.1941147300697
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,XRP-USDT,2023-02-15 12:00:00+00:00,2023-02-19 16:00:00+00:00,2023-02-19 17:00:00+00:00,2023-02-22 12:00:00+00:00,0.39622,0.39014,-272.94260608729394,167.10198251798596
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,DOGE-USDT,2023-02-28 02:00:00+00:00,2023-03-01 20:00:00+00:00,2023-03-01 21:00:00+00:00,2023-03-03 02:00:00+00:00,0.08113,0.08035,-159.04814987634217,-457.72041065357655
REGIME_HYSTERESIS_ADMISSION_GOVERNOR,UNION_FOCUS,D2,1.0,ETH-USDT,2023-02-28 03:00:00+00:00,2023-03-01 20:00:00+00:00,2023-03-01 21:00:00+00:00,2023-03-03 03:00:00+00:00,1634.68,1553.1,-861.0722637086125,-855.7128163062071
