direction,training_period,evaluation_period,universe_id,landmark_age_hours,model_fit_pass,rank,coefficient_name,coefficient_value
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,96,True,3,INTERCEPT,-0.030959555544043848
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,96,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.05896634245957145
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,96,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.0036856926878680524
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,INTERCEPT,-0.027336185149900844
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.07116691810869034
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,120,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.01062521860383599
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,INTERCEPT,-0.02638238414343139
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.0384766994828623
FORWARD,ROBUSTNESS_2022,ROBUSTNESS_2023,E2,144,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,-0.010557601410904942
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,INTERCEPT,0.008998994809879653
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.018562546668263204
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,24,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.0028199547575017215
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,INTERCEPT,0.012616227971676452
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,PAIR_VS_PIT_PEER_MEDIAN_LOG_24H_QUOTE_TURNOVER,0.007482443245186752
REVERSE,ROBUSTNESS_2023,ROBUSTNESS_2022,C2,48,True,3,PAIR_VS_PIT_PEER_MEDIAN_12H_LOG_TURNOVER_CHANGE,0.00533045088814598
