architecture_id,variant_id,cost_multiplier,final_equity,net_return,cagr,monthly_geometric_return,maximum_drawdown,profit_factor,win_rate,total_fees,minimum_cash,minimum_equity,capital_feasible
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,2.0,112599.59149408371,0.12599591494083717,0.019970645641076645,0.0016491790774209036,0.22655016039460496,1.067117679149413,0.31100478468899523,75284.2176848428,21117.210182205265,94085.14336538872,True
COMPOSITE_ALPHA_V1,DUAL_STRONG_BULL_STRUCTURE_BREADTH,3.0,74957.48265166441,-0.2504251734833559,-0.046896213759859084,-0.003994623222505322,0.3954836941791464,0.8834577836059156,0.2631578947368421,112926.3265272642,-15806.944698236424,74957.48265166441,False
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,1.0,162268.62404776114,0.6226862404776115,0.0840061987662648,0.006744611588664684,0.09042490529773628,1.405460492249722,0.4135593220338983,34890.05612320508,29657.560719591755,96206.36168124848,True
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,1.5,144823.59598616103,0.44823595986161036,0.0636554000318279,0.005155868170710898,0.12168378366661481,1.273117993855557,0.37457627118644066,52335.08418480762,27972.25235616976,95614.6455143022,True
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,2.0,127378.56792455506,0.27378567924555064,0.041147828733154146,0.0033659676909778558,0.15852339730625398,1.1561361223358,0.3423728813559322,69780.11224641016,18825.90798320288,95022.9293473558,True
COMPOSITE_ALPHA_V1,TREND_COOLDOWN_12H,3.0,92488.511801352,-0.07511488198648009,-0.01292728521042008,-0.0010837098393875477,0.256222133754861,0.9623463334553386,0.29322033898305083,104670.16836961525,-159.20337201946677,92488.511801352,False
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,1.0,150430.6660384694,0.5043066603846942,0.07040932280406809,0.005686198737777204,0.0994392273697241,1.3401341030848861,0.40613718411552346,34032.908821518104,13614.279826899474,96107.29206337284,True
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,1.5,133414.21162771236,0.33414211627712365,0.04921055872175861,0.004011192764701743,0.1325560559999882,1.2106118948628928,0.36462093862815886,51049.36323227716,6855.0288329802715,95482.2921141532,True
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,2.0,116397.7572169508,0.16397757216950803,0.025624698128428713,0.0021107151407271374,0.1719114496695977,1.0966144229897858,0.33212996389891697,68065.81764303621,-9871.857672602186,94857.29216493345,False
COMPOSITE_ALPHA_V1,CONSENSUS_RISK_075,3.0,82364.84839543403,-0.17635151604565968,-0.03181149908809133,-0.0026904141909491752,0.29995377922328703,0.9088649649707295,0.2833935018050541,102098.72646455432,-43325.630683760784,82364.84839543403,False
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,1.0,169585.97909132738,0.6958597909132738,0.09200257645063847,0.007361399249653955,0.12583577168468463,1.3306554335535514,0.40613718411552346,47757.99094594856,3359.8551604996246,95178.94982197955,True
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,1.5,145706.98361835373,0.45706983618353725,0.0647337748478447,0.005240750879741185,0.17024708280854173,1.203046856306139,0.36462093862815886,71636.98641892284,-5683.994135138666,94429.99096855147,False
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,2.0,121827.98814537762,0.21827988145377608,0.033446956208302625,0.0027454096201138256,0.22505158403525494,1.0906784367386215,0.33212996389891697,95515.98189189711,-21280.97003364339,93681.03211512335,False
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_075,3.0,74069.99719942879,-0.25930002800571206,-0.048785932831605816,-0.004159337963960175,0.3929507389585545,0.9054493688532951,0.2833935018050541,143273.97283784568,-64901.57556062841,74069.99719942879,False
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,1.0,190057.76003798144,0.9005776003798145,0.11293862581156788,0.008956868802751927,0.1455563262663827,1.3263228319452625,0.40613718411552346,62622.00817053051,-29864.05199951015,94127.16867998967,False
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,1.5,158746.7559527154,0.5874675595271541,0.08004988588856188,0.006437904013783413,0.1998422516630235,1.1989888002646416,0.36462093862815886,93933.01225579577,-43713.15256728291,93220.96714007971,False
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,2.0,127435.75186744872,0.2743575186744873,0.0412256981348722,0.003372221112063034,0.269098211458604,1.0868968972862576,0.33212996389891697,125244.01634106103,-63630.97836886019,92314.76560016975,False
COMPOSITE_ALPHA_V1,STRONG_BULL_RISK_100,3.0,64813.74369691925,-0.35186256303080754,-0.06971129533389164,-0.006003598106019026,0.4889010504483505,0.9021904933686754,0.2833935018050541,187866.02451159153,-120481.6866498237,64813.74369691925,False
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,1.0,191636.5563453498,0.916365563453498,0.11447384855126796,0.009072777790036568,0.1130412238926507,1.409847927442455,0.41442953020134227,51297.12691843805,3359.8551604996246,95178.94982197955,True
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,1.5,165987.9928861317,0.6598799288613169,0.08810743041512326,0.00706147250554201,0.154624179130606,1.2759684275605578,0.37416107382550334,76945.69037765707,2369.485753640365,94429.99096855147,True
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,2.0,140339.4294269107,0.4033942942691071,0.05809538928907809,0.0047169641298836495,0.2054882253196565,1.157795651363098,0.3422818791946309,102594.2538368761,-7208.671002163035,93681.03211512335,False
COMPOSITE_ALPHA_V1,EVIDENCE_COMPOSITE_EXPANSION,3.0,89042.30250847223,-0.10957697491527763,-0.019153258814855967,-0.0016102903183354833,0.35105965453693455,0.9623671939279576,0.29194630872483224,153891.38075531414,-49929.27025158497,89042.30250847223,False
