currency,display_name,full_name,is_margin_enabled,is_debit_enabled,chain_count,canonical_asset_id,identity_confidence,current_metadata_isolation
ACH,ACH,Alchemy Pay,False,True,1,ACH,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACN,ACN,AITECH Cloud Network,False,False,1,ACN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACOIN,ACOIN,Alchemy,False,False,1,ACOIN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACQ,ACQ,Acquire.Fi,False,False,1,ACQ,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACS,ACS,Access Protocol,False,True,1,ACS,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACTOLD,ACTOLD,AChain,False,False,1,ACTOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACTSOL,ACTSOL,Act I The AI Prophecy,False,False,1,ACTSOL,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACU,ACU,Acurast,False,False,1,ACU,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ACX,ACX,Across Protocol,False,False,1,ACX,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ADA,ADA,Cardano,True,True,1,ADA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ADA3L,ADA3L,ADA 3x Long,False,False,1,ADA3L,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ADA3S,ADA3S,ADA 3x Short,False,False,1,ADA3S,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ADB,ADB,Adbank,False,False,1,ADB,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ADI,ADI,ADI,False,False,2,ADI,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ADS,ADS,Alkimi,False,False,1,ADS,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ADX,ADX,heyAura,False,False,1,ADX,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AED,AED,UAE Dirham,False,False,0,AED,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AEG,AEG,Aether Games,False,False,1,AEG,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AEON,AEON,AEON,False,False,1,AEON,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AERGO,AERGO,Aergo,False,False,1,AERGO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AERO,AERO,Aerodrome Finance,False,False,1,AERO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AEVO,AEVO,Aevo,False,True,1,AEVO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AFG,AFG,AOFverse,False,False,1,AFG,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AFK,AFK,AFKDAO,False,False,1,AFK,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AGI,AGI,Delysium,False,False,1,AGI,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AGIOLD,AGIOLD,SingularityNET,False,False,1,AGIOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AGIX,AGIX,SingularityNET Token,False,True,2,AGIX,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AGIX2L,AGIX2L,AGIX 2x Long,False,False,1,AGIX2L,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AGIX2S,AGIX2S,AGIX 2x Short,False,False,1,AGIX2S,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AGIXDOWN,AGIXDOWN,AGIX 2-4 Short,False,False,1,AGIXDOWN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AGIXUP,AGIXUP,AGIX 2-4 Long,False,False,1,AGIXUP,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AGLD,AGLD,Adventure Gold,False,False,1,AGLD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AGT,AGT,Alaya Governance Token,False,False,1,AGT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AI,AI,Gensyn,False,False,2,AI,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AI16Z,AI16Z,ai16z,False,True,1,AI16Z,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AI3,AI3,Autonomys,False,False,1,AI3,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AIDOGE,AIDOGE,AIDOGE,False,False,1,AIDOGE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AIEPK,AIEPK,EpiK Protocol,False,False,1,AIEPK,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AIN,AIN,Infinity Ground,False,False,1,AIN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AIO,AIO,OlaXBT,False,False,1,AIO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AIOLD,AIOLD,Multiverse,False,False,1,AIOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AION,AION,Aion,False,True,1,AION,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AIOZ,AIOZ,AIOZ Network,False,True,2,AIOZ,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AIPAD,AIPAD,AIPAD,False,False,2,AIPAD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AIPUMP,AIPUMP,aiPump,False,False,1,AIPUMP,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AITECH,AITECH,Solidus Ai Tech,False,False,1,AITECH,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AIX,AIX,Aigang,False,False,1,AIX,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AIXBT,AIXBT,aixbt by Virtuals,False,False,1,AIXBT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AKE,AKE,AKEDO,False,False,1,AKE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AKITA,AKITA,Akita,False,False,1,AKITA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AKRO,AKRO,Akropolis,False,False,1,AKRO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AKT,AKT,Akash Network,False,False,1,AKT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALBT,ALBT,AllianceBlock,False,False,1,ALBT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALEPH,ALEPH,Aleph.im,False,False,1,ALEPH,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALEX,ALEX,ALEX Lab,False,False,1,ALEX,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALGO,ALGO,Algorand,True,True,1,ALGO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALGODOWN,ALGODOWN,ALGO 2-4 Short,False,False,1,ALGODOWN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALGOUP,ALGOUP,ALGO 2-4 Long,False,False,1,ALGOUP,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALICE,ALICE,MyNeighborAlice,False,True,2,ALICE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALKIMI,ALKIMI,ALKIMI,False,False,1,ALKIMI,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALL,ALL,Lek,False,False,0,ALL,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALLO,ALLO,Allo,False,True,1,ALLO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALPA,ALPA,Alpaca City,False,False,1,ALPA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALPACA,ALPACA,Alpaca Finance,False,False,1,ALPACA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALPHA,ALPHA,Stella,False,True,2,ALPHA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALPINE,ALPINE,Alpine F1 Team Fan Token,False,False,1,ALPINE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALTOLD,ALTOLD,AptosLaunchToken,False,False,1,ALTOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ALU,ALU,Altura,False,False,1,ALU,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AMB,AMB,AirDAO,False,True,1,AMB,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AMIO,AMIO,Amino,False,False,1,AMIO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AMP,AMP,Amp,False,False,1,AMP,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AMPL,AMPL,Ampleforth,False,True,1,AMPL,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AMU,AMU,Amulet,False,False,1,AMU,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANALOS,ANALOS,analoS,False,False,1,ANALOS,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANC,ANC,Anchor Protocol,False,True,2,ANC,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANG,ANG,Netherlands Antillian Guilder,False,False,0,ANG,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANI,ANI,Ani Grok Companion,False,False,1,ANI,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANIME,ANIME,Animecoin,False,True,2,ANIME,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANKR,ANKR,Ankr Network,False,True,1,ANKR,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANLOG,ANLOG,ANLOG,False,False,1,ANLOG,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANOME,ANOME,Anome,False,False,1,ANOME,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANSEM,ANSEM,The Black Bull,False,False,1,ANSEM,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANT,ANT,ANTTIME,False,False,1,ANT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANTFUN,ANTFUN,AntFun,False,False,1,ANTFUN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANTOLD,ANTOLD,Aragon,False,True,1,ANTOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ANYONE,ANYONE,ANyONe Protocol,False,False,1,ANYONE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AOA,AOA,AURORA (AOA),False,False,1,AOA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AOG,AOG,AgeOfGods,False,False,1,AOG,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AOS,AOS,AOS,False,False,1,AOS,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
APE,APE,ApeCoin,True,True,2,APE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
APE3L,APE3L,APE 3x Long,False,False,1,APE3L,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
APE3S,APE3S,APE 3x Short,False,False,1,APE3S,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
APH,APH,Aphelion,False,False,1,APH,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
API3,API3,API3,False,True,1,API3,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
APL,APL,Apollo Currency,False,False,1,APL,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
APP,APP,Moon App,False,False,1,APP,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
APR,APR,aPriori,False,False,1,APR,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
APT,APT,Aptos,True,True,1,APT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
APT2L,APT2L,APT 2x Long,False,False,1,APT2L,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
APT2S,APT2S,APT 2x Short,False,False,1,APT2S,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AR,AR,Arweave,True,True,1,AR,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARB,ARB,Arbitrum,True,True,2,ARB,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARB3L,ARB3L,ARB 3x Long,False,False,1,ARB3L,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARB3S,ARB3S,ARB 3x Short,False,False,1,ARB3S,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARCA,ARCA,Legend of Arcadia,False,False,1,ARCA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARCOLD,ARCOLD,Arcade,False,False,1,ARCOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARCSOL,ARCSOL,AI Rig Complex,False,False,1,ARCSOL,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARIA,ARIA,ARIA.AI,False,False,1,ARIA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARKER,ARKER,ARKER,False,False,1,ARKER,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARKM,ARKM,Arkham,False,False,1,ARKM,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARN,ARN,Aeron,False,False,1,ARN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARNM,ARNM,Arenum,False,False,1,ARNM,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARPA,ARPA,ARPA Token,False,True,1,ARPA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARPADOWN,ARPADOWN,ARPA 2-4 Short,False,False,1,ARPADOWN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARPAUP,ARPAUP,ARPA 2-4 Long,False,False,1,ARPAUP,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARRR,ARRR,Pirate Chain,False,False,1,ARRR,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARS,ARS,Argentine Peso,False,False,0,ARS,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ART,ART,LiveArt,False,False,1,ART,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARTFI,ARTFI,Artfi,False,False,1,ARTFI,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARTY,ARTY,Artyfact,False,False,1,ARTY,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARX,ARX,Arcium,False,False,1,ARX,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARXOLD,ARXOLD,ARCS,False,True,1,ARXOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ARY,ARY,Block Array,False,False,1,ARY,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ASD,ASD,AscendEX token,False,False,1,ASD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ASI,ASI,Sender AI,False,False,1,ASI,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ASP,ASP,ASPECTA,False,True,1,ASP,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ASRR,ASRR,Assisterr AI,False,False,1,ASRR,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ASSET,ASSET,REAL,False,False,1,ASSET,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ASTER,ASTER,Aster,True,True,1,ASTER,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ASTR,ASTR,Astar Network,False,True,1,ASTR,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ASTRA,ASTRA,Astra Protocol,False,True,1,ASTRA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ASTROBOY,ASTROBOY,MC Astroboy,False,False,1,ASTROBOY,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ATA,ATA,Automata Network,False,False,2,ATA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ATEM,ATEM,Atem Network,False,False,1,ATEM,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ATH,ATH,Aethir,False,True,1,ATH,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ATOM,ATOM,Cosmos,True,True,1,ATOM,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ATOM3L,ATOM3L,ATOM 3x Long,False,False,1,ATOM3L,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ATOM3S,ATOM3S,ATOM 3x Short,False,False,1,ATOM3S,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ATOR,ATOR,ATOR Protocol,False,False,1,ATOR,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
ATWO,ATWO,Arena Two,False,False,1,ATWO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AUCTION,AUCTION,Bounce Finance,False,False,1,AUCTION,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AUD,AUD,Australian Dollar,False,False,0,AUD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AUDIO,AUDIO,Audius,False,True,1,AUDIO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AURA,AURA,Aura finance,False,False,1,AURA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AURORA,AURORA,AURORA,False,False,1,AURORA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AURY,AURY,Aurory,False,False,1,AURY,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AUSD,aUSD,Acala Dollar,False,False,2,AUSD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AUTOS,AUTOS,CryptoAutos,False,False,1,AUTOS,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AVA,AVA,AVA,False,True,1,AVA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AVAAI,AVAAI,Ava AI,False,False,1,AVAAI,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AVAIL,AVAIL,AVAIL,False,False,1,AVAIL,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AVAX,AVAX,Avalanche,True,True,2,AVAX,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AVAX3L,AVAX3L,AVAX 3x Long,False,False,1,AVAX3L,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AVAX3S,AVAX3S,AVAX 3x Short,False,False,1,AVAX3S,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AVNT,AVNT,Avantis,False,False,1,AVNT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AWE,AWE,AWE Network,False,False,1,AWE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AWG,AWG,Aruban Florin,False,False,0,AWG,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AXC,AXC,AXIA,False,False,1,AXC,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AXE,AXE,Axe,False,False,1,AXE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AXPR,AXPR,AXpire,False,False,1,AXPR,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AXS,AXS,Axie Infinity,False,True,1,AXS,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AXS3L,AXS3L,AXS 3x Long,False,False,1,AXS3L,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AXS3S,AXS3S,AXS 3x Short,False,False,1,AXS3S,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AZERO,AZERO,Aleph Zero,False,True,1,AZERO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AZN,AZN,Azerbaijanian Manat,False,False,0,AZN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
AZTEC,AZTEC,AZTEC,False,False,1,AZTEC,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
B,B,BUILDon,False,False,2,,LOW,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
B2,B2,BSquared Network,False,False,1,B2,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
B3,B3,B3,False,False,1,B3,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BABY,BABY,Babylon,False,True,1,BABY,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BABYBNB,BABYBNB,BabyBNB,False,False,1,BABYBNB,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BABYDOGE,BABYDOGE,Baby Doge Coin,False,True,2,BABYDOGE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BABYSHARK,BABYSHARK,BabyShark,False,False,1,BABYSHARK,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BABYSHARKO,BABYSHARKO,Baby Shark Meme,False,False,1,BABYSHARKO,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BADGER,BADGER,Badger DAO,False,True,1,BADGER,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BAKE,BAKE,BakeryToken,False,True,1,BAKE,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BAKEDOWN,BAKEDOWN,BAKE 2-4 Short,False,False,1,BAKEDOWN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BAKEUP,BAKEUP,BAKE 2-4 Long,False,False,1,BAKEUP,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BAL,BAL,Balancer,False,False,1,BAL,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BAN,BAN,Comedian,False,False,1,BAN,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BANANA,BANANA,Banana,False,True,1,BANANA,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BAND,BAND,Band Protocol,False,True,3,BAND,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BANK,BANK,Lorenzo Governance Token,False,False,1,BANK,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BARD,BARD,Lombard,False,False,1,BARD,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BAS,BAS,BNB Attestation Service,False,False,1,BAS,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BASED,BASED,Based,False,False,1,BASED,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BASIC,BASIC,BASIC,False,False,1,BASIC,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
BAT,BAT,BAT,False,True,2,BAT,HIGH,CURRENT_METADATA_NON_CAUSAL_CANDIDATE_SEED
