currency,display_name,full_name,is_margin_enabled,is_debit_enabled,chain_count,canonical_asset_id,identity_confidence,current_metadata_isolation,historical_base_usdt_kline_found
ALEPH,ALEPH,Aleph.im,False,False,1,ALEPH,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ALEX,ALEX,ALEX Lab,False,False,1,ALEX,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ALGO,ALGO,Algorand,True,True,1,ALGO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ALGODOWN,ALGODOWN,ALGO 2-4 Short,False,False,1,ALGODOWN,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ALGOUP,ALGOUP,ALGO 2-4 Long,False,False,1,ALGOUP,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ALICE,ALICE,MyNeighborAlice,False,True,2,ALICE,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ALKIMI,ALKIMI,ALKIMI,False,False,1,ALKIMI,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ALL,ALL,Lek,False,False,0,ALL,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ALLO,ALLO,Allo,False,True,1,ALLO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ALPA,ALPA,Alpaca City,False,False,1,ALPA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ALPACA,ALPACA,Alpaca Finance,False,False,1,ALPACA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ALPHA,ALPHA,Stella,False,True,2,ALPHA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ALPINE,ALPINE,Alpine F1 Team Fan Token,False,False,1,ALPINE,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ALTOLD,ALTOLD,AptosLaunchToken,False,False,1,ALTOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ALU,ALU,Altura,False,False,1,ALU,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AMB,AMB,AirDAO,False,True,1,AMB,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AMIO,AMIO,Amino,False,False,1,AMIO,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AMP,AMP,Amp,False,False,1,AMP,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
AMPL,AMPL,Ampleforth,False,True,1,AMPL,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AMU,AMU,Amulet,False,False,1,AMU,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANALOS,ANALOS,analoS,False,False,1,ANALOS,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANC,ANC,Anchor Protocol,False,True,2,ANC,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANG,ANG,Netherlands Antillian Guilder,False,False,0,ANG,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANI,ANI,Ani Grok Companion,False,False,1,ANI,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANIME,ANIME,Animecoin,False,True,2,ANIME,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANKR,ANKR,Ankr Network,False,True,1,ANKR,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,True
ANLOG,ANLOG,ANLOG,False,False,1,ANLOG,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANOME,ANOME,Anome,False,False,1,ANOME,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANSEM,ANSEM,The Black Bull,False,False,1,ANSEM,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANT,ANT,ANTTIME,False,False,1,ANT,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANTFUN,ANTFUN,AntFun,False,False,1,ANTFUN,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANTOLD,ANTOLD,Aragon,False,True,1,ANTOLD,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
ANYONE,ANYONE,ANyONe Protocol,False,False,1,ANYONE,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
AOA,AOA,AURORA (AOA),False,False,1,AOA,HIGH,CURRENT_METADATA_NON_CAUSAL_NOT_USED_FOR_MEMBERSHIP,False
