period,asset,first_eligible_week,final_eligible_week,eligible_weeks,top_30_weeks,top_10_weeks,top_8_weeks,top_6_weeks,hysteresis_weeks,best_rank,median_rank,top6_slot_contribution,top10_slot_contribution,longest_consecutive_top6_weeks,c2_d2_substitutions_caused,displaced_evidence_strong_assets,p2t_liquidity_flags,p2t_extreme_flag_rows
FULL,NEO-USDT,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303,113,36,27,17,24,4,60.0,17,36,17,4,TRX-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;EXTREME_SINGLE_DAY_CONCENTRATION;PRICE_RANGE_VOLUME_DIVERGENCE;SPARSE_INTRADAY_ACTIVITY;VOLUME_PATTERN_PLAUSIBLE,24
FULL,NFP-USDT,2024-04-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,38,0,0,0,0,0,260,318.5,0,0,0,0,,,0
FULL,NXRA-USDT,2023-06-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,82,0,0,0,0,0,61,112.5,0,0,0,0,,,0
FULL,ONT-USDT,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303,83,5,2,0,0,8,138.0,0,5,0,1,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,42
FULL,OORT-USDT,2024-09-23T00:00:00+00:00,2024-12-30T00:00:00+00:00,15,0,0,0,0,0,117,298.0,0,0,0,0,,,0
FULL,ORDI-USDT,2023-09-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,70,14,0,0,0,0,13,46.0,0,0,0,0,,,0
FULL,P2P-USDT,2021-12-27T00:00:00+00:00,2024-12-30T00:00:00+00:00,158,0,0,0,0,0,109,191.0,0,0,0,0,,,0
FULL,PEPE-USDT,2023-08-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,74,74,54,47,33,38,4,7.0,33,54,17,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,5
FULL,PUNDIX-USDT,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,0,0,0,0,0,91,255.0,0,0,0,0,,,0
FULL,PZP-USDT,2023-07-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,76,0,0,0,0,0,84,202.5,0,0,0,0,,,0
FULL,QKC-USDT,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,0,330,357.0,0,0,0,0,,,0
FULL,REQ-USDT,2021-11-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,164,0,0,0,0,0,44,189.5,0,0,0,0,,,0
FULL,SNX-USDT,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303,108,0,0,0,0,11,58.0,0,0,0,0,,,0
FULL,SOUL-USDT,2021-10-11T00:00:00+00:00,2024-12-30T00:00:00+00:00,169,0,0,0,0,0,45,123.0,0,0,0,0,,,0
FULL,STRAX-USDT,2023-07-10T00:00:00+00:00,2024-12-30T00:00:00+00:00,78,0,0,0,0,0,75,324.5,0,0,0,0,,,0
FULL,SUI-USDT,2023-08-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,74,60,18,18,10,11,4,20.0,10,18,7,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,1
FULL,TEL-USDT,2019-06-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,292,102,20,13,10,0,5,42.5,10,20,5,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,12
FULL,TIME-USDT,2022-04-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,144,0,0,0,0,0,42,202.0,0,0,0,0,,,0
FULL,TRAC-USDT,2023-05-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,86,0,0,0,0,0,93,150.0,0,0,0,0,,,0
FULL,UTK-USDT,2024-03-11T00:00:00+00:00,2024-12-30T00:00:00+00:00,43,0,0,0,0,0,213,336.0,0,0,0,0,,,0
FULL,VANRY-USDT,2024-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,42,0,0,0,0,0,64,113.0,0,0,0,0,,,0
FULL,VET-USDT,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303,166,50,23,13,13,4,24.0,13,50,8,0,,EXTREME_SINGLE_DAY_CONCENTRATION;SPARSE_INTRADAY_ACTIVITY;VOLUME_PATTERN_PLAUSIBLE,13
FULL,VOLT-USDT,2023-09-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,70,0,0,0,0,0,106,268.5,0,0,0,0,,,0
FULL,WAX-USDT,2021-07-19T00:00:00+00:00,2024-12-30T00:00:00+00:00,181,1,0,0,0,0,30,118.0,0,0,0,0,,,0
FULL,XDB-USDT,2020-07-13T00:00:00+00:00,2024-12-30T00:00:00+00:00,234,38,0,0,0,0,13,65.0,0,0,0,0,,,0
FULL,XEC-USDT,2022-03-14T00:00:00+00:00,2024-12-30T00:00:00+00:00,147,0,0,0,0,0,123,239.0,0,0,0,0,,,0
FULL,XLM-USDT,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,303,207,44,13,1,0,6,22.0,1,44,1,2,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,18
FULL,XRD-USDT,2023-06-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,82,0,0,0,0,0,31,97.0,0,0,0,0,,,0
FULL,XYO-USDT,2021-12-13T00:00:00+00:00,2024-12-30T00:00:00+00:00,160,0,0,0,0,0,65,206.0,0,0,0,0,,,0
FULL,ZBCN-USDT,2024-08-05T00:00:00+00:00,2024-12-30T00:00:00+00:00,22,0,0,0,0,0,71,104.5,0,0,0,0,,,0
FULL,ZIL-USDT,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,10,1,0,0,0,9,76.0,0,1,0,0,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,8
FULL,ZKJ-USDT,2024-06-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,28,0,0,0,0,0,200,328.0,0,0,0,0,,,0
FULL,ZRX-USDT,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,0,177,327.0,0,0,0,0,,,0
POST_WARMUP,1INCH-USDT,2021-03-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,197,14,0,0,0,0,20,121.0,0,0,0,0,,,0
POST_WARMUP,AGI-USDT,2023-07-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,77,0,0,0,0,0,129,214.0,0,0,0,0,,,0
POST_WARMUP,ARTFI-USDT,2024-09-16T00:00:00+00:00,2024-12-30T00:00:00+00:00,16,0,0,0,0,0,177,192.0,0,0,0,0,,,0
POST_WARMUP,AVA-USDT,2019-06-10T00:00:00+00:00,2024-12-30T00:00:00+00:00,291,76,0,0,0,0,12,142.0,0,0,0,0,,,0
POST_WARMUP,BAX-USDT,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,0,0,0,0,0,47,182.0,0,0,0,0,,,0
POST_WARMUP,BCHSV-USDT,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301,117,98,85,65,68,2,74.0,65,98,37,163,AAVE-USDT;ADA-USDT;ALGO-USDT;ARPA-USDT;ATOM-USDT;DOT-USDT;KCS-USDT;LTC-USDT;SENSO-USDT;TRX-USDT;XRP-USDT;XTZ-USDT;ZEC-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,24
POST_WARMUP,CGPT-USDT,2023-07-10T00:00:00+00:00,2024-12-30T00:00:00+00:00,78,0,0,0,0,0,58,111.5,0,0,0,0,,,0
POST_WARMUP,CHR-USDT,2019-09-02T00:00:00+00:00,2024-12-30T00:00:00+00:00,279,60,11,7,0,0,8,96.0,0,11,0,11,ALGO-USDT;ARPA-USDT;ATOM-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,33
POST_WARMUP,COMP-USDT,2020-09-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,223,25,2,0,0,0,9,118.0,0,2,0,2,SENSO-USDT;XTZ-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;PRICE_RANGE_VOLUME_DIVERGENCE;VOLUME_PATTERN_PLAUSIBLE,27
POST_WARMUP,COTI-USDT,2019-09-09T00:00:00+00:00,2024-12-30T00:00:00+00:00,278,85,20,12,0,0,8,66.0,0,20,0,20,ALGO-USDT;ARPA-USDT;ATOM-USDT;BNB-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,20
POST_WARMUP,DAG-USDT,2020-02-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,255,57,0,0,0,0,13,78.0,0,0,0,0,,,0
POST_WARMUP,DASH-USDT,2020-03-23T00:00:00+00:00,2024-12-30T00:00:00+00:00,250,58,3,0,0,0,9,79.0,0,3,0,3,ZEC-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,3
POST_WARMUP,DCR-USDT,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,0,313,349.0,0,0,0,0,,,0
POST_WARMUP,DENT-USDT,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,0,234,318.0,0,0,0,0,,,0
POST_WARMUP,DGB-USDT,2020-08-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,229,16,0,0,0,0,22,131.0,0,0,0,0,,,0
POST_WARMUP,ENJ-USDT,2021-06-21T00:00:00+00:00,2024-12-30T00:00:00+00:00,185,9,0,0,0,0,24,116.0,0,0,0,0,,,0
POST_WARMUP,ETC-USDT,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301,108,41,7,0,0,8,43.0,0,41,0,41,ALGO-USDT;APE-USDT;ATOM-USDT;BNB-USDT;DOGE-USDT;DOT-USDT;KSM-USDT;XTZ-USDT;ZEC-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;PRICE_RANGE_VOLUME_DIVERGENCE;VOLUME_PATTERN_PLAUSIBLE,25
POST_WARMUP,ETN-USDT,2019-10-14T00:00:00+00:00,2024-12-30T00:00:00+00:00,273,45,0,0,0,0,11,189.0,0,0,0,0,,,0
POST_WARMUP,GAS-USDT,2021-06-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,187,0,0,0,0,0,56,252.0,0,0,0,0,,,0
POST_WARMUP,GRAM-USDT,2023-01-30T00:00:00+00:00,2024-12-30T00:00:00+00:00,101,80,37,22,11,9,5,13.0,11,37,5,48,AAVE-USDT;ADA-USDT;AVAX-USDT;BNB-USDT;CFX-USDT;DOGE-USDT;FET-USDT;FLOKI-USDT;INJ-USDT;JASMY-USDT;LTC-USDT;NEAR-USDT;ONDO-USDT;SHIB-USDT;VELO-USDT;XMR-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,2
POST_WARMUP,KAS-USDT,2023-08-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,74,72,24,12,2,4,6,13.0,2,24,2,26,AVAX-USDT;BCH-USDT;BNB-USDT;DOGE-USDT;INJ-USDT;JASMY-USDT;LINK-USDT;NAKA-USDT;NEAR-USDT;ONDO-USDT;RUNE-USDT;SHIB-USDT;WLD-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,3
POST_WARMUP,KNC-USDT,2022-08-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,127,0,0,0,0,0,151,272.0,0,0,0,0,,,0
POST_WARMUP,KPOL-USDT,2020-07-13T00:00:00+00:00,2024-12-30T00:00:00+00:00,234,26,2,0,0,0,9,119.5,0,2,0,2,TRX-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,11
POST_WARMUP,LOCUS-USDT,2023-07-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,76,0,0,0,0,0,70,178.5,0,0,0,0,,,0
POST_WARMUP,LSK-USDT,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,0,234,321.0,0,0,0,0,,,0
POST_WARMUP,LYX-USDT,2023-10-23T00:00:00+00:00,2024-12-30T00:00:00+00:00,63,0,0,0,0,0,83,133.0,0,0,0,0,,,0
POST_WARMUP,MAN-USDT,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,0,0,0,0,0,39,187.5,0,0,0,0,,,0
POST_WARMUP,MANA-USDT,2021-06-21T00:00:00+00:00,2024-12-30T00:00:00+00:00,185,43,10,5,2,4,5,59.0,2,10,2,12,ADA-USDT;AVAX-USDT;BNB-USDT;CRO-USDT;DOT-USDT;SLP-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,10
POST_WARMUP,MAPO-USDT,2024-07-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,23,0,0,0,0,0,124,161.0,0,0,0,0,,,0
POST_WARMUP,MONPRO-USDT,2024-08-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,19,0,0,0,0,0,90,111.0,0,0,0,0,,,0
POST_WARMUP,MTV-USDT,2019-07-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,286,54,14,0,0,0,9,82.0,0,14,0,14,ATOM-USDT;BNB-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;PRICE_RANGE_VOLUME_DIVERGENCE;VOLUME_PATTERN_PLAUSIBLE,21
POST_WARMUP,NAVI-USDT,2023-03-06T00:00:00+00:00,2024-12-30T00:00:00+00:00,96,0,0,0,0,0,96,217.5,0,0,0,0,,,0
POST_WARMUP,NEO-USDT,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301,111,34,25,15,22,5,63.0,15,34,15,49,ARPA-USDT;ATOM-USDT;BNB-USDT;TRX-USDT;XTZ-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;EXTREME_SINGLE_DAY_CONCENTRATION;PRICE_RANGE_VOLUME_DIVERGENCE;SPARSE_INTRADAY_ACTIVITY;VOLUME_PATTERN_PLAUSIBLE,24
POST_WARMUP,NFP-USDT,2024-04-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,38,0,0,0,0,0,260,318.5,0,0,0,0,,,0
POST_WARMUP,NXRA-USDT,2023-06-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,82,0,0,0,0,0,61,112.5,0,0,0,0,,,0
POST_WARMUP,ONT-USDT,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301,81,4,2,0,0,8,139.0,0,4,0,4,,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,42
POST_WARMUP,OORT-USDT,2024-09-23T00:00:00+00:00,2024-12-30T00:00:00+00:00,15,0,0,0,0,0,117,298.0,0,0,0,0,,,0
POST_WARMUP,ORDI-USDT,2023-09-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,70,14,0,0,0,0,13,46.0,0,0,0,0,,,0
POST_WARMUP,P2P-USDT,2021-12-27T00:00:00+00:00,2024-12-30T00:00:00+00:00,158,0,0,0,0,0,109,191.0,0,0,0,0,,,0
POST_WARMUP,PEPE-USDT,2023-08-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,74,74,54,47,33,38,4,7.0,33,54,17,87,ADA-USDT;BNB-USDT;DOGE-USDT;FET-USDT;FIL-USDT;FLOKI-USDT;HBAR-USDT;INJ-USDT;LTC-USDT;NAKA-USDT;NEAR-USDT;ONDO-USDT;SHIB-USDT;TAO-USDT;TRX-USDT;VELO-USDT;WIF-USDT;XMR-USDT;XRP-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,5
POST_WARMUP,PUNDIX-USDT,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,0,0,0,0,0,91,255.0,0,0,0,0,,,0
POST_WARMUP,PZP-USDT,2023-07-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,76,0,0,0,0,0,84,202.5,0,0,0,0,,,0
POST_WARMUP,QKC-USDT,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,0,330,357.0,0,0,0,0,,,0
POST_WARMUP,REQ-USDT,2021-11-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,164,0,0,0,0,0,44,189.5,0,0,0,0,,,0
POST_WARMUP,SNX-USDT,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301,106,0,0,0,0,11,59.0,0,0,0,0,,,0
POST_WARMUP,SOUL-USDT,2021-10-11T00:00:00+00:00,2024-12-30T00:00:00+00:00,169,0,0,0,0,0,45,123.0,0,0,0,0,,,0
POST_WARMUP,STRAX-USDT,2023-07-10T00:00:00+00:00,2024-12-30T00:00:00+00:00,78,0,0,0,0,0,75,324.5,0,0,0,0,,,0
POST_WARMUP,SUI-USDT,2023-08-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,74,60,18,18,10,11,4,20.0,10,18,7,28,ARB-USDT;AVAX-USDT;HBAR-USDT;INJ-USDT;LINK-USDT;NEAR-USDT;SHIB-USDT;TAO-USDT;WIF-USDT;XMR-USDT;XRP-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,1
POST_WARMUP,TEL-USDT,2019-06-03T00:00:00+00:00,2024-12-30T00:00:00+00:00,292,102,20,13,10,0,5,42.5,10,20,5,30,BCH-USDT;BNB-USDT;DOGE-USDT;DOT-USDT;ICP-USDT;KCS-USDT;KSM-USDT;LINK-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,12
POST_WARMUP,TIME-USDT,2022-04-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,144,0,0,0,0,0,42,202.0,0,0,0,0,,,0
POST_WARMUP,TRAC-USDT,2023-05-15T00:00:00+00:00,2024-12-30T00:00:00+00:00,86,0,0,0,0,0,93,150.0,0,0,0,0,,,0
POST_WARMUP,UTK-USDT,2024-03-11T00:00:00+00:00,2024-12-30T00:00:00+00:00,43,0,0,0,0,0,213,336.0,0,0,0,0,,,0
POST_WARMUP,VANRY-USDT,2024-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,42,0,0,0,0,0,64,113.0,0,0,0,0,,,0
POST_WARMUP,VET-USDT,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301,164,50,23,13,13,4,25.0,13,50,8,63,ALGO-USDT;ATOM-USDT;BNB-USDT;BTT-USDT;DOT-USDT;ELON-USDT;GRT-USDT;KCS-USDT;LINK-USDT;LTC-USDT;ONE-USDT;TRX-USDT;UNI-USDT;XTZ-USDT;ZEC-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;SPARSE_INTRADAY_ACTIVITY;VOLUME_PATTERN_PLAUSIBLE,13
POST_WARMUP,VOLT-USDT,2023-09-04T00:00:00+00:00,2024-12-30T00:00:00+00:00,70,0,0,0,0,0,106,268.5,0,0,0,0,,,0
POST_WARMUP,WAX-USDT,2021-07-19T00:00:00+00:00,2024-12-30T00:00:00+00:00,181,1,0,0,0,0,30,118.0,0,0,0,0,,,0
POST_WARMUP,XDB-USDT,2020-07-13T00:00:00+00:00,2024-12-30T00:00:00+00:00,234,38,0,0,0,0,13,65.0,0,0,0,0,,,0
POST_WARMUP,XEC-USDT,2022-03-14T00:00:00+00:00,2024-12-30T00:00:00+00:00,147,0,0,0,0,0,123,239.0,0,0,0,0,,,0
POST_WARMUP,XLM-USDT,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301,205,42,13,1,0,6,22.0,1,42,1,43,ADA-USDT;BNB-USDT;DOGE-USDT;KCS-USDT;LINK-USDT;TRX-USDT;UNI-USDT;VELO-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,18
POST_WARMUP,XRD-USDT,2023-06-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,82,0,0,0,0,0,31,97.0,0,0,0,0,,,0
POST_WARMUP,XYO-USDT,2021-12-13T00:00:00+00:00,2024-12-30T00:00:00+00:00,160,0,0,0,0,0,65,206.0,0,0,0,0,,,0
POST_WARMUP,ZBCN-USDT,2024-08-05T00:00:00+00:00,2024-12-30T00:00:00+00:00,22,0,0,0,0,0,71,104.5,0,0,0,0,,,0
POST_WARMUP,ZIL-USDT,2021-07-12T00:00:00+00:00,2024-12-30T00:00:00+00:00,182,10,1,0,0,0,9,76.0,0,1,0,1,SHIB-USDT,EXTREME_SINGLE_DAY_CONCENTRATION;VOLUME_PATTERN_PLAUSIBLE,8
POST_WARMUP,ZKJ-USDT,2024-06-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,28,0,0,0,0,0,200,328.0,0,0,0,0,,,0
POST_WARMUP,ZRX-USDT,2024-02-26T00:00:00+00:00,2024-12-30T00:00:00+00:00,45,0,0,0,0,0,177,327.0,0,0,0,0,,,0
