diagnostic_type,metric,period,excluded_year,decision_count,exact_match_count,exact_match_rate,old_50pct_threshold_above,weeks_below_old_50pct,leave_one_week_out_min,leave_one_week_out_max,leave_one_week_out_rate
LEAVE_ONE_YEAR_OUT,TOP_8,POST_WARMUP,2020,249,99,0.39759036144578314,False,26,,,
LEAVE_ONE_YEAR_OUT,TOP_8,POST_WARMUP,2021,249,93,0.37349397590361444,False,32,,,
LEAVE_ONE_YEAR_OUT,TOP_8,POST_WARMUP,2022,249,52,0.20883534136546184,False,73,,,
LEAVE_ONE_YEAR_OUT,TOP_8,POST_WARMUP,2023,249,76,0.30522088353413657,False,49,,,
LEAVE_ONE_YEAR_OUT,TOP_8,POST_WARMUP,2024,248,96,0.3870967741935484,False,29,,,
SUMMARY,TOP_10,FULL,,313,79,0.2523961661341853,False,78,0.25,0.2532051282051282,0.2523961661341853
LEAVE_ONE_YEAR_OUT,TOP_10,FULL,2019,261,69,0.26436781609195403,False,62,,,
LEAVE_ONE_YEAR_OUT,TOP_10,FULL,2020,261,79,0.30268199233716475,False,52,,,
LEAVE_ONE_YEAR_OUT,TOP_10,FULL,2021,261,75,0.28735632183908044,False,56,,,
LEAVE_ONE_YEAR_OUT,TOP_10,FULL,2022,261,38,0.14559386973180077,False,93,,,
LEAVE_ONE_YEAR_OUT,TOP_10,FULL,2023,261,60,0.22988505747126436,False,71,,,
LEAVE_ONE_YEAR_OUT,TOP_10,FULL,2024,260,74,0.2846153846153846,False,57,,,
SUMMARY,TOP_10,POST_WARMUP,,301,69,0.2292358803986711,False,82,0.22666666666666666,0.23,0.2292358803986711
LEAVE_ONE_YEAR_OUT,TOP_10,POST_WARMUP,2019,261,69,0.26436781609195403,False,62,,,
LEAVE_ONE_YEAR_OUT,TOP_10,POST_WARMUP,2020,249,69,0.27710843373493976,False,56,,,
LEAVE_ONE_YEAR_OUT,TOP_10,POST_WARMUP,2021,249,65,0.26104417670682734,False,60,,,
LEAVE_ONE_YEAR_OUT,TOP_10,POST_WARMUP,2022,249,28,0.11244979919678715,False,97,,,
LEAVE_ONE_YEAR_OUT,TOP_10,POST_WARMUP,2023,249,50,0.20080321285140562,False,75,,,
LEAVE_ONE_YEAR_OUT,TOP_10,POST_WARMUP,2024,248,64,0.25806451612903225,False,61,,,
SUMMARY,TOP_30,FULL,,313,10,0.03194888178913738,False,147,0.028846153846153848,0.03205128205128205,0.03194888178913738
LEAVE_ONE_YEAR_OUT,TOP_30,FULL,2019,261,0,0.0,False,131,,,
LEAVE_ONE_YEAR_OUT,TOP_30,FULL,2020,261,10,0.038314176245210725,False,121,,,
LEAVE_ONE_YEAR_OUT,TOP_30,FULL,2021,261,10,0.038314176245210725,False,121,,,
LEAVE_ONE_YEAR_OUT,TOP_30,FULL,2022,261,10,0.038314176245210725,False,121,,,
LEAVE_ONE_YEAR_OUT,TOP_30,FULL,2023,261,10,0.038314176245210725,False,121,,,
LEAVE_ONE_YEAR_OUT,TOP_30,FULL,2024,260,10,0.038461538461538464,False,121,,,
SUMMARY,TOP_30,POST_WARMUP,,301,0,0.0,False,151,0.0,0.0,0.0
LEAVE_ONE_YEAR_OUT,TOP_30,POST_WARMUP,2019,261,0,0.0,False,131,,,
LEAVE_ONE_YEAR_OUT,TOP_30,POST_WARMUP,2020,249,0,0.0,False,125,,,
LEAVE_ONE_YEAR_OUT,TOP_30,POST_WARMUP,2021,249,0,0.0,False,125,,,
LEAVE_ONE_YEAR_OUT,TOP_30,POST_WARMUP,2022,249,0,0.0,False,125,,,
LEAVE_ONE_YEAR_OUT,TOP_30,POST_WARMUP,2023,249,0,0.0,False,125,,,
LEAVE_ONE_YEAR_OUT,TOP_30,POST_WARMUP,2024,248,0,0.0,False,125,,,
SUMMARY,HYSTERESIS,FULL,,313,127,0.4057507987220447,False,30,0.40384615384615385,0.40705128205128205,0.4057507987220447
LEAVE_ONE_YEAR_OUT,HYSTERESIS,FULL,2019,261,117,0.4482758620689655,False,14,,,
LEAVE_ONE_YEAR_OUT,HYSTERESIS,FULL,2020,261,119,0.4559386973180077,False,12,,,
LEAVE_ONE_YEAR_OUT,HYSTERESIS,FULL,2021,261,109,0.41762452107279696,False,22,,,
LEAVE_ONE_YEAR_OUT,HYSTERESIS,FULL,2022,261,75,0.28735632183908044,False,56,,,
LEAVE_ONE_YEAR_OUT,HYSTERESIS,FULL,2023,261,103,0.3946360153256705,False,28,,,
LEAVE_ONE_YEAR_OUT,HYSTERESIS,FULL,2024,260,112,0.4307692307692308,False,19,,,
SUMMARY,HYSTERESIS,POST_WARMUP,,301,117,0.38870431893687707,False,34,0.38666666666666666,0.39,0.38870431893687707
LEAVE_ONE_YEAR_OUT,HYSTERESIS,POST_WARMUP,2019,261,117,0.4482758620689655,False,14,,,
LEAVE_ONE_YEAR_OUT,HYSTERESIS,POST_WARMUP,2020,249,109,0.43775100401606426,False,16,,,
LEAVE_ONE_YEAR_OUT,HYSTERESIS,POST_WARMUP,2021,249,99,0.39759036144578314,False,26,,,
LEAVE_ONE_YEAR_OUT,HYSTERESIS,POST_WARMUP,2022,249,65,0.26104417670682734,False,60,,,
LEAVE_ONE_YEAR_OUT,HYSTERESIS,POST_WARMUP,2023,249,93,0.37349397590361444,False,32,,,
LEAVE_ONE_YEAR_OUT,HYSTERESIS,POST_WARMUP,2024,248,102,0.4112903225806452,False,23,,,
