policy_id,portfolio_id,universe_id,cost_multiplier,exit_reason,trade_count,net_pnl,mean_holding_hours
FAMILY_QUALITY_REPLACEMENT_AWARE_RS,UNION_FOCUS,E2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,200,-98396.40155814034,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,C2,1.0,MAX_HOLD_168H,17,-3767.748194489694,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,C2,1.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,297,98035.82940745517,35.417508417508415
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,C2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,201,-107124.70154949542,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,C2,2.0,MAX_HOLD_168H,17,-4017.69563396275,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,C2,2.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,297,83878.79610444157,35.417508417508415
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,C2,2.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,201,-105393.00886940821,72.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,D2,1.0,MAX_HOLD_168H,16,-3780.4618948724005,168.0
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,D2,1.0,PROFIT_GIVEBACK_LOCK_4ATR_ARM_3ATR_GIVEBACK,300,101268.98866597703,35.233333333333334
FULL_FAMILY_SPECIALIST_REPLACEMENT_BRAIN,MOMENTUM_BREAKOUT,D2,1.0,TIME_FAILURE_72H_CLOSE_NOT_ABOVE_ENTRY,213,-110939.38228644656,72.0
