variant_id,universe_id,cost_multiplier,partition_id,hours_total,membership_missing_hours,market_gate_off_hours,no_daily_rank_hours,ranked_asset_checks,rank_membership_changed_rejections,missing_feature_rejections,trend_rejections,extension_rejections,pullback_touch_rejections,pullback_recovery_rejections,breakout_rejections,contraction_rejections,cost_hurdle_rejections,candidate_signals,top_k_saturation_hours,partition_final_bar_skips,market_gate_breadth_below_threshold,market_gate_median_168h_return_nonpositive,market_gate_btc_below_ema,market_gate_btc_ema_slope_nonpositive
RD19_P2_V03,C2,1.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2805,6,75,0,0,8,0,0,0,329,586,5389,
RD19_P2_V03,C2,1.0,STRESS_2023,8760,0,5169,669,10321,0,0,402,9638,3,248,0,0,30,0,0,0,543,745,3881,
RD19_P2_V03,C2,2.0,DISCOVERY_CORE,26304,2160,13845,2232,29730,0,0,1188,27670,12,747,0,0,112,1,0,0,1603,2005,10237,
RD19_P2_V03,C2,2.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2805,6,75,0,0,8,0,0,0,329,586,5389,
RD19_P2_V03,C2,2.0,STRESS_2023,8760,0,5169,669,10321,0,0,402,9638,3,248,0,0,30,0,0,0,543,745,3881,
RD19_P2_V03,D2,1.0,DISCOVERY_CORE,26304,2160,13751,2308,29084,0,0,1122,27130,12,705,0,0,105,10,0,0,1603,1911,10237,
RD19_P2_V03,D2,1.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2805,6,75,0,0,8,0,0,0,329,586,5389,
RD19_P2_V03,D2,1.0,STRESS_2023,8760,0,5045,753,10624,0,0,374,9953,3,261,0,0,33,0,0,0,506,658,3881,
RD19_P2_V03,D2,2.0,DISCOVERY_CORE,26304,2160,13751,2308,29084,0,0,1122,27130,12,705,0,0,114,1,0,0,1603,1911,10237,
RD19_P2_V03,D2,2.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2805,6,75,0,0,8,0,0,0,329,586,5389,
RD19_P2_V03,D2,2.0,STRESS_2023,8760,0,5045,753,10624,0,0,374,9953,3,261,0,0,33,0,0,0,506,658,3881,
RD19_P2_V03,E2,1.0,DISCOVERY_CORE,26304,2160,13829,2156,29870,0,0,1189,27800,12,756,0,0,97,16,0,0,1603,1989,10237,
RD19_P2_V03,E2,1.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2805,6,75,0,0,8,0,0,0,329,586,5389,
RD19_P2_V03,E2,1.0,STRESS_2023,8760,0,5093,711,10433,0,0,375,9773,3,249,0,0,33,0,0,0,513,699,3881,
RD19_P2_V03,E2,2.0,DISCOVERY_CORE,26304,2160,13829,2156,29870,0,0,1189,27800,12,756,0,0,112,1,0,0,1603,1989,10237,
RD19_P2_V03,E2,2.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2805,6,75,0,0,8,0,0,0,329,586,5389,
RD19_P2_V03,E2,2.0,STRESS_2023,8760,0,5093,711,10433,0,0,375,9773,3,249,0,0,33,0,0,0,513,699,3881,
RD19_P2_V04,C2,1.0,DISCOVERY_CORE,26304,2160,15079,1341,28649,0,0,1558,25522,0,0,1569,0,0,0,0,0,2399,1041,10237,1402.0
RD19_P2_V04,C2,1.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V04,C2,1.0,STRESS_2023,8760,0,5648,390,10058,0,0,563,8860,0,0,635,0,0,0,0,0,940,315,3881,512.0
RD19_P2_V04,C2,2.0,DISCOVERY_CORE,26304,2160,15079,1341,28649,0,0,1558,25522,0,0,1569,0,0,0,0,0,2399,1041,10237,1402.0
RD19_P2_V04,C2,2.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V04,C2,2.0,STRESS_2023,8760,0,5648,390,10058,0,0,563,8860,0,0,635,0,0,0,0,0,940,315,3881,512.0
RD19_P2_V04,D2,1.0,DISCOVERY_CORE,26304,2160,15042,1454,28673,0,0,1467,25670,0,0,1536,0,0,0,0,0,2351,1052,10237,1402.0
RD19_P2_V04,D2,1.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V04,D2,1.0,STRESS_2023,8760,0,5537,458,10465,0,0,591,9234,0,0,640,0,0,0,0,0,874,270,3881,512.0
RD19_P2_V04,D2,2.0,DISCOVERY_CORE,26304,2160,15042,1454,28673,0,0,1467,25670,0,0,1536,0,0,0,0,0,2351,1052,10237,1402.0
RD19_P2_V04,D2,2.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V04,D2,2.0,STRESS_2023,8760,0,5537,458,10465,0,0,591,9234,0,0,640,0,0,0,0,0,874,270,3881,512.0
RD19_P2_V04,E2,1.0,DISCOVERY_CORE,26304,2160,15064,1356,28649,0,0,1558,25522,0,0,1569,0,0,0,0,0,2399,1026,10237,1402.0
RD19_P2_V04,E2,1.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V04,E2,1.0,STRESS_2023,8760,0,5592,420,10212,0,0,538,9038,0,0,636,0,0,0,0,0,903,296,3881,512.0
RD19_P2_V04,E2,2.0,DISCOVERY_CORE,26304,2160,15064,1356,28649,0,0,1558,25522,0,0,1569,0,0,0,0,0,2399,1026,10237,1402.0
RD19_P2_V04,E2,2.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3535,0,0,291,0,0,0,0,0,388,329,5389,557.0
RD19_P2_V04,E2,2.0,STRESS_2023,8760,0,5592,420,10212,0,0,538,9038,0,0,636,0,0,0,0,0,903,296,3881,512.0
RD19_P2_V05,C2,1.0,DISCOVERY_CORE,26304,2160,15079,1341,28649,0,0,1558,24383,19,2425,0,0,235,29,0,0,2399,1041,10237,1402.0
RD19_P2_V05,C2,1.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3316,1,466,0,0,43,0,0,0,388,329,5389,557.0
RD19_P2_V05,C2,1.0,STRESS_2023,8760,0,5648,390,10058,0,0,563,8391,13,921,0,0,170,0,0,0,940,315,3881,512.0
RD19_P2_V05,C2,2.0,DISCOVERY_CORE,26304,2160,15079,1341,28649,0,0,1558,24383,19,2425,0,0,260,4,0,0,2399,1041,10237,1402.0
RD19_P2_V05,C2,2.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3316,1,466,0,0,43,0,0,0,388,329,5389,557.0
RD19_P2_V05,C2,2.0,STRESS_2023,8760,0,5648,390,10058,0,0,563,8391,13,921,0,0,170,0,0,0,940,315,3881,512.0
RD19_P2_V05,D2,1.0,DISCOVERY_CORE,26304,2160,15042,1454,28673,0,0,1467,24509,11,2413,0,0,242,31,0,0,2351,1052,10237,1402.0
RD19_P2_V05,D2,1.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3316,1,466,0,0,43,0,0,0,388,329,5389,557.0
RD19_P2_V05,D2,1.0,STRESS_2023,8760,0,5537,458,10465,0,0,591,8754,13,943,0,0,164,0,0,0,874,270,3881,512.0
RD19_P2_V05,D2,2.0,DISCOVERY_CORE,26304,2160,15042,1454,28673,0,0,1467,24509,11,2413,0,0,269,4,0,0,2351,1052,10237,1402.0
RD19_P2_V05,D2,2.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3316,1,466,0,0,43,0,0,0,388,329,5389,557.0
RD19_P2_V05,D2,2.0,STRESS_2023,8760,0,5537,458,10465,0,0,591,8754,13,943,0,0,164,0,0,0,874,270,3881,512.0
RD19_P2_V05,E2,1.0,DISCOVERY_CORE,26304,2160,15064,1356,28649,0,0,1558,24383,19,2425,0,0,235,29,0,0,2399,1026,10237,1402.0
RD19_P2_V05,E2,1.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3316,1,466,0,0,43,0,0,0,388,329,5389,557.0
RD19_P2_V05,E2,1.0,STRESS_2023,8760,0,5592,420,10212,0,0,538,8565,13,927,0,0,169,0,0,0,903,296,3881,512.0
RD19_P2_V05,E2,2.0,DISCOVERY_CORE,26304,2160,15064,1356,28649,0,0,1558,24383,19,2425,0,0,260,4,0,0,2399,1026,10237,1402.0
RD19_P2_V05,E2,2.0,VALIDATION_2022,8760,0,6663,947,3990,0,0,164,3316,1,466,0,0,43,0,0,0,388,329,5389,557.0
RD19_P2_V05,E2,2.0,STRESS_2023,8760,0,5592,420,10212,0,0,538,8565,13,927,0,0,169,0,0,0,903,296,3881,512.0
RD19_P2_V06,C2,1.0,DISCOVERY_CORE,26304,2160,13845,1743,30677,0,0,1868,25741,23,2727,0,0,286,32,1,0,1603,2005,10237,
RD19_P2_V06,C2,1.0,VALIDATION_2022,8760,0,6304,1137,4385,0,0,218,3534,1,572,0,0,60,0,0,0,329,586,5389,
RD19_P2_V06,C2,1.0,STRESS_2023,8760,0,5169,526,10924,0,0,725,8962,15,1039,0,0,183,0,0,0,543,745,3881,
RD19_P2_V06,C2,2.0,DISCOVERY_CORE,26304,2160,13845,1743,30680,0,0,1868,25743,23,2727,0,0,315,4,0,0,1603,2005,10237,
RD19_P2_V06,C2,2.0,VALIDATION_2022,8760,0,6304,1137,4385,0,0,218,3534,1,572,0,0,60,0,0,0,329,586,5389,
RD19_P2_V06,C2,2.0,STRESS_2023,8760,0,5169,526,10924,0,0,725,8962,15,1039,0,0,183,0,0,0,543,745,3881,
RD19_P2_V06,D2,1.0,DISCOVERY_CORE,26304,2160,13751,1891,30766,0,0,1773,25908,17,2736,0,0,299,33,1,0,1603,1911,10237,
RD19_P2_V06,D2,1.0,VALIDATION_2022,8760,0,6304,1137,4385,0,0,218,3534,1,572,0,0,60,0,0,0,329,586,5389,
RD19_P2_V06,D2,1.0,STRESS_2023,8760,0,5045,585,11366,0,0,753,9353,15,1063,0,0,182,0,0,0,506,658,3881,
RD19_P2_V06,D2,2.0,DISCOVERY_CORE,26304,2160,13751,1891,30769,0,0,1773,25910,17,2736,0,0,329,4,0,0,1603,1911,10237,
RD19_P2_V06,D2,2.0,VALIDATION_2022,8760,0,6304,1137,4385,0,0,218,3534,1,572,0,0,60,0,0,0,329,586,5389,
RD19_P2_V06,D2,2.0,STRESS_2023,8760,0,5045,585,11366,0,0,753,9353,15,1063,0,0,182,0,0,0,506,658,3881,
RD19_P2_V06,E2,1.0,DISCOVERY_CORE,26304,2160,13829,1759,30677,0,0,1868,25741,23,2727,0,0,286,32,1,0,1603,1989,10237,
RD19_P2_V06,E2,1.0,VALIDATION_2022,8760,0,6304,1137,4385,0,0,218,3534,1,572,0,0,60,0,0,0,329,586,5389,
RD19_P2_V06,E2,1.0,STRESS_2023,8760,0,5093,545,11151,0,0,705,9189,15,1055,0,0,187,0,0,0,513,699,3881,
RD19_P2_V06,E2,2.0,DISCOVERY_CORE,26304,2160,13829,1759,30680,0,0,1868,25743,23,2727,0,0,315,4,0,0,1603,1989,10237,
RD19_P2_V06,E2,2.0,VALIDATION_2022,8760,0,6304,1137,4385,0,0,218,3534,1,572,0,0,60,0,0,0,329,586,5389,
RD19_P2_V06,E2,2.0,STRESS_2023,8760,0,5093,545,11151,0,0,705,9189,15,1055,0,0,187,0,0,0,513,699,3881,
RD19_P2_V07,C2,1.0,DISCOVERY_CORE,26304,2160,15079,1838,27242,0,0,986,25566,5,606,0,0,57,22,0,0,2399,1041,10237,1402.0
RD19_P2_V07,C2,1.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2586,6,45,0,0,5,1,0,0,388,329,5389,557.0
RD19_P2_V07,C2,1.0,STRESS_2023,8760,0,5648,502,9377,0,0,309,8865,3,175,0,0,22,3,0,0,940,315,3881,512.0
RD19_P2_V07,C2,2.0,DISCOVERY_CORE,26304,2160,15079,1838,27242,0,0,986,25566,5,606,0,0,70,9,0,0,2399,1041,10237,1402.0
RD19_P2_V07,C2,2.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2586,6,45,0,0,6,0,0,0,388,329,5389,557.0
RD19_P2_V07,C2,2.0,STRESS_2023,8760,0,5648,502,9377,0,0,309,8865,3,175,0,0,25,0,0,0,940,315,3881,512.0
RD19_P2_V07,D2,1.0,DISCOVERY_CORE,26304,2160,15042,1910,26516,0,0,932,24954,5,548,0,0,61,16,0,0,2351,1052,10237,1402.0
RD19_P2_V07,D2,1.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2586,6,45,0,0,5,1,0,0,388,329,5389,557.0
RD19_P2_V07,D2,1.0,STRESS_2023,8760,0,5537,594,9618,0,0,284,9118,3,188,0,0,22,3,0,0,874,270,3881,512.0
RD19_P2_V07,D2,2.0,DISCOVERY_CORE,26304,2160,15042,1910,26516,0,0,932,24954,5,548,0,0,73,4,0,0,2351,1052,10237,1402.0
RD19_P2_V07,D2,2.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2586,6,45,0,0,6,0,0,0,388,329,5389,557.0
RD19_P2_V07,D2,2.0,STRESS_2023,8760,0,5537,594,9618,0,0,284,9118,3,188,0,0,25,0,0,0,874,270,3881,512.0
RD19_P2_V07,E2,1.0,DISCOVERY_CORE,26304,2160,15064,1772,27370,0,0,986,25685,5,615,0,0,57,22,0,0,2399,1026,10237,1402.0
RD19_P2_V07,E2,1.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2586,6,45,0,0,5,1,0,0,388,329,5389,557.0
RD19_P2_V07,E2,1.0,STRESS_2023,8760,0,5592,556,9408,0,0,284,8921,3,175,0,0,22,3,0,0,903,296,3881,512.0
RD19_P2_V07,E2,2.0,DISCOVERY_CORE,26304,2160,15064,1772,27370,0,0,986,25685,5,615,0,0,70,9,0,0,2399,1026,10237,1402.0
RD19_P2_V07,E2,2.0,VALIDATION_2022,8760,0,6663,1033,2760,0,0,117,2586,6,45,0,0,6,0,0,0,388,329,5389,557.0
RD19_P2_V07,E2,2.0,STRESS_2023,8760,0,5592,556,9408,0,0,284,8921,3,175,0,0,25,0,0,0,903,296,3881,512.0
RD19_P2_V08,C2,1.0,DISCOVERY_CORE,26304,2160,13845,2232,29730,0,0,1188,28069,0,0,472,1,0,0,0,0,1603,2005,10237,
RD19_P2_V08,C2,1.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V08,C2,1.0,STRESS_2023,8760,0,5169,669,10321,0,0,402,9776,0,0,143,0,0,0,0,0,543,745,3881,
RD19_P2_V08,C2,2.0,DISCOVERY_CORE,26304,2160,13845,2232,29730,0,0,1188,28069,0,0,472,1,0,0,0,0,1603,2005,10237,
RD19_P2_V08,C2,2.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V08,C2,2.0,STRESS_2023,8760,0,5169,669,10321,0,0,402,9776,0,0,143,0,0,0,0,0,543,745,3881,
RD19_P2_V08,D2,1.0,DISCOVERY_CORE,26304,2160,13751,2308,29084,0,0,1122,27515,0,0,447,0,0,0,0,0,1603,1911,10237,
RD19_P2_V08,D2,1.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V08,D2,1.0,STRESS_2023,8760,0,5045,753,10624,0,0,374,10099,0,0,151,0,0,0,0,0,506,658,3881,
RD19_P2_V08,D2,2.0,DISCOVERY_CORE,26304,2160,13751,2308,29084,0,0,1122,27515,0,0,447,0,0,0,0,0,1603,1911,10237,
RD19_P2_V08,D2,2.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V08,D2,2.0,STRESS_2023,8760,0,5045,753,10624,0,0,374,10099,0,0,151,0,0,0,0,0,506,658,3881,
RD19_P2_V08,E2,1.0,DISCOVERY_CORE,26304,2160,13829,2156,29870,0,0,1189,28205,0,0,475,1,0,0,0,0,1603,1989,10237,
RD19_P2_V08,E2,1.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V08,E2,1.0,STRESS_2023,8760,0,5093,711,10433,0,0,375,9915,0,0,143,0,0,0,0,0,513,699,3881,
RD19_P2_V08,E2,2.0,DISCOVERY_CORE,26304,2160,13829,2156,29870,0,0,1189,28205,0,0,475,1,0,0,0,0,1603,1989,10237,
RD19_P2_V08,E2,2.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V08,E2,2.0,STRESS_2023,8760,0,5093,711,10433,0,0,375,9915,0,0,143,0,0,0,0,0,513,699,3881,
RD19_P2_V09,C2,1.0,DISCOVERY_CORE,26304,2160,13845,2232,29730,0,0,1188,28069,0,0,472,1,0,0,0,0,1603,2005,10237,
RD19_P2_V09,C2,1.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V09,C2,1.0,STRESS_2023,8760,0,5169,669,10321,0,0,402,9776,0,0,143,0,0,0,0,0,543,745,3881,
RD19_P2_V09,C2,2.0,DISCOVERY_CORE,26304,2160,13845,2232,29730,0,0,1188,28069,0,0,472,1,0,0,0,0,1603,2005,10237,
RD19_P2_V09,C2,2.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V09,C2,2.0,STRESS_2023,8760,0,5169,669,10321,0,0,402,9776,0,0,143,0,0,0,0,0,543,745,3881,
RD19_P2_V09,D2,1.0,DISCOVERY_CORE,26304,2160,13751,2308,29084,0,0,1122,27515,0,0,447,0,0,0,0,0,1603,1911,10237,
RD19_P2_V09,D2,1.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V09,D2,1.0,STRESS_2023,8760,0,5045,753,10624,0,0,374,10099,0,0,151,0,0,0,0,0,506,658,3881,
RD19_P2_V09,D2,2.0,DISCOVERY_CORE,26304,2160,13751,2308,29084,0,0,1122,27515,0,0,447,0,0,0,0,0,1603,1911,10237,
RD19_P2_V09,D2,2.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V09,D2,2.0,STRESS_2023,8760,0,5045,753,10624,0,0,374,10099,0,0,151,0,0,0,0,0,506,658,3881,
RD19_P2_V09,E2,1.0,DISCOVERY_CORE,26304,2160,13829,2156,29870,0,0,1189,28205,0,0,475,1,0,0,0,0,1603,1989,10237,
RD19_P2_V09,E2,1.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V09,E2,1.0,STRESS_2023,8760,0,5093,711,10433,0,0,375,9915,0,0,143,0,0,0,0,0,513,699,3881,
RD19_P2_V09,E2,2.0,DISCOVERY_CORE,26304,2160,13829,2156,29870,0,0,1189,28205,0,0,475,1,0,0,0,0,1603,1989,10237,
RD19_P2_V09,E2,2.0,VALIDATION_2022,8760,0,6304,1245,3038,0,0,144,2845,0,0,49,0,0,0,0,0,329,586,5389,
RD19_P2_V09,E2,2.0,STRESS_2023,8760,0,5093,711,10433,0,0,375,9915,0,0,143,0,0,0,0,0,513,699,3881,
RD19_P2_V10,C2,1.0,DISCOVERY_CORE,26304,2160,13845,1743,30680,0,0,1868,27020,0,0,1792,0,0,0,0,0,1603,2005,10237,
RD19_P2_V10,C2,1.0,VALIDATION_2022,8760,0,6304,1137,4385,0,0,218,3802,0,0,365,0,0,0,0,0,329,586,5389,
RD19_P2_V10,C2,1.0,STRESS_2023,8760,0,5169,526,10924,0,0,725,9475,0,0,724,0,0,0,0,0,543,745,3881,
RD19_P2_V10,C2,2.0,DISCOVERY_CORE,26304,2160,13845,1743,30680,0,0,1868,27020,0,0,1792,0,0,0,0,0,1603,2005,10237,
RD19_P2_V10,C2,2.0,VALIDATION_2022,8760,0,6304,1137,4385,0,0,218,3802,0,0,365,0,0,0,0,0,329,586,5389,
RD19_P2_V10,C2,2.0,STRESS_2023,8760,0,5169,526,10924,0,0,725,9475,0,0,724,0,0,0,0,0,543,745,3881,
RD19_P2_V10,D2,1.0,DISCOVERY_CORE,26304,2160,13751,1891,30769,0,0,1773,27209,0,0,1787,0,0,0,0,0,1603,1911,10237,
RD19_P2_V10,D2,1.0,VALIDATION_2022,8760,0,6304,1137,4385,0,0,218,3802,0,0,365,0,0,0,0,0,329,586,5389,
RD19_P2_V10,D2,1.0,STRESS_2023,8760,0,5045,585,11366,0,0,753,9876,0,0,737,0,0,0,0,0,506,658,3881,
RD19_P2_V10,D2,2.0,DISCOVERY_CORE,26304,2160,13751,1891,30769,0,0,1773,27209,0,0,1787,0,0,0,0,0,1603,1911,10237,
RD19_P2_V10,D2,2.0,VALIDATION_2022,8760,0,6304,1137,4385,0,0,218,3802,0,0,365,0,0,0,0,0,329,586,5389,
RD19_P2_V10,D2,2.0,STRESS_2023,8760,0,5045,585,11366,0,0,753,9876,0,0,737,0,0,0,0,0,506,658,3881,
RD19_P2_V10,E2,1.0,DISCOVERY_CORE,26304,2160,13829,1759,30680,0,0,1868,27020,0,0,1792,0,0,0,0,0,1603,1989,10237,
