source_asset,canonical_symbol,day,source_timestamp,available_at,market_cap_usd,source_path,source_span_days,rebalance_time,market_cap_rank,top6_member,top10_member,manual_snapshot_date,regime_label
btc,BTC,2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,401907776246.90607,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2022-06-27 00:00:00+00:00,1,True,True,2022-06-26 00:00:00+00:00,2022_BEAR_STRESS
eth,ETH,2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,143867796717.28784,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2022-06-27 00:00:00+00:00,2,True,True,2022-06-26 00:00:00+00:00,2022_BEAR_STRESS
xrp,XRP,2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,35917547540.54317,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2022-06-27 00:00:00+00:00,3,True,True,2022-06-26 00:00:00+00:00,2022_BEAR_STRESS
ada,ADA,2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,16420429547.88744,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2022-06-27 00:00:00+00:00,4,True,True,2022-06-26 00:00:00+00:00,2022_BEAR_STRESS
xlm,XLM,2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,12706140151.88456,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2022-06-27 00:00:00+00:00,5,True,True,2022-06-26 00:00:00+00:00,2022_BEAR_STRESS
cro,CRO,2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,12470571799.4999,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2022-06-27 00:00:00+00:00,6,True,True,2022-06-26 00:00:00+00:00,2022_BEAR_STRESS
doge,DOGE,2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,9919346898.89512,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2022-06-27 00:00:00+00:00,7,False,True,2022-06-26 00:00:00+00:00,2022_BEAR_STRESS
ftt,FTT,2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,9035240186.926752,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2022-06-27 00:00:00+00:00,8,False,True,2022-06-26 00:00:00+00:00,2022_BEAR_STRESS
link,LINK,2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,6782414488.53018,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2022-06-27 00:00:00+00:00,9,False,True,2022-06-26 00:00:00+00:00,2022_BEAR_STRESS
uni,UNI,2022-06-26 00:00:00+00:00,2022-06-26 00:00:00+00:00,2022-06-27 00:00:00+00:00,5639701582.2787,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2022-06-27 00:00:00+00:00,10,False,True,2022-06-26 00:00:00+00:00,2022_BEAR_STRESS
btc,BTC,2023-10-22 00:00:00+00:00,2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,585327499000.0365,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2023-10-23 00:00:00+00:00,1,True,True,2023-10-22 00:00:00+00:00,2023_RECOVERY
eth,ETH,2023-10-22 00:00:00+00:00,2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,200014370740.0251,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2023-10-23 00:00:00+00:00,2,True,True,2023-10-22 00:00:00+00:00,2023_RECOVERY
xrp,XRP,2023-10-22 00:00:00+00:00,2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,52261014640.77458,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2023-10-23 00:00:00+00:00,3,True,True,2023-10-22 00:00:00+00:00,2023_RECOVERY
xlm,XLM,2023-10-22 00:00:00+00:00,2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,11676290444.90352,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2023-10-23 00:00:00+00:00,4,True,True,2023-10-22 00:00:00+00:00,2023_RECOVERY
link,LINK,2023-10-22 00:00:00+00:00,2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,10106449902.9489,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2023-10-23 00:00:00+00:00,5,True,True,2023-10-22 00:00:00+00:00,2023_RECOVERY
ada,ADA,2023-10-22 00:00:00+00:00,2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,9114143091.576456,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2023-10-23 00:00:00+00:00,6,True,True,2023-10-22 00:00:00+00:00,2023_RECOVERY
doge,DOGE,2023-10-22 00:00:00+00:00,2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,8720690596.16858,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2023-10-23 00:00:00+00:00,7,False,True,2023-10-22 00:00:00+00:00,2023_RECOVERY
xvg,XVG,2023-10-22 00:00:00+00:00,2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,5730107669.722394,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2023-10-23 00:00:00+00:00,8,False,True,2023-10-22 00:00:00+00:00,2023_RECOVERY
cro,CRO,2023-10-22 00:00:00+00:00,2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,5384164562.17995,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2023-10-23 00:00:00+00:00,9,False,True,2023-10-22 00:00:00+00:00,2023_RECOVERY
ltc,LTC,2023-10-22 00:00:00+00:00,2023-10-22 00:00:00+00:00,2023-10-23 00:00:00+00:00,4807288106.410951,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2023-10-23 00:00:00+00:00,10,False,True,2023-10-22 00:00:00+00:00,2023_RECOVERY
btc,BTC,2024-03-10 00:00:00+00:00,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,1353579668685.426,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2024-03-11 00:00:00+00:00,1,True,True,2024-03-10 00:00:00+00:00,2024_ACCELERATION
eth,ETH,2024-03-10 00:00:00+00:00,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,465068887749.35565,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2024-03-11 00:00:00+00:00,2,True,True,2024-03-10 00:00:00+00:00,2024_ACCELERATION
xrp,XRP,2024-03-10 00:00:00+00:00,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,60720105770.706566,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2024-03-11 00:00:00+00:00,3,True,True,2024-03-10 00:00:00+00:00,2024_ACCELERATION
ada,ADA,2024-03-10 00:00:00+00:00,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,24865968959.73985,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2024-03-11 00:00:00+00:00,4,True,True,2024-03-10 00:00:00+00:00,2024_ACCELERATION
doge,DOGE,2024-03-10 00:00:00+00:00,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,24249752854.79463,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2024-03-11 00:00:00+00:00,5,True,True,2024-03-10 00:00:00+00:00,2024_ACCELERATION
link,LINK,2024-03-10 00:00:00+00:00,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,21614061815.9216,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2024-03-11 00:00:00+00:00,6,True,True,2024-03-10 00:00:00+00:00,2024_ACCELERATION
cro,CRO,2024-03-10 00:00:00+00:00,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,16427562908.3642,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2024-03-11 00:00:00+00:00,7,False,True,2024-03-10 00:00:00+00:00,2024_ACCELERATION
xlm,XLM,2024-03-10 00:00:00+00:00,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,14714605713.754875,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2024-03-11 00:00:00+00:00,8,False,True,2024-03-10 00:00:00+00:00,2024_ACCELERATION
uni,UNI,2024-03-10 00:00:00+00:00,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,14114795734.3824,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2024-03-11 00:00:00+00:00,9,False,True,2024-03-10 00:00:00+00:00,2024_ACCELERATION
xvg,XVG,2024-03-10 00:00:00+00:00,2024-03-10 00:00:00+00:00,2024-03-11 00:00:00+00:00,10188420750.475088,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2024-03-11 00:00:00+00:00,10,False,True,2024-03-10 00:00:00+00:00,2024_ACCELERATION
