scope,variant_id,window_id,start,end,days,portfolio_return,equal_weight_return,capture_ratio,high_opportunity_window,strategic_bull_adequacy
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.37693209497071334,8.977084241529303,0.04198825418469066,True,False
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.0540310301649819,0.33154791649728477,-0.16296597709255817,False,
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.02254375029893274,0.37052437252117865,0.06084282700632378,False,
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.07884545755135175,-0.15141585105211164,,False,
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.07998605711048712,2.667291938689029,0.029987739980873705,True,False
OVERLAY,VOLATILITY_SQUEEZE_RELEASE,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.24071948661746267,0.37373514866458524,-0.6440911096470092,False,
STANDALONE,RELATIVE_STRENGTH_LEADER_BREAKOUT,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,0.0,0.6437975137033425,0.0,False,
STANDALONE,RELATIVE_STRENGTH_LEADER_BREAKOUT,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,-0.11229344044948963,8.977084241529303,-0.01250889903984679,True,False
STANDALONE,RELATIVE_STRENGTH_LEADER_BREAKOUT,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.016645590602979765,0.33154791649728477,-0.05020568604030448,False,
STANDALONE,RELATIVE_STRENGTH_LEADER_BREAKOUT,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.002149146129667545,0.37052437252117865,-0.005800282758847943,False,
STANDALONE,RELATIVE_STRENGTH_LEADER_BREAKOUT,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.03226226924331177,-0.15141585105211164,,False,
STANDALONE,RELATIVE_STRENGTH_LEADER_BREAKOUT,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.15397030799902,2.667291938689029,0.05772533023689047,True,False
STANDALONE,RELATIVE_STRENGTH_LEADER_BREAKOUT,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.10682296606864428,0.37373514866458524,-0.2858253135953084,False,
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.014018995338449192,0.6437975137033425,-0.021775472939942184,False,
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.4754936475300078,8.977084241529303,0.052967493089828066,True,False
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.04783999630915947,0.33154791649728477,-0.14429285761942426,False,
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.041896399545822804,0.37052437252117865,-0.11307326225463904,False,
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.025263576837531332,-0.15141585105211164,,False,
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.27134031936095293,2.667291938689029,0.10172876670347394,True,False
OVERLAY,RELATIVE_STRENGTH_LEADER_BREAKOUT,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.12114757131351528,0.37373514866458524,-0.32415353960256266,False,
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.00923322970116669,0.6437975137033425,-0.014341822552333279,False,
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,-0.05386736568389916,8.977084241529303,-0.006000541404602272,True,False
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.03164020144982338,0.33154791649728477,-0.09543176076656931,False,
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.03749674234396472,0.37052437252117865,0.10119912514478777,False,
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.17524379808238688,-0.15141585105211164,,False,
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.06621662974356113,2.667291938689029,0.024825415164755657,True,False
STANDALONE,DEFENSIVE_SWEEP_REVERSAL,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.31121825614760423,0.37373514866458524,-0.8327240754840326,False,
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.02325222503961588,0.6437975137033425,-0.036117295492275464,False,
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.553259890961846,8.977084241529303,0.06163024386051597,True,False
OVERLAY,DEFENSIVE_SWEEP_REVERSAL,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.06330077504922205,0.33154791649728477,-0.19092496709971168,False,
