source_v2_candidate_id,admission_change,originally_admitted,dynamically_admitted,dynamic_router_decision,candidate_net_pnl
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000183,RETAINED_ADMISSION,True,True,ADMITTED,-460.3778538605022
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000192,RETAINED_ADMISSION,True,True,ADMITTED,3398.020250995128
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000197,RETAINED_ADMISSION,True,True,ADMITTED,-6.013486004378411
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000206,RETAINED_ADMISSION,True,True,ADMITTED,398.5578195562373
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000216,RETAINED_ADMISSION,True,True,ADMITTED,6144.117863760275
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000226,RETAINED_ADMISSION,True,True,ADMITTED,-784.5480783615933
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000230,RETAINED_ADMISSION,True,True,ADMITTED,-621.1142847781368
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000232,RETAINED_ADMISSION,True,True,ADMITTED,-495.0576381119149
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000234,RETAINED_ADMISSION,True,True,ADMITTED,-819.803532227781
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000235,RETAINED_ADMISSION,True,True,ADMITTED,-837.6545602047727
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000243,RETAINED_ADMISSION,True,True,ADMITTED,4571.937987987785
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000251,RETAINED_ADMISSION,True,True,ADMITTED,-846.6497473511338
COMPOSITE_ALPHA_V2::COMPRESSION_EXPANSION_SPECIALIST_V2::MTF_COMPRESSION_EXPANSION:000255,RETAINED_ADMISSION,True,True,ADMITTED,147.97517448008446
