event_id,family_id,universe_id,period_id,pair,decision_time,horizon_hours,exit_time,entry_open,exit_open,forward_return
21788,PERSISTENT_RELATIVE_WEAKNESS,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-27 21:00:00+00:00,72,2023-03-02 21:00:00+00:00,1.2389e-05,1.2183e-05,-0.01662765356364515
21790,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-27 21:00:00+00:00,6,2023-02-28 03:00:00+00:00,1.2389e-05,1.2493e-05,0.008394543546694777
21790,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-27 21:00:00+00:00,24,2023-02-28 21:00:00+00:00,1.2389e-05,1.2231e-05,-0.012753248849786014
21790,PERSISTENT_RELATIVE_WEAKNESS,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-27 21:00:00+00:00,72,2023-03-02 21:00:00+00:00,1.2389e-05,1.2183e-05,-0.01662765356364515
21792,LEADERSHIP_BREAKDOWN,C2,ROBUSTNESS_2023,ETH-USDT,2023-02-28 00:00:00+00:00,6,2023-02-28 06:00:00+00:00,1631.17,1627.31,-0.002366399578216938
21792,LEADERSHIP_BREAKDOWN,C2,ROBUSTNESS_2023,ETH-USDT,2023-02-28 00:00:00+00:00,24,2023-03-01 00:00:00+00:00,1631.17,1612.44,-0.011482555466321709
21792,LEADERSHIP_BREAKDOWN,C2,ROBUSTNESS_2023,ETH-USDT,2023-02-28 00:00:00+00:00,72,2023-03-03 00:00:00+00:00,1631.17,1648.75,0.01077754004794107
21793,LEADERSHIP_BREAKDOWN,D2,ROBUSTNESS_2023,ETH-USDT,2023-02-28 00:00:00+00:00,6,2023-02-28 06:00:00+00:00,1631.17,1627.31,-0.002366399578216938
21793,LEADERSHIP_BREAKDOWN,D2,ROBUSTNESS_2023,ETH-USDT,2023-02-28 00:00:00+00:00,24,2023-03-01 00:00:00+00:00,1631.17,1612.44,-0.011482555466321709
21793,LEADERSHIP_BREAKDOWN,D2,ROBUSTNESS_2023,ETH-USDT,2023-02-28 00:00:00+00:00,72,2023-03-03 00:00:00+00:00,1631.17,1648.75,0.01077754004794107
21794,LEADERSHIP_BREAKDOWN,E2,ROBUSTNESS_2023,ETH-USDT,2023-02-28 00:00:00+00:00,6,2023-02-28 06:00:00+00:00,1631.17,1627.31,-0.002366399578216938
21794,LEADERSHIP_BREAKDOWN,E2,ROBUSTNESS_2023,ETH-USDT,2023-02-28 00:00:00+00:00,24,2023-03-01 00:00:00+00:00,1631.17,1612.44,-0.011482555466321709
21794,LEADERSHIP_BREAKDOWN,E2,ROBUSTNESS_2023,ETH-USDT,2023-02-28 00:00:00+00:00,72,2023-03-03 00:00:00+00:00,1631.17,1648.75,0.01077754004794107
21795,RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 03:00:00+00:00,6,2023-02-28 09:00:00+00:00,1.2493e-05,1.2342e-05,-0.01208676859041069
21795,RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 03:00:00+00:00,24,2023-03-01 03:00:00+00:00,1.2493e-05,1.2125e-05,-0.029456495637557034
21795,RELATIVE_STRENGTH_RECLAIM_CONTROL,C2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 03:00:00+00:00,72,2023-03-03 03:00:00+00:00,1.2493e-05,1.1101e-05,-0.11142239654206365
21796,RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 03:00:00+00:00,6,2023-02-28 09:00:00+00:00,1.2493e-05,1.2342e-05,-0.01208676859041069
21796,RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 03:00:00+00:00,24,2023-03-01 03:00:00+00:00,1.2493e-05,1.2125e-05,-0.029456495637557034
21796,RELATIVE_STRENGTH_RECLAIM_CONTROL,D2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 03:00:00+00:00,72,2023-03-03 03:00:00+00:00,1.2493e-05,1.1101e-05,-0.11142239654206365
21797,RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 03:00:00+00:00,6,2023-02-28 09:00:00+00:00,1.2493e-05,1.2342e-05,-0.01208676859041069
21797,RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 03:00:00+00:00,24,2023-03-01 03:00:00+00:00,1.2493e-05,1.2125e-05,-0.029456495637557034
21797,RELATIVE_STRENGTH_RECLAIM_CONTROL,E2,ROBUSTNESS_2023,SHIB-USDT,2023-02-28 03:00:00+00:00,72,2023-03-03 03:00:00+00:00,1.2493e-05,1.1101e-05,-0.11142239654206365
