order_id,signal_id,created_at,symbol,side,reason,stop_loss,status,rejection_reason
RD15-RD15_LONG_HISTORY_COHORT-0000067,RD15-SIG-00003918,2024-08-09T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,54236.07142857143,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000068,RD15-EXIT-00001494,2024-08-13T00:00:00Z,BTC/USDT,sell,THESIS_HEALTH_CONFIRMED_DETERIORATION,,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000069,RD15-SIG-00003958,2024-08-24T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.357,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000070,RD15-SIG-00003959,2024-08-24T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,58655.44285714286,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000071,RD15-SIG-00004031,2024-09-19T00:00:00Z,BTC/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,57090.15714285714,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000072,RD15-SIG-00004043,2024-09-25T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.3546714285714285,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000073,RD15-SIG-00004125,2024-11-08T00:00:00Z,ADA/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,0.3639857142857143,ACCEPTED,
RD15-RD15_LONG_HISTORY_COHORT-0000074,RD15-SIG-00004126,2024-11-08T00:00:00Z,ETH/USDT,buy,SCORED_BREAKOUT_V2_ENTRY,2626.3842857142854,REJECTED,simultaneous_signal_slot_limit
RD15-RD15_LONG_HISTORY_COHORT-0000075,RD15-EXIT-00001639,2024-12-20T00:00:00Z,ADA/USDT,sell,PROFIT_PROTECTION_FLOOR,,ACCEPTED,
RISK-ORD-000001,,2020-04-14T00:00:00Z,ADA/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000002,,2020-12-22T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000003,,2022-01-20T00:00:00Z,ADA/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000004,,2023-02-25T00:00:00Z,ADA/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000005,,2023-02-26T00:00:00Z,BTC/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000006,,2023-06-06T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000007,,2023-08-18T00:00:00Z,BTC/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000008,,2023-10-03T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000009,,2023-10-12T00:00:00Z,BTC/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000010,,2024-04-13T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000011,,2024-06-19T00:00:00Z,ETH/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000012,,2024-07-26T00:00:00Z,ADA/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000013,,2024-08-28T00:00:00Z,ADA/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000014,,2024-08-28T00:00:00Z,BTC/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000015,,2024-10-02T00:00:00Z,ADA/USDT,sell,stop_loss,,ACCEPTED,
RISK-ORD-000016,,2024-12-31T00:00:00Z,BTC/USDT,sell,forced_end_of_period_exit,,ACCEPTED,
