cost_multiplier,end_equity,period,return,start_equity,trade_count,universe_id
1.0,194008.34241919275,2022-12,-0.0036485566988820883,194718.78494640713,4,C2
1.0,194441.24160594476,2023-01,0.002231343154392107,194008.34241919275,14,C2
1.0,192971.5890557509,2023-02,-0.007558337614261168,194441.24160594476,10,C2
1.0,188048.1563196159,2023-03,-0.02551376998151056,192971.5890557509,17,C2
1.0,187782.74970010965,2023-04,-0.0014113758129866705,188048.1563196159,25,C2
1.0,181814.5762876175,2023-05,-0.031782330496402666,187782.74970010965,24,C2
1.0,184548.4446582817,2023-06,0.015036574220206766,181814.5762876175,17,C2
1.0,178085.38541153114,2023-07,-0.0350209358779362,184548.4446582817,34,C2
1.0,176734.1903223603,2023-08,-0.00758734404874617,178085.38541153114,4,C2
1.0,176860.9362718997,2023-09,0.0007171557993856936,176734.1903223603,4,C2
1.0,179326.89395016895,2023-10,0.013942918827921202,176860.9362718997,15,C2
1.0,184834.6019706101,2023-11,0.03071322933843712,179326.89395016895,31,C2
1.0,199842.8899602841,2023-12,0.08119847598698238,184834.6019706101,33,C2
1.0,194248.86879061465,2024-01,-0.027992095044167886,199842.8899602841,26,C2
1.0,207696.4493745029,2024-02,0.06922861722496676,194248.86879061465,37,C2
1.0,195565.59837807494,2024-03,-0.05840663638189847,207696.4493745029,46,C2
1.0,184227.99395116576,2024-04,-0.057973409029694944,195565.59837807494,26,C2
1.0,200350.32564923083,2024-05,0.08751293086510348,184227.99395116576,35,C2
1.0,196741.93438902873,2024-06,-0.018010408760301133,200350.32564923083,23,C2
1.0,200604.18964606436,2024-07,0.019631072902834168,196741.93438902873,19,C2
1.0,200913.78147863038,2024-08,0.0015432969426623089,200604.18964606436,4,C2
1.0,191715.7448425283,2024-09,-0.04578101396732903,200913.78147863038,15,C2
1.0,190933.0152518436,2024-10,-0.004082761128083812,191715.7448425283,21,C2
1.0,201165.41340445122,2024-11,0.053591560051104326,190933.0152518436,28,C2
