asset_id,historical_symbol,eligible_weeks,top_30_weeks,top_10_weeks,top_6_weeks,hysteresis_weeks,maximum_rank,median_rank,best_rank,total_slot_contribution,consecutive_top6_duration,displaced_asset_when_applicable,displaced_assets,discovery_channels
OP2S-USDT,OP2S,26,0,0,0,0,319,299.0,278,0,0,,,current_currency_non_causal_seed
ORDI-USDT,ORDI,70,14,0,0,0,223,46.0,13,0,0,,,current_currency_non_causal_seed
P2P-USDT,P2P,158,0,0,0,0,339,191.0,109,0,0,,,current_currency_non_causal_seed
PEPE-USDT,PEPE,74,74,54,33,38,24,7.0,4,33,17,DOGE-USDT,DOGE-USDT;FET-USDT;JASMY-USDT;LTC-USDT;NEAR-USDT;ONDO-USDT;SHIB-USDT;TAO-USDT;WIF-USDT;XMR-USDT;XRP-USDT,current_currency_non_causal_seed
PUNDIX-USDT,PUNDIX,182,0,0,0,0,358,255.0,91,0,0,,,current_currency_non_causal_seed
PZP-USDT,PZP,76,0,0,0,0,360,202.5,84,0,0,,,current_currency_non_causal_seed
QKC-USDT,QKC,45,0,0,0,0,366,357.0,330,0,0,,,current_currency_non_causal_seed
REQ-USDT,REQ,164,0,0,0,0,324,189.5,44,0,0,,,current_currency_non_causal_seed
SNX-USDT,SNX,303,108,0,0,0,239,58.0,11,0,0,,,current_currency_non_causal_seed
SOUL-USDT,SOUL,169,0,0,0,0,324,123.0,45,0,0,,,current_currency_non_causal_seed
STRAX-USDT,STRAX,78,0,0,0,0,360,324.5,75,0,0,,,current_currency_non_causal_seed
SUI-USDT,SUI,74,60,18,10,11,50,20.0,4,10,7,AVAX-USDT,AVAX-USDT;DOGE-USDT;FET-USDT;LINK-USDT;SHIB-USDT;TAO-USDT;WIF-USDT;XMR-USDT;XRP-USDT,current_currency_non_causal_seed
TEL-USDT,TEL,292,102,20,10,0,168,42.5,5,10,5,BCH-USDT,BCH-USDT;DOGE-USDT;DOT-USDT,current_currency_non_causal_seed
TIME-USDT,TIME,144,0,0,0,0,349,202.0,42,0,0,,,current_currency_non_causal_seed
TRAC-USDT,TRAC,86,0,0,0,0,198,150.0,93,0,0,,,current_currency_non_causal_seed
UTK-USDT,UTK,43,0,0,0,0,351,336.0,213,0,0,,,current_currency_non_causal_seed
VANRY-USDT,VANRY,42,0,0,0,0,165,113.0,64,0,0,,,current_currency_non_causal_seed
VET-USDT,VET,305,168,52,15,15,93,24.0,3,15,8,BNB-USDT,BNB-USDT;DOT-USDT;LTC-USDT;TRX-USDT,current_currency_non_causal_seed
VOLT-USDT,VOLT,70,0,0,0,0,355,268.5,106,0,0,,,current_currency_non_causal_seed
WAX-USDT,WAX,181,1,0,0,0,330,118.0,30,0,0,,,current_currency_non_causal_seed
XDB-USDT,XDB,234,38,0,0,0,128,65.0,13,0,0,,,current_currency_non_causal_seed
XEC-USDT,XEC,147,0,0,0,0,323,239.0,123,0,0,,,current_currency_non_causal_seed
XLM-USDT,XLM,303,207,44,1,0,101,22.0,6,1,1,KCS-USDT,KCS-USDT,current_currency_non_causal_seed
XRD-USDT,XRD,82,0,0,0,0,167,97.0,31,0,0,,,current_currency_non_causal_seed
XYO-USDT,XYO,160,0,0,0,0,327,206.0,65,0,0,,,current_currency_non_causal_seed
ZBCN-USDT,ZBCN,22,0,0,0,0,202,104.5,71,0,0,,,current_currency_non_causal_seed
ZIL-USDT,ZIL,182,10,1,0,0,184,76.0,9,0,0,,,current_currency_non_causal_seed
ZKJ-USDT,ZKJ,28,0,0,0,0,355,328.0,200,0,0,,,current_currency_non_causal_seed
ZRX-USDT,ZRX,45,0,0,0,0,357,327.0,177,0,0,,,current_currency_non_causal_seed
