comparison,scope,year,top_n,decision_count,exact_match_rate,mean_jaccard,mean_symmetric_difference,mean_substitution_count,mean_rank_displacement,mean_spearman_common,mean_eligible_count_difference,mean_turnover_difference
A2_vs_C2,POST_WARMUP,2024,30,53,0.0,0.12631983500467364,42.698113207547166,42.698113207547166,122.96528301886792,0.9692059550367487,-327.6792452830189,-322.0188679245283
A2_vs_C2,POST_WARMUP,2024,HYSTERESIS,53,0.0,0.3584905660377357,5.69811320754717,2.849056603773585,122.96528301886792,0.9692059550367487,-327.6792452830189,-0.5283018867924528
B2_vs_C2,FULL_ONLY,2019,4,12,0.9166666666666666,0.9666666666666667,0.16666666666666666,0.08333333333333333,0.09722222222222221,0.9973576713084709,-1.1666666666666667,-0.5833333333333334
B2_vs_C2,FULL_ONLY,2019,6,12,0.8333333333333334,0.9523809523809522,0.3333333333333333,0.16666666666666666,0.09722222222222221,0.9973576713084709,-1.1666666666666667,-0.5833333333333334
B2_vs_C2,FULL_ONLY,2019,8,12,0.8333333333333334,0.9583333333333334,0.3333333333333333,0.3333333333333333,0.09722222222222221,0.9973576713084709,-1.1666666666666667,-0.5833333333333334
B2_vs_C2,FULL_ONLY,2019,10,12,0.8333333333333334,0.9333333333333332,0.6666666666666666,0.6666666666666666,0.09722222222222221,0.9973576713084709,-1.1666666666666667,-0.5833333333333334
B2_vs_C2,FULL_ONLY,2019,30,12,0.8333333333333334,0.9102564102564102,1.1666666666666667,1.1666666666666667,0.09722222222222221,0.9973576713084709,-1.1666666666666667,-0.5833333333333334
B2_vs_C2,FULL_ONLY,2019,HYSTERESIS,12,0.8333333333333334,0.9523809523809522,0.3333333333333333,0.16666666666666666,0.09722222222222221,0.9973576713084709,-1.1666666666666667,0.0
B2_vs_C2,POST_WARMUP,2019,4,40,0.7,0.8800000000000001,0.6,0.3,2.314890336379307,0.98060112789009,-10.325,-10.175
B2_vs_C2,POST_WARMUP,2019,6,40,0.025,0.7214285714285715,1.95,0.975,2.314890336379307,0.98060112789009,-10.325,-10.175
B2_vs_C2,POST_WARMUP,2019,8,40,0.0,0.6756944444444445,2.95,2.2,2.314890336379307,0.98060112789009,-10.325,-8.925
B2_vs_C2,POST_WARMUP,2019,10,40,0.0,0.5503146853146852,5.225,4.0,2.314890336379307,0.98060112789009,-10.325,-7.55
B2_vs_C2,POST_WARMUP,2019,30,40,0.0,0.457958635453766,10.425,10.425,2.314890336379307,0.98060112789009,-10.325,-0.25
B2_vs_C2,POST_WARMUP,2019,HYSTERESIS,40,0.0,0.7142857142857143,2.0,1.0,2.314890336379307,0.98060112789009,-10.325,-0.05
B2_vs_C2,POST_WARMUP,2020,4,52,0.5769230769230769,0.8307692307692308,0.8461538461538461,0.4230769230769231,6.872915033301378,0.9837504517607433,-16.28846153846154,-16.173076923076923
B2_vs_C2,POST_WARMUP,2020,6,52,0.2692307692307692,0.7912087912087913,1.4615384615384615,0.7307692307692307,6.872915033301378,0.9837504517607433,-16.28846153846154,-16.173076923076923
B2_vs_C2,POST_WARMUP,2020,8,52,0.09615384615384616,0.7683760683760685,2.1538461538461537,1.0769230769230769,6.872915033301378,0.9837504517607433,-16.28846153846154,-16.134615384615383
B2_vs_C2,POST_WARMUP,2020,10,52,0.0,0.6910333256487102,3.769230769230769,1.8846153846153846,6.872915033301378,0.9837504517607433,-16.28846153846154,-16.134615384615383
B2_vs_C2,POST_WARMUP,2020,30,52,0.0,0.4675862269810552,18.53846153846154,17.634615384615383,6.872915033301378,0.9837504517607433,-16.28846153846154,-6.903846153846154
B2_vs_C2,POST_WARMUP,2020,HYSTERESIS,52,0.15384615384615385,0.7541208791208791,1.7307692307692308,0.8653846153846154,6.872915033301378,0.9837504517607433,-16.28846153846154,0.0
