variant,membership_type,scope,asset,membership_weeks,entry_count,reentry_count,first_entry,final_exit,mean_duration_weeks,median_duration_weeks,maximum_duration_weeks
C2,TOP_4,POST_WARMUP,NEAR-USDT,6,2,1,2022-04-25T00:00:00+00:00,2024-05-13T00:00:00+00:00,3.0,3.0,4
C2,TOP_4,POST_WARMUP,PEPE-USDT,15,3,2,2024-03-18T00:00:00+00:00,2024-10-21T00:00:00+00:00,5.0,3,10
C2,TOP_4,POST_WARMUP,SAND-USDT,3,1,0,2021-12-06T00:00:00+00:00,2021-12-20T00:00:00+00:00,3.0,3,3
C2,TOP_4,POST_WARMUP,SHIB-USDT,13,3,2,2021-10-25T00:00:00+00:00,2023-08-28T00:00:00+00:00,4.333333333333333,3,8
C2,TOP_4,POST_WARMUP,SOL-USDT,120,8,7,2022-02-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,15.0,7.0,70
C2,TOP_4,POST_WARMUP,SUI-USDT,2,1,0,2024-10-28T00:00:00+00:00,2024-11-04T00:00:00+00:00,2.0,2,2
C2,TOP_4,POST_WARMUP,TRX-USDT,3,1,0,2020-09-21T00:00:00+00:00,2020-10-05T00:00:00+00:00,3.0,3,3
C2,TOP_4,POST_WARMUP,VET-USDT,2,2,1,2021-03-29T00:00:00+00:00,2021-05-03T00:00:00+00:00,1.0,1.0,1
C2,TOP_4,POST_WARMUP,XRP-USDT,211,18,17,2019-04-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,11.722222222222221,5.5,70
C2,TOP_6,FULL,ADA-USDT,70,11,10,2020-06-15T00:00:00+00:00,2023-01-23T00:00:00+00:00,6.363636363636363,1,42
C2,TOP_6,FULL,APE-USDT,5,2,1,2022-07-11T00:00:00+00:00,2022-08-15T00:00:00+00:00,2.5,2.5,4
C2,TOP_6,FULL,APT-USDT,1,1,0,2023-02-27T00:00:00+00:00,2023-02-27T00:00:00+00:00,1.0,1,1
C2,TOP_6,FULL,ATOM-USDT,23,7,6,2020-09-07T00:00:00+00:00,2022-10-10T00:00:00+00:00,3.2857142857142856,3,7
C2,TOP_6,FULL,AVAX-USDT,41,5,4,2021-12-13T00:00:00+00:00,2024-01-29T00:00:00+00:00,8.2,6,15
C2,TOP_6,FULL,BCH-USDT,1,1,0,2023-07-24T00:00:00+00:00,2023-07-24T00:00:00+00:00,1.0,1,1
C2,TOP_6,FULL,BCHSV-USDT,65,8,7,2019-07-15T00:00:00+00:00,2021-02-08T00:00:00+00:00,8.125,4.0,37
C2,TOP_6,FULL,BNB-USDT,5,4,3,2021-09-20T00:00:00+00:00,2023-07-03T00:00:00+00:00,1.25,1.0,2
C2,TOP_6,FULL,BTC-USDT,310,1,0,2019-01-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,310.0,310,310
C2,TOP_6,FULL,DOGE-USDT,60,9,8,2021-05-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,6.666666666666667,5,15
C2,TOP_6,FULL,DOT-USDT,18,5,4,2021-02-15T00:00:00+00:00,2022-01-31T00:00:00+00:00,3.6,1,10
C2,TOP_6,FULL,ETH-USDT,310,1,0,2019-01-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,310.0,310,310
C2,TOP_6,FULL,FET-USDT,4,1,0,2024-09-16T00:00:00+00:00,2024-10-07T00:00:00+00:00,4.0,4,4
C2,TOP_6,FULL,FIL-USDT,1,1,0,2024-03-11T00:00:00+00:00,2024-03-11T00:00:00+00:00,1.0,1,1
C2,TOP_6,FULL,GRAM-USDT,11,5,4,2023-04-17T00:00:00+00:00,2024-09-09T00:00:00+00:00,2.2,1,5
C2,TOP_6,FULL,ICP-USDT,8,1,0,2024-01-15T00:00:00+00:00,2024-03-04T00:00:00+00:00,8.0,8,8
C2,TOP_6,FULL,INJ-USDT,6,2,1,2023-05-15T00:00:00+00:00,2024-01-22T00:00:00+00:00,3.0,3.0,5
C2,TOP_6,FULL,JASMY-USDT,6,3,2,2022-03-28T00:00:00+00:00,2024-06-24T00:00:00+00:00,2.0,2,3
C2,TOP_6,FULL,KAS-USDT,2,1,0,2023-11-27T00:00:00+00:00,2023-12-04T00:00:00+00:00,2.0,2,2
C2,TOP_6,FULL,KCS-USDT,111,6,5,2019-03-11T00:00:00+00:00,2021-08-09T00:00:00+00:00,18.5,7.5,72
C2,TOP_6,FULL,LDO-USDT,1,1,0,2023-03-06T00:00:00+00:00,2023-03-06T00:00:00+00:00,1.0,1,1
C2,TOP_6,FULL,LINK-USDT,7,1,0,2023-11-06T00:00:00+00:00,2023-12-18T00:00:00+00:00,7.0,7,7
C2,TOP_6,FULL,LTC-USDT,91,9,8,2019-03-18T00:00:00+00:00,2023-08-14T00:00:00+00:00,10.11111111111111,6,33
C2,TOP_6,FULL,LUNC-USDT,13,2,1,2022-09-12T00:00:00+00:00,2023-01-16T00:00:00+00:00,6.5,6.5,12
C2,TOP_6,FULL,MANA-USDT,2,1,0,2021-11-29T00:00:00+00:00,2021-12-06T00:00:00+00:00,2.0,2,2
C2,TOP_6,FULL,NEAR-USDT,21,4,3,2022-01-17T00:00:00+00:00,2024-06-03T00:00:00+00:00,5.25,5.5,9
C2,TOP_6,FULL,NEO-USDT,17,1,0,2019-03-18T00:00:00+00:00,2019-07-08T00:00:00+00:00,17.0,17,17
C2,TOP_6,FULL,ONDO-USDT,4,2,1,2024-06-24T00:00:00+00:00,2024-07-22T00:00:00+00:00,2.0,2.0,3
C2,TOP_6,FULL,OP-USDT,3,1,0,2023-03-13T00:00:00+00:00,2023-03-27T00:00:00+00:00,3.0,3,3
C2,TOP_6,FULL,PEPE-USDT,33,6,5,2023-08-21T00:00:00+00:00,2024-11-18T00:00:00+00:00,5.5,3.0,17
C2,TOP_6,FULL,QNT-USDT,2,1,0,2022-10-24T00:00:00+00:00,2022-10-31T00:00:00+00:00,2.0,2,2
C2,TOP_6,FULL,SAND-USDT,5,1,0,2021-11-29T00:00:00+00:00,2021-12-27T00:00:00+00:00,5.0,5,5
C2,TOP_6,FULL,SENSO-USDT,4,1,0,2020-06-22T00:00:00+00:00,2020-07-13T00:00:00+00:00,4.0,4,4
C2,TOP_6,FULL,SHIB-USDT,45,8,7,2021-10-25T00:00:00+00:00,2024-12-30T00:00:00+00:00,5.625,4.5,11
C2,TOP_6,FULL,SOL-USDT,150,6,5,2021-11-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,25.0,1.5,105
C2,TOP_6,FULL,SUI-USDT,10,2,1,2024-02-05T00:00:00+00:00,2024-11-25T00:00:00+00:00,5.0,5.0,7
C2,TOP_6,FULL,TEL-USDT,10,3,2,2021-05-24T00:00:00+00:00,2021-08-09T00:00:00+00:00,3.3333333333333335,3,5
C2,TOP_6,FULL,TRX-USDT,23,6,5,2019-08-05T00:00:00+00:00,2022-05-30T00:00:00+00:00,3.8333333333333335,2.5,11
C2,TOP_6,FULL,VET-USDT,13,3,2,2021-03-29T00:00:00+00:00,2021-09-13T00:00:00+00:00,4.333333333333333,4,8
C2,TOP_6,FULL,WIF-USDT,6,1,0,2024-07-29T00:00:00+00:00,2024-09-02T00:00:00+00:00,6.0,6,6
C2,TOP_6,FULL,XLM-USDT,1,1,0,2021-02-22T00:00:00+00:00,2021-02-22T00:00:00+00:00,1.0,1,1
C2,TOP_6,FULL,XMR-USDT,24,5,4,2023-05-22T00:00:00+00:00,2024-09-30T00:00:00+00:00,4.8,3,9
C2,TOP_6,FULL,XRP-USDT,284,7,6,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,40.57142857142857,17,99
C2,TOP_6,FULL,XTZ-USDT,6,3,2,2020-05-04T00:00:00+00:00,2020-09-07T00:00:00+00:00,2.0,2,3
C2,TOP_6,POST_WARMUP,ADA-USDT,70,11,10,2020-06-15T00:00:00+00:00,2023-01-23T00:00:00+00:00,6.363636363636363,1,42
C2,TOP_6,POST_WARMUP,APE-USDT,5,2,1,2022-07-11T00:00:00+00:00,2022-08-15T00:00:00+00:00,2.5,2.5,4
C2,TOP_6,POST_WARMUP,APT-USDT,1,1,0,2023-02-27T00:00:00+00:00,2023-02-27T00:00:00+00:00,1.0,1,1
C2,TOP_6,POST_WARMUP,ATOM-USDT,23,7,6,2020-09-07T00:00:00+00:00,2022-10-10T00:00:00+00:00,3.2857142857142856,3,7
C2,TOP_6,POST_WARMUP,AVAX-USDT,41,5,4,2021-12-13T00:00:00+00:00,2024-01-29T00:00:00+00:00,8.2,6,15
C2,TOP_6,POST_WARMUP,BCH-USDT,1,1,0,2023-07-24T00:00:00+00:00,2023-07-24T00:00:00+00:00,1.0,1,1
C2,TOP_6,POST_WARMUP,BCHSV-USDT,65,8,7,2019-07-15T00:00:00+00:00,2021-02-08T00:00:00+00:00,8.125,4.0,37
C2,TOP_6,POST_WARMUP,BNB-USDT,5,4,3,2021-09-20T00:00:00+00:00,2023-07-03T00:00:00+00:00,1.25,1.0,2
C2,TOP_6,POST_WARMUP,BTC-USDT,301,1,0,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301.0,301,301
C2,TOP_6,POST_WARMUP,DOGE-USDT,60,9,8,2021-05-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,6.666666666666667,5,15
C2,TOP_6,POST_WARMUP,DOT-USDT,18,5,4,2021-02-15T00:00:00+00:00,2022-01-31T00:00:00+00:00,3.6,1,10
C2,TOP_6,POST_WARMUP,ETH-USDT,301,1,0,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,301.0,301,301
C2,TOP_6,POST_WARMUP,FET-USDT,4,1,0,2024-09-16T00:00:00+00:00,2024-10-07T00:00:00+00:00,4.0,4,4
C2,TOP_6,POST_WARMUP,FIL-USDT,1,1,0,2024-03-11T00:00:00+00:00,2024-03-11T00:00:00+00:00,1.0,1,1
C2,TOP_6,POST_WARMUP,GRAM-USDT,11,5,4,2023-04-17T00:00:00+00:00,2024-09-09T00:00:00+00:00,2.2,1,5
C2,TOP_6,POST_WARMUP,ICP-USDT,8,1,0,2024-01-15T00:00:00+00:00,2024-03-04T00:00:00+00:00,8.0,8,8
C2,TOP_6,POST_WARMUP,INJ-USDT,6,2,1,2023-05-15T00:00:00+00:00,2024-01-22T00:00:00+00:00,3.0,3.0,5
C2,TOP_6,POST_WARMUP,JASMY-USDT,6,3,2,2022-03-28T00:00:00+00:00,2024-06-24T00:00:00+00:00,2.0,2,3
C2,TOP_6,POST_WARMUP,KAS-USDT,2,1,0,2023-11-27T00:00:00+00:00,2023-12-04T00:00:00+00:00,2.0,2,2
C2,TOP_6,POST_WARMUP,KCS-USDT,108,6,5,2019-04-01T00:00:00+00:00,2021-08-09T00:00:00+00:00,18.0,7.5,72
C2,TOP_6,POST_WARMUP,LDO-USDT,1,1,0,2023-03-06T00:00:00+00:00,2023-03-06T00:00:00+00:00,1.0,1,1
C2,TOP_6,POST_WARMUP,LINK-USDT,7,1,0,2023-11-06T00:00:00+00:00,2023-12-18T00:00:00+00:00,7.0,7,7
C2,TOP_6,POST_WARMUP,LTC-USDT,89,9,8,2019-04-01T00:00:00+00:00,2023-08-14T00:00:00+00:00,9.88888888888889,6,31
C2,TOP_6,POST_WARMUP,LUNC-USDT,13,2,1,2022-09-12T00:00:00+00:00,2023-01-16T00:00:00+00:00,6.5,6.5,12
C2,TOP_6,POST_WARMUP,MANA-USDT,2,1,0,2021-11-29T00:00:00+00:00,2021-12-06T00:00:00+00:00,2.0,2,2
C2,TOP_6,POST_WARMUP,NEAR-USDT,21,4,3,2022-01-17T00:00:00+00:00,2024-06-03T00:00:00+00:00,5.25,5.5,9
C2,TOP_6,POST_WARMUP,NEO-USDT,15,1,0,2019-04-01T00:00:00+00:00,2019-07-08T00:00:00+00:00,15.0,15,15
C2,TOP_6,POST_WARMUP,ONDO-USDT,4,2,1,2024-06-24T00:00:00+00:00,2024-07-22T00:00:00+00:00,2.0,2.0,3
C2,TOP_6,POST_WARMUP,OP-USDT,3,1,0,2023-03-13T00:00:00+00:00,2023-03-27T00:00:00+00:00,3.0,3,3
C2,TOP_6,POST_WARMUP,PEPE-USDT,33,6,5,2023-08-21T00:00:00+00:00,2024-11-18T00:00:00+00:00,5.5,3.0,17
C2,TOP_6,POST_WARMUP,QNT-USDT,2,1,0,2022-10-24T00:00:00+00:00,2022-10-31T00:00:00+00:00,2.0,2,2
C2,TOP_6,POST_WARMUP,SAND-USDT,5,1,0,2021-11-29T00:00:00+00:00,2021-12-27T00:00:00+00:00,5.0,5,5
C2,TOP_6,POST_WARMUP,SENSO-USDT,4,1,0,2020-06-22T00:00:00+00:00,2020-07-13T00:00:00+00:00,4.0,4,4
C2,TOP_6,POST_WARMUP,SHIB-USDT,45,8,7,2021-10-25T00:00:00+00:00,2024-12-30T00:00:00+00:00,5.625,4.5,11
C2,TOP_6,POST_WARMUP,SOL-USDT,150,6,5,2021-11-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,25.0,1.5,105
C2,TOP_6,POST_WARMUP,SUI-USDT,10,2,1,2024-02-05T00:00:00+00:00,2024-11-25T00:00:00+00:00,5.0,5.0,7
C2,TOP_6,POST_WARMUP,TEL-USDT,10,3,2,2021-05-24T00:00:00+00:00,2021-08-09T00:00:00+00:00,3.3333333333333335,3,5
C2,TOP_6,POST_WARMUP,TRX-USDT,23,6,5,2019-08-05T00:00:00+00:00,2022-05-30T00:00:00+00:00,3.8333333333333335,2.5,11
C2,TOP_6,POST_WARMUP,VET-USDT,13,3,2,2021-03-29T00:00:00+00:00,2021-09-13T00:00:00+00:00,4.333333333333333,4,8
C2,TOP_6,POST_WARMUP,WIF-USDT,6,1,0,2024-07-29T00:00:00+00:00,2024-09-02T00:00:00+00:00,6.0,6,6
C2,TOP_6,POST_WARMUP,XLM-USDT,1,1,0,2021-02-22T00:00:00+00:00,2021-02-22T00:00:00+00:00,1.0,1,1
C2,TOP_6,POST_WARMUP,XMR-USDT,24,5,4,2023-05-22T00:00:00+00:00,2024-09-30T00:00:00+00:00,4.8,3,9
C2,TOP_6,POST_WARMUP,XRP-USDT,282,7,6,2019-04-01T00:00:00+00:00,2024-12-30T00:00:00+00:00,40.285714285714285,17,99
C2,TOP_6,POST_WARMUP,XTZ-USDT,6,3,2,2020-05-04T00:00:00+00:00,2020-09-07T00:00:00+00:00,2.0,2,3
C2,TOP_8,FULL,ADA-USDT,112,10,9,2020-02-24T00:00:00+00:00,2024-03-04T00:00:00+00:00,11.2,3.5,60
C2,TOP_8,FULL,ALGO-USDT,2,1,0,2021-10-04T00:00:00+00:00,2021-10-11T00:00:00+00:00,2.0,2,2
C2,TOP_8,FULL,APE-USDT,10,1,0,2022-06-20T00:00:00+00:00,2022-08-22T00:00:00+00:00,10.0,10,10
C2,TOP_8,FULL,APT-USDT,4,1,0,2023-02-13T00:00:00+00:00,2023-03-06T00:00:00+00:00,4.0,4,4
C2,TOP_8,FULL,ARB-USDT,1,1,0,2024-01-22T00:00:00+00:00,2024-01-22T00:00:00+00:00,1.0,1,1
C2,TOP_8,FULL,ATOM-USDT,36,5,4,2020-07-20T00:00:00+00:00,2022-10-17T00:00:00+00:00,7.2,5,13
C2,TOP_8,FULL,AVAX-USDT,63,5,4,2021-09-20T00:00:00+00:00,2024-02-19T00:00:00+00:00,12.6,5,43
C2,TOP_8,FULL,BCH-USDT,5,2,1,2021-05-24T00:00:00+00:00,2023-07-24T00:00:00+00:00,2.5,2.5,3
C2,TOP_8,FULL,BCHSV-USDT,85,3,2,2019-06-17T00:00:00+00:00,2021-03-08T00:00:00+00:00,28.333333333333332,18,64
C2,TOP_8,FULL,BNB-USDT,50,12,11,2021-03-15T00:00:00+00:00,2023-07-24T00:00:00+00:00,4.166666666666667,5.0,7
C2,TOP_8,FULL,BTC-USDT,310,1,0,2019-01-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,310.0,310,310
C2,TOP_8,FULL,CFX-USDT,1,1,0,2023-04-10T00:00:00+00:00,2023-04-10T00:00:00+00:00,1.0,1,1
C2,TOP_8,FULL,CHR-USDT,7,2,1,2019-09-02T00:00:00+00:00,2019-11-04T00:00:00+00:00,3.5,3.5,5
C2,TOP_8,FULL,CHZ-USDT,2,1,0,2022-11-28T00:00:00+00:00,2022-12-05T00:00:00+00:00,2.0,2,2
C2,TOP_8,FULL,COTI-USDT,12,1,0,2019-11-11T00:00:00+00:00,2020-01-27T00:00:00+00:00,12.0,12,12
C2,TOP_8,FULL,CRO-USDT,2,1,0,2021-12-06T00:00:00+00:00,2021-12-13T00:00:00+00:00,2.0,2,2
C2,TOP_8,FULL,DOGE-USDT,80,10,9,2021-05-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,8.0,4.5,19
C2,TOP_8,FULL,DOT-USDT,47,7,6,2021-01-11T00:00:00+00:00,2022-06-13T00:00:00+00:00,6.714285714285714,6,16
C2,TOP_8,FULL,ETC-USDT,9,4,3,2019-03-18T00:00:00+00:00,2020-02-17T00:00:00+00:00,2.25,2.5,3
C2,TOP_8,FULL,ETH-USDT,310,1,0,2019-01-28T00:00:00+00:00,2024-12-30T00:00:00+00:00,310.0,310,310
C2,TOP_8,FULL,FET-USDT,7,2,1,2024-03-11T00:00:00+00:00,2024-10-14T00:00:00+00:00,3.5,3.5,6
C2,TOP_8,FULL,FIL-USDT,1,1,0,2024-03-11T00:00:00+00:00,2024-03-11T00:00:00+00:00,1.0,1,1
C2,TOP_8,FULL,FLOKI-USDT,2,1,0,2024-03-18T00:00:00+00:00,2024-03-25T00:00:00+00:00,2.0,2,2
C2,TOP_8,FULL,GMT-USDT,1,1,0,2022-07-25T00:00:00+00:00,2022-07-25T00:00:00+00:00,1.0,1,1
C2,TOP_8,FULL,GRAM-USDT,22,7,6,2023-01-30T00:00:00+00:00,2024-09-23T00:00:00+00:00,3.142857142857143,4,6
C2,TOP_8,FULL,ICP-USDT,16,2,1,2024-01-08T00:00:00+00:00,2024-05-20T00:00:00+00:00,8.0,8.0,10
C2,TOP_8,FULL,INJ-USDT,20,4,3,2023-05-01T00:00:00+00:00,2024-02-05T00:00:00+00:00,5.0,5.0,7
C2,TOP_8,FULL,JASMY-USDT,11,2,1,2022-03-28T00:00:00+00:00,2024-07-01T00:00:00+00:00,5.5,5.5,8
C2,TOP_8,FULL,KAS-USDT,12,5,4,2023-10-16T00:00:00+00:00,2024-08-26T00:00:00+00:00,2.4,2,4
C2,TOP_8,FULL,KCS-USDT,118,2,1,2019-03-11T00:00:00+00:00,2021-08-09T00:00:00+00:00,59.0,59.0,114
C2,TOP_8,FULL,LDO-USDT,2,1,0,2023-03-06T00:00:00+00:00,2023-03-13T00:00:00+00:00,2.0,2,2
C2,TOP_8,FULL,LINK-USDT,21,5,4,2020-11-30T00:00:00+00:00,2024-02-26T00:00:00+00:00,4.2,3,11
C2,TOP_8,FULL,LTC-USDT,140,9,8,2019-03-18T00:00:00+00:00,2023-10-09T00:00:00+00:00,15.555555555555555,8,70
C2,TOP_8,FULL,LUNA-USDT,5,1,0,2022-09-26T00:00:00+00:00,2022-10-24T00:00:00+00:00,5.0,5,5
C2,TOP_8,FULL,LUNC-USDT,19,4,3,2022-09-12T00:00:00+00:00,2023-12-25T00:00:00+00:00,4.75,3.0,12
C2,TOP_8,FULL,MANA-USDT,5,1,0,2021-11-22T00:00:00+00:00,2021-12-20T00:00:00+00:00,5.0,5,5
C2,TOP_8,FULL,NEAR-USDT,25,4,3,2022-01-17T00:00:00+00:00,2024-07-08T00:00:00+00:00,6.25,7.0,10
C2,TOP_8,FULL,NEO-USDT,27,2,1,2019-03-18T00:00:00+00:00,2019-09-30T00:00:00+00:00,13.5,13.5,24
C2,TOP_8,FULL,ONDO-USDT,8,1,0,2024-06-17T00:00:00+00:00,2024-08-05T00:00:00+00:00,8.0,8,8
C2,TOP_8,FULL,ONE-USDT,2,1,0,2022-01-24T00:00:00+00:00,2022-01-31T00:00:00+00:00,2.0,2,2
C2,TOP_8,FULL,ONT-USDT,2,1,0,2019-05-13T00:00:00+00:00,2019-05-20T00:00:00+00:00,2.0,2,2
C2,TOP_8,FULL,OP-USDT,4,1,0,2023-03-13T00:00:00+00:00,2023-04-03T00:00:00+00:00,4.0,4,4
C2,TOP_8,FULL,PEPE-USDT,47,4,3,2023-08-21T00:00:00+00:00,2024-12-30T00:00:00+00:00,11.75,5.0,34
C2,TOP_8,FULL,QNT-USDT,3,1,0,2022-10-24T00:00:00+00:00,2022-11-07T00:00:00+00:00,3.0,3,3
C2,TOP_8,FULL,RSR-USDT,1,1,0,2022-10-31T00:00:00+00:00,2022-10-31T00:00:00+00:00,1.0,1,1
C2,TOP_8,FULL,RUNE-USDT,6,3,2,2022-03-28T00:00:00+00:00,2023-12-11T00:00:00+00:00,2.0,2,3
C2,TOP_8,FULL,SAND-USDT,7,1,0,2021-11-29T00:00:00+00:00,2022-01-10T00:00:00+00:00,7.0,7,7
C2,TOP_8,FULL,SENSO-USDT,5,1,0,2020-06-22T00:00:00+00:00,2020-07-20T00:00:00+00:00,5.0,5,5
C2,TOP_8,FULL,SHIB-USDT,78,15,14,2021-10-25T00:00:00+00:00,2024-12-30T00:00:00+00:00,5.2,5,15
C2,TOP_8,FULL,SOL-USDT,161,3,2,2021-11-08T00:00:00+00:00,2024-12-30T00:00:00+00:00,53.666666666666664,5,153
C2,TOP_8,FULL,STX-USDT,1,1,0,2023-03-20T00:00:00+00:00,2023-03-20T00:00:00+00:00,1.0,1,1
C2,TOP_8,FULL,SUI-USDT,18,2,1,2024-01-29T00:00:00+00:00,2024-12-30T00:00:00+00:00,9.0,9.0,14
C2,TOP_8,FULL,TAO-USDT,1,1,0,2024-10-14T00:00:00+00:00,2024-10-14T00:00:00+00:00,1.0,1,1
C2,TOP_8,FULL,TEL-USDT,13,1,0,2021-05-24T00:00:00+00:00,2021-08-16T00:00:00+00:00,13.0,13,13
C2,TOP_8,FULL,TRX-USDT,74,5,4,2019-03-18T00:00:00+00:00,2022-05-30T00:00:00+00:00,14.8,8,56
C2,TOP_8,FULL,VET-USDT,23,3,2,2021-03-22T00:00:00+00:00,2021-09-13T00:00:00+00:00,7.666666666666667,5,17
C2,TOP_8,FULL,WIF-USDT,11,3,2,2024-04-22T00:00:00+00:00,2024-10-21T00:00:00+00:00,3.6666666666666665,2,8
C2,TOP_8,FULL,XLM-USDT,13,5,4,2019-04-08T00:00:00+00:00,2023-08-07T00:00:00+00:00,2.6,3,4
C2,TOP_8,FULL,XMR-USDT,38,8,7,2022-12-26T00:00:00+00:00,2024-11-18T00:00:00+00:00,4.75,2.0,13
C2,TOP_8,FULL,XRP-USDT,299,5,4,2019-03-18T00:00:00+00:00,2024-12-30T00:00:00+00:00,59.8,28,150
