pair,symbol,generation_status,candidate_rows,audit_rows,source_1h_bytes,source_1h_sha256
GRAM-USDT,GRAM/USDT,GENERATED,109,385,770974,db76f211eb42e66c3bcd9762162af57110dfa40f73cf67b75b9445cc0701e000
GRT-USDT,GRT/USDT,GENERATED,103,383,1597353,d9fbb036bc67dbee487583f53938e25edc97db52e99bdf99014bd8c9d998a61c
GTC-USDT,GTC/USDT,GENERATED,0,159,1058247,75e350247a3ac0690c34045f4c95da394bb227849a973f0d7129e1f5e5a25ef3
HAI-USDT,HAI/USDT,GENERATED,55,233,1032370,d5d7389f50ad122f7a9bf4dfcc391c23c4783e1fee109b48a15d3b0fa96837d2
HBAR-USDT,HBAR/USDT,GENERATED,86,337,1088178,98fcc83d8dbb7f00b778ebd4ba7116dfe6f74d4af39b3a8b542f0ed15d77e9b4
HEART-USDT,HEART/USDT,GENERATED,48,197,1022671,2120ba231820dc4db9e2db7ca9cc7fcc418f0a116dfa82a7c64e065a25ca3877
HFT-USDT,HFT/USDT,GENERATED,25,121,561697,635016426d8334baefa1ac6a117a0e2201757ea595420805f230652d2c9f34a2
HIGH-USDT,HIGH/USDT,GENERATED,36,182,424653,4dc0ee3b3d9cdaadf505ee1f49d804ea689faf3e67b18a1d001a5732d0767f2f
HMND-USDT,HMND/USDT,GENERATED,43,115,615394,f627391ef161d4912189e21a774f30be53be9c1c1994823160c0473e0c61b375
HNT-USDT,HNT/USDT,GENERATED,81,250,828099,486b5969d970585369e7c52c59136202d95cc873a409294ee85ea343bcc266b8
HTR-USDT,HTR/USDT,GENERATED,58,221,1208539,831ec207fcc1e6754e2c18d3210bc6ea4add5e02f397d8a027aee51d8c2a24b0
HYDRA-USDT,HYDRA/USDT,GENERATED,17,99,1136285,2b050e89fec770b04de7a90f189cccea06611c6f92a9cf3cb261a648cfc769fc
ICP-USDT,ICP/USDT,GENERATED,64,265,997496,0401c09955771eb11c6c71dda569aad75703e0483bbf1133960edc70f4e4cb87
ICX-USDT,ICX/USDT,GENERATED,37,291,584866,c5831d67111d2ce587827511e551ffbb2b5b923fe58846a5031da4b661b32005
ID-USDT,ID/USDT,GENERATED,29,150,615909,b3968d6597ad4c944de0a99fbfb21d8e6f68e6f5d7460bb0cc93ee42ee5058f4
ILV-USDT,ILV/USDT,GENERATED,49,168,1182296,39817fb82fb04b4763b9a2080fed330935d584d4831aa942c81e6be1feddb4ae
IMX-USDT,IMX/USDT,GENERATED,65,282,984826,0708baaa50c04f1c203300ec971f1a0da4ee23671915029910bca84a747e756f
