scope,domain_id,symbol,canonical_id,core_asset,liquidity_rank,liquidity_tier,trade_count,net_pnl,return_on_initial_equity,win_rate,profit_factor
OVERLAY_NEW,DISPERSION_EXPANSION_LEADER,AVAX/USDT,AVAX,True,6,A,16,-210.97545852021813,-0.002109754585202181,0.625,0.9541378119209286
OVERLAY_NEW,DISPERSION_EXPANSION_LEADER,BTC/USDT,BTC,True,1,A,6,2060.3213837270187,0.020603213837270186,0.6666666666666666,2.1614155473193577
OVERLAY_NEW,DISPERSION_EXPANSION_LEADER,ETH/USDT,ETH,True,2,A,12,-7412.348973041028,-0.07412348973041029,0.16666666666666666,0.09687176629088289
OVERLAY_NEW,DISPERSION_EXPANSION_LEADER,LINK/USDT,LINK,True,9,B,9,-1875.8079442925887,-0.018758079442925887,0.4444444444444444,0.5385675607452153
OVERLAY_NEW,DISPERSION_EXPANSION_LEADER,LTC/USDT,LTC,False,8,B,23,-6243.377449396107,-0.06243377449396107,0.4782608695652174,0.3639038519498762
OVERLAY_NEW,DISPERSION_EXPANSION_LEADER,NEAR/USDT,NEAR,True,5,A,12,-5711.829302887,-0.057118293028870004,0.25,0.14211150930965583
OVERLAY_NEW,DISPERSION_EXPANSION_LEADER,SOL/USDT,SOL,True,3,A,7,-775.9110703634594,-0.007759110703634595,0.5714285714285714,0.6818870712938868
OVERLAY_NEW,DISPERSION_EXPANSION_LEADER,XRP/USDT,XRP,False,4,A,23,-10341.242883276214,-0.10341242883276214,0.2608695652173913,0.2208185993482285
STANDALONE,VOLUME_BREADTH_THRUST,ADA/USDT,ADA,False,7,B,43,-6106.354792701923,-0.06106354792701923,0.4418604651162791,0.6868378782208288
STANDALONE,VOLUME_BREADTH_THRUST,ATOM/USDT,ATOM,False,10,B,47,-23848.881952222182,-0.2384888195222218,0.2553191489361702,0.14644523001512047
STANDALONE,VOLUME_BREADTH_THRUST,AVAX/USDT,AVAX,True,6,A,42,8831.123518133225,0.08831123518133224,0.4523809523809524,1.4906336317749278
STANDALONE,VOLUME_BREADTH_THRUST,BTC/USDT,BTC,True,1,A,88,-18685.551376968047,-0.1868555137696805,0.3977272727272727,0.5867069395728086
STANDALONE,VOLUME_BREADTH_THRUST,ETH/USDT,ETH,True,2,A,74,-4757.94558709968,-0.0475794558709968,0.3783783783783784,0.8777870095121586
STANDALONE,VOLUME_BREADTH_THRUST,LINK/USDT,LINK,True,9,B,40,29704.847608243494,0.29704847608243495,0.425,2.7498429508189255
STANDALONE,VOLUME_BREADTH_THRUST,LTC/USDT,LTC,False,8,B,57,3807.4699575890827,0.038074699575890825,0.3333333333333333,1.1274758868170625
STANDALONE,VOLUME_BREADTH_THRUST,NEAR/USDT,NEAR,True,5,A,27,-2895.7467547819065,-0.028957467547819065,0.5185185185185185,0.7111871935104634
STANDALONE,VOLUME_BREADTH_THRUST,SOL/USDT,SOL,True,3,A,47,9103.705358739173,0.09103705358739173,0.425531914893617,1.40001709926535
