variant_id,universe_id,cost_multiplier,period_id,control_trade_count,evaluable_trade_count,unevaluable_triggered_trade_count,triggered_trade_count,triggered_trade_share,total_control_net_pnl,total_shadow_net_pnl,total_delta_net_pnl,mean_triggered_delta_net_pnl,median_triggered_delta_net_pnl,positive_triggered_delta_share,p10_triggered_delta_net_pnl,loss_pool_reduction,positive_pnl_pool_change,largest_single_trade_delta_share_of_positive_delta_pool,minimum_leave_one_asset_out_total_delta_net_pnl
RD37_FAILED_RECOVERY_SHADOW,E2,1.0,ROBUSTNESS_2023,126,126,0,126,1.0,43814.00539705993,12566.30341046753,-31247.7019865924,-247.9976348142254,230.2713565904752,0.6428571428571429,-2506.583467128215,43380.37920066503,-74628.08118725743,0.0586081896188458,-40083.59649620889
RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,1.0,ROBUSTNESS_2023,126,126,0,126,1.0,43814.00539705993,-2517.3466578600405,-46331.352054919975,-367.7091432930157,281.04160026533464,0.6111111111111112,-2672.8999249886183,44997.4016305339,-91328.75368545386,0.06329928343877611,-52717.50337483176
CONTROL_NO_RD37_EXIT,E2,2.0,ROBUSTNESS_2022,45,45,0,0,0.0,-15661.21679979741,-15661.21679979741,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,E2,2.0,ROBUSTNESS_2022,45,45,0,43,0.9555555555555556,-15661.21679979741,3317.296133301418,18978.51293309883,441.36076588601935,451.81419447092514,0.7674418604651163,-1327.9480862963728,22859.842989992165,-3881.3300568933373,0.16053532594880718,13876.108959528281
RD37_SELL_FLOW_IMPULSE_SHADOW,E2,2.0,ROBUSTNESS_2022,45,45,0,45,1.0,-15661.21679979741,-3778.531843201903,11882.684956595507,264.0596657021224,363.11806529548306,0.6888888888888889,-1666.5044316004828,22690.009838797436,-10807.32488220193,0.1492932169070779,6573.383224530814
RD37_FAILED_RECOVERY_SHADOW,E2,2.0,ROBUSTNESS_2022,45,45,0,45,1.0,-15661.21679979741,2711.9374269023015,18373.154226699713,408.2923161488825,615.2494391291306,0.7777777777777778,-1671.5159954768349,24565.01251082394,-6191.858284124231,0.12251503210862254,13207.887729644297
RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,2.0,ROBUSTNESS_2022,45,45,0,45,1.0,-15661.21679979741,-3099.3176314671664,12561.899168330243,279.1533148517832,363.11806529548306,0.6888888888888889,-1689.6652539643383,23059.92831251368,-10498.029144183438,0.14717683726748107,7252.59743626555
CONTROL_NO_RD37_EXIT,E2,2.0,ROBUSTNESS_2023,126,126,0,0,0.0,36402.82707774959,36402.82707774959,0.0,,,,,0.0,0.0,,0.0
RD37_DOWNSIDE_STRESS_SHADOW,E2,2.0,ROBUSTNESS_2023,126,126,0,121,0.9603174603174603,36402.82707774959,4633.201930054832,-31769.625147694773,-262.55888551813865,250.5376761517901,0.628099173553719,-2359.718863932071,40546.291051696804,-72315.91619939158,0.06229823377330538,-38596.847675751334
RD37_SELL_FLOW_IMPULSE_SHADOW,E2,2.0,ROBUSTNESS_2023,126,126,0,126,1.0,36402.82707774959,-10195.265406368173,-46598.092484117784,-369.8261308263316,191.0155766748759,0.6111111111111112,-2568.274719151778,40685.14186514108,-87283.23434925886,0.0567020674636608,-52254.152865221775
RD37_FAILED_RECOVERY_SHADOW,E2,2.0,ROBUSTNESS_2023,126,126,0,126,1.0,36402.82707774959,6866.962756429971,-29535.86432131963,-234.41162159777485,221.91121553700802,0.6428571428571429,-2391.6890532007064,42132.028716539455,-71667.89303785909,0.057312859745648044,-38009.02940950745
RD37_QUALIFIED_STRESS_UNION_SHADOW,E2,2.0,ROBUSTNESS_2023,126,126,0,126,1.0,36402.82707774959,-7445.11337276266,-43847.940450512266,-347.999527385018,270.3867613172703,0.6111111111111112,-2568.274719151778,42838.63911495804,-86686.5795654703,0.06183340699725159,-49980.70675885488
