slice_type,slice_value,variant_id,universe_id,cost_multiplier,period_id,trade_count,triggered_trade_count,total_control_net_pnl,total_shadow_net_pnl,total_delta_net_pnl
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_SELL_FLOW_IMPULSE_SHADOW,C2,2.0,ROBUSTNESS_2023,11,11,-4526.833916684532,-820.6813465952865,3706.152570089245
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,CONTROL_NO_RD37_EXIT,D2,1.0,ROBUSTNESS_2022,45,0,-13994.924720618568,-13994.924720618568,0.0
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_DOWNSIDE_STRESS_SHADOW,D2,1.0,ROBUSTNESS_2022,12,10,2739.8202618445703,2227.169577223157,-512.6506846214129
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_SELL_FLOW_IMPULSE_SHADOW,D2,1.0,ROBUSTNESS_2022,40,40,-9658.742818757126,-2371.419177976162,7287.323640780966
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_FAILED_RECOVERY_SHADOW,D2,1.0,ROBUSTNESS_2022,39,39,-11089.755286894579,3894.2947660304353,14984.050052925013
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,1.0,ROBUSTNESS_2022,36,36,-8720.138879171518,-1389.2698480069016,7330.869031164618
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_DOWNSIDE_STRESS_SHADOW,D2,1.0,ROBUSTNESS_2022,33,33,-16734.74498246314,2932.1728124924557,19666.917794955596
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,1.0,ROBUSTNESS_2022,9,9,-5274.78584144705,80.45240787206113,5355.238249319112
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_FAILED_RECOVERY_SHADOW,D2,1.0,ROBUSTNESS_2022,6,6,-2905.169433723989,682.0180029403352,3587.187436664324
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_SELL_FLOW_IMPULSE_SHADOW,D2,1.0,ROBUSTNESS_2022,5,5,-4336.1819018614415,378.33823637022124,4714.520138231663
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,CONTROL_NO_RD37_EXIT,D2,1.0,ROBUSTNESS_2023,127,0,57440.199693174814,57440.199693174814,0.0
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_DOWNSIDE_STRESS_SHADOW,D2,1.0,ROBUSTNESS_2023,53,48,37731.19085184171,5903.66267781254,-31827.52817402917
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_SELL_FLOW_IMPULSE_SHADOW,D2,1.0,ROBUSTNESS_2023,115,115,60911.319621321316,-4859.439047293705,-65770.75866861503
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_FAILED_RECOVERY_SHADOW,D2,1.0,ROBUSTNESS_2023,90,90,33981.63419171685,12163.79050089734,-21817.843690819504
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,1.0,ROBUSTNESS_2023,102,102,55900.264522216465,-2032.4064055752278,-57932.670927791696
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_DOWNSIDE_STRESS_SHADOW,D2,1.0,ROBUSTNESS_2023,74,74,19709.008841333092,4681.343003262141,-15027.665838070958
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_FAILED_RECOVERY_SHADOW,D2,1.0,ROBUSTNESS_2023,37,37,23458.565501457968,93.89881264122411,-23364.666688816742
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,1.0,ROBUSTNESS_2023,25,25,1539.9351709583443,-366.2568088557365,-1906.1919798140802
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,True,RD37_SELL_FLOW_IMPULSE_SHADOW,D2,1.0,ROBUSTNESS_2023,12,12,-3471.11992814651,-717.0174852204752,2754.102442926035
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,CONTROL_NO_RD37_EXIT,D2,2.0,ROBUSTNESS_2022,45,0,-15661.21679979741,-15661.21679979741,0.0
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_DOWNSIDE_STRESS_SHADOW,D2,2.0,ROBUSTNESS_2022,12,10,2265.7260216608015,1741.4187683066907,-524.3072533541102
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_SELL_FLOW_IMPULSE_SHADOW,D2,2.0,ROBUSTNESS_2022,40,40,-11159.389550413802,-3948.794590007342,7210.594960406461
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_FAILED_RECOVERY_SHADOW,D2,2.0,ROBUSTNESS_2022,39,39,-12519.361844561701,2285.666020747216,14805.027865308915
PARTICIPATION_CONTEXT_DESCRIPTIVE_ONLY,False,RD37_QUALIFIED_STRESS_UNION_SHADOW,D2,2.0,ROBUSTNESS_2022,36,36,-10069.283020339,-2805.925849710219,7263.357170628781
